map,scenid,tcost,distance,expect,steps,r
lt_0_lowtown,0,2607.4,4.41421,4.41421,5,4
lt_0_lowtown,1,1806.6,5.24264,5.24264,5,4
lt_0_lowtown,2,1138,4.24264,4.24264,4,4
lt_0_lowtown,3,2108.2,6.82843,6.82843,7,4
lt_0_lowtown,4,1528.2,4.82843,4.82843,5,4
lt_0_lowtown,5,1729.2,7.24264,7.24264,7,4
lt_0_lowtown,6,1286.4,4.41421,4.41421,5,4
lt_0_lowtown,7,2178,6.65685,6.65685,6,4
lt_0_lowtown,8,1426.8,7.41421,7.41421,8,4
lt_0_lowtown,9,1512,4.82843,4.82843,5,4
lt_0_lowtown,10,1845,9.24264,9.24264,9,4
lt_0_lowtown,11,2421.4,11.8284,11.8284,12,4
lt_0_lowtown,12,1608.8,9.24264,9.24264,9,4
lt_0_lowtown,13,1980.2,8.82843,8.82843,9,4
lt_0_lowtown,14,2382.2,9.65685,9.65685,9,4
lt_0_lowtown,15,3412.4,11.4853,11.4853,10,4
lt_0_lowtown,16,1986,11.0711,11.0711,10,4
lt_0_lowtown,17,2002.2,9.65685,9.65685,9,4
lt_0_lowtown,18,2608,11.8995,11.8995,10,4
lt_0_lowtown,19,1591,9.07107,9.07107,8,4
lt_0_lowtown,20,2460.6,14.2426,14.2426,14,4
lt_0_lowtown,21,5073.8,13.7279,13.7279,11,4
lt_0_lowtown,22,2113.6,12.4853,12.4853,11,4
lt_0_lowtown,23,2305,12.8284,12.8284,13,4
lt_0_lowtown,24,3738.6,13.8284,13.8284,14,4
lt_0_lowtown,25,2151,13.4142,13.4142,14,4
lt_0_lowtown,26,2746.4,14.3137,14.3137,12,4
lt_0_lowtown,27,1930.8,12.2426,12.2426,12,4
lt_0_lowtown,28,3036,15.1421,15.1421,12,4
lt_0_lowtown,29,2944.2,15,15,16,4
lt_0_lowtown,30,3774.6,19.9706,19.9706,16,4
lt_0_lowtown,31,3475.6,18.4853,18.4853,17,4
lt_0_lowtown,32,3765.6,19.8995,19.8995,18,4
lt_0_lowtown,33,3308.8,18.6569,18.6569,18,4
lt_0_lowtown,34,3730,20.0711,19.2426,19,4
lt_0_lowtown,35,3070.8,16.3137,16.3137,14,4
lt_0_lowtown,36,3762.4,18.4142,18.4142,19,4
lt_0_lowtown,37,2691.8,18.2426,18.2426,18,4
lt_0_lowtown,38,3531,17.5563,17.5563,14,4
lt_0_lowtown,39,3307,17.4142,17.4142,18,4
lt_0_lowtown,40,4768.6,21.7279,21.7279,19,4
lt_0_lowtown,41,3974.6,20.2426,20.2426,20,4
