map,scenid,tcost,distance,expect,steps,r
lt_0_lowtown_a2,0,3002.8,7.24264,7.24264,7,4
lt_0_lowtown_a2,1,1735,5.82843,5.82843,6,4
lt_0_lowtown_a2,2,1476.8,6.24264,6.24264,6,4
lt_0_lowtown_a2,3,1569.4,6.82843,6.82843,7,4
lt_0_lowtown_a2,4,1456,5.41421,5.41421,6,4
lt_0_lowtown_a2,5,1529,6.82843,6.82843,7,4
lt_0_lowtown_a2,6,1661.8,7.41421,7.41421,8,4
lt_0_lowtown_a2,7,1469.2,7.65685,7.65685,7,4
lt_0_lowtown_a2,8,1552.8,6.82843,6.82843,7,4
lt_0_lowtown_a2,9,1676.8,6.65685,6.65685,6,4
lt_0_lowtown_a2,10,1874,8.82843,8.82843,9,4
lt_0_lowtown_a2,11,3119.2,11.4853,11.4853,10,4
lt_0_lowtown_a2,12,3557.8,11.8995,11.8995,10,4
lt_0_lowtown_a2,13,1919.4,8.41421,8.41421,9,4
lt_0_lowtown_a2,14,1612.2,10,10,11,4
lt_0_lowtown_a2,15,1623.8,8.41421,8.41421,9,4
lt_0_lowtown_a2,16,2268.4,10.8995,10.8995,9,4
lt_0_lowtown_a2,17,1900,10.8284,10.8284,11,4
lt_0_lowtown_a2,18,2572.6,8.65685,8.65685,8,4
lt_0_lowtown_a2,19,1953,11.8284,11.8284,12,4
lt_0_lowtown_a2,20,1850.2,15,15,16,4
lt_0_lowtown_a2,21,2658.2,15.2426,15.2426,15,4
lt_0_lowtown_a2,22,3540.6,14.2426,13.4142,14,4
lt_0_lowtown_a2,23,2548.8,13.0711,13.0711,12,4
lt_0_lowtown_a2,24,2354.2,14.2426,14.2426,14,4
lt_0_lowtown_a2,25,2012.4,14.2426,14.2426,14,4
lt_0_lowtown_a2,26,2116.6,12.6569,12.6569,12,4
lt_0_lowtown_a2,27,3350.4,14.8995,14.8995,13,4
lt_0_lowtown_a2,28,2905.2,15.2426,15.2426,15,4
lt_0_lowtown_a2,29,2553.2,13.6569,13.6569,13,4
lt_0_lowtown_a2,30,3777.2,18.3848,18.3848,14,4
lt_0_lowtown_a2,31,3587.6,17.4142,17.4142,18,4
lt_0_lowtown_a2,32,2940.8,18.6569,18.6569,18,4
lt_0_lowtown_a2,33,3373.6,16.6569,16.6569,16,4
lt_0_lowtown_a2,34,3452.4,18.1421,18.1421,15,4
lt_0_lowtown_a2,35,3577.8,18.4142,18.4142,19,4
lt_0_lowtown_a2,36,3424.2,17.1421,17.1421,14,4
lt_0_lowtown_a2,37,3331.2,18,18,19,4
lt_0_lowtown_a2,38,3009,18.1421,18.1421,15,4
lt_0_lowtown_a2,39,3828.6,16.3137,16.3137,14,4
lt_0_lowtown_a2,40,3862,21.7279,21.7279,19,4
lt_0_lowtown_a2,41,4120.6,23.2426,23.2426,23,4
lt_0_lowtown_a2,42,5552.8,23.799,23.799,19,4
lt_0_lowtown_a2,43,11197.8,20.8284,20.8284,21,4
lt_0_lowtown_a2,44,4477.8,22.3137,22.3137,20,4
lt_0_lowtown_a2,45,5977,23.799,23.799,19,4
lt_0_lowtown_a2,46,3944.6,20.9706,20.9706,17,4
lt_0_lowtown_a2,47,4270.2,22.9706,22.9706,19,4
lt_0_lowtown_a2,48,3034.4,20.2426,20.2426,20,4
lt_0_lowtown_a2,49,3461.2,21.5563,21.5563,18,4
lt_0_lowtown_a2,50,4829,25.3848,25.3848,21,4
lt_0_lowtown_a2,51,4631.2,26.9706,26.9706,23,4
lt_0_lowtown_a2,52,5848,27.799,27.799,23,4
lt_0_lowtown_a2,53,4966.4,26.8284,26.8284,27,4
lt_0_lowtown_a2,54,4267.8,25.5563,25.5563,22,4
lt_0_lowtown_a2,55,4899.6,27.3137,27.3137,25,4
lt_0_lowtown_a2,56,4394,24.5563,24.5563,21,4
lt_0_lowtown_a2,57,11282.8,25.8284,25.8284,26,4
lt_0_lowtown_a2,58,4745.8,25.3137,25.3137,23,4
lt_0_lowtown_a2,59,5951,27.799,27.799,23,4
lt_0_lowtown_a2,60,4715.6,31.6569,31.6569,31,4
lt_0_lowtown_a2,61,6111.4,30.2843,30.2843,23,4
lt_0_lowtown_a2,62,5939.2,31.4142,31.4142,32,4
lt_0_lowtown_a2,63,20476.4,28.3137,28.3137,26,4
lt_0_lowtown_a2,64,38139.8,28.4853,28.4853,27,4
lt_0_lowtown_a2,65,6132.2,31.3848,31.3848,27,4
lt_0_lowtown_a2,66,6006,31.4142,31.4142,32,4
lt_0_lowtown_a2,67,5226.8,31.2426,31.2426,31,4
lt_0_lowtown_a2,68,5739.8,31.2426,31.2426,31,4
lt_0_lowtown_a2,69,60594,28.1421,28.1421,25,4
lt_0_lowtown_a2,70,6577.4,35.0711,35.0711,34,4
lt_0_lowtown_a2,71,7422,33.3137,32.4853,31,4
lt_0_lowtown_a2,72,6415,32.4142,32.4142,33,4
lt_0_lowtown_a2,73,5287.2,33.0711,33.0711,32,4
lt_0_lowtown_a2,74,6391.2,34.2426,34.2426,34,4
lt_0_lowtown_a2,75,6626.8,34.799,34.799,30,4
lt_0_lowtown_a2,76,7017,34.2132,34.2132,29,4
lt_0_lowtown_a2,77,171515,34.8284,34.8284,35,4
lt_0_lowtown_a2,78,6235.2,32.9706,32.9706,29,4
lt_0_lowtown_a2,79,7145.4,35.6569,35.6569,35,4
lt_0_lowtown_a2,80,7513.8,39.2132,39.2132,34,4
lt_0_lowtown_a2,81,71261.6,39.2132,39.2132,34,4
lt_0_lowtown_a2,82,8314.4,37.5269,37.5269,29,4
lt_0_lowtown_a2,83,71935.6,36.8995,36.8995,35,4
lt_0_lowtown_a2,84,9526.2,38.4558,38.4558,32,4
lt_0_lowtown_a2,85,7552.6,36.8701,36.8701,30,4
lt_0_lowtown_a2,86,8349.4,39.1421,39.1421,36,4
lt_0_lowtown_a2,87,34533.6,39.0711,39.0711,38,4
lt_0_lowtown_a2,88,8338,39.5269,39.5269,31,4
lt_0_lowtown_a2,89,8552.2,37.5269,37.5269,29,4
lt_0_lowtown_a2,90,8807,41.7279,41.7279,39,4
lt_0_lowtown_a2,91,12746.4,42.5563,42.5563,39,4
lt_0_lowtown_a2,92,8965.2,43.4853,43.4853,42,4
lt_0_lowtown_a2,93,43837,41.0711,41.0711,40,4
lt_0_lowtown_a2,94,23255.8,42.9706,42.9706,39,4
lt_0_lowtown_a2,95,8264.2,40.3553,40.3553,31,4
