map,scenid,tcost,distance,expect,steps,r
lt_0_lowtown_a3_n_c,0,3052.2,7.41421,7.41421,8,16
lt_0_lowtown_a3_n_c,1,2535.8,6.82843,6.82843,7,16
lt_0_lowtown_a3_n_c,2,1988.4,6.65685,6.65685,6,16
lt_0_lowtown_a3_n_c,3,2191.4,7.82843,7.82843,8,16
lt_0_lowtown_a3_n_c,4,855.4,4.41421,4.41421,5,16
lt_0_lowtown_a3_n_c,5,1846.8,5.41421,5.41421,6,16
lt_0_lowtown_a3_n_c,6,1902.8,6.24264,6.24264,6,16
lt_0_lowtown_a3_n_c,7,1654.4,6,6,7,16
lt_0_lowtown_a3_n_c,8,1765,7.65685,7.65685,7,16
lt_0_lowtown_a3_n_c,9,1769.8,6.41421,6.41421,7,16
lt_0_lowtown_a3_n_c,10,2136,8.82843,8.82843,9,16
lt_0_lowtown_a3_n_c,11,3485.4,10,10,11,16
lt_0_lowtown_a3_n_c,12,2310,9.48528,9.48528,8,16
lt_0_lowtown_a3_n_c,13,2246.6,8.65685,8.65685,8,16
lt_0_lowtown_a3_n_c,14,2672.6,9.82843,9.82843,10,16
lt_0_lowtown_a3_n_c,15,3173.4,11.3137,11.3137,9,16
lt_0_lowtown_a3_n_c,16,2101,9.48528,9.48528,8,16
lt_0_lowtown_a3_n_c,17,3052.6,11.4142,11.4142,12,16
lt_0_lowtown_a3_n_c,18,1961.8,11,11,12,16
lt_0_lowtown_a3_n_c,19,2582.4,10.4142,10.4142,11,16
lt_0_lowtown_a3_n_c,20,3207.8,13.4142,13.4142,14,16
lt_0_lowtown_a3_n_c,21,2521.8,13.4142,13.4142,14,16
lt_0_lowtown_a3_n_c,22,2753.8,14.0711,14.0711,13,16
lt_0_lowtown_a3_n_c,23,2913.4,14.0711,13.2426,13,16
lt_0_lowtown_a3_n_c,24,4007.8,15.4142,15.4142,16,16
lt_0_lowtown_a3_n_c,25,3873.8,14.6569,14.6569,14,16
lt_0_lowtown_a3_n_c,26,2212,12.6569,12.6569,12,16
lt_0_lowtown_a3_n_c,27,2678.8,14.4853,14.4853,13,16
lt_0_lowtown_a3_n_c,28,3115.2,12,12,13,16
lt_0_lowtown_a3_n_c,29,4901.6,15.6569,15.6569,15,16
lt_0_lowtown_a3_n_c,30,3263.8,17.8284,17.8284,18,16
lt_0_lowtown_a3_n_c,31,5355.6,19.4853,19.4853,18,16
lt_0_lowtown_a3_n_c,32,4757.8,19.1421,19.1421,16,16
lt_0_lowtown_a3_n_c,33,2894,19.8284,19.8284,20,16
lt_0_lowtown_a3_n_c,34,3430.6,18.2426,18.2426,18,16
lt_0_lowtown_a3_n_c,35,3442.4,19.6569,19.6569,19,16
lt_0_lowtown_a3_n_c,36,4492.6,17.2426,17.2426,17,16
lt_0_lowtown_a3_n_c,37,4366.8,18.3137,18.3137,16,16
lt_0_lowtown_a3_n_c,38,3718.2,16.7279,16.7279,14,16
lt_0_lowtown_a3_n_c,39,4132,16.8995,16.8995,15,16
lt_0_lowtown_a3_n_c,40,5616.8,22.3848,22.3848,18,16
lt_0_lowtown_a3_n_c,41,4894.2,22.1421,22.1421,19,16
lt_0_lowtown_a3_n_c,42,4323.2,20.3137,20.3137,18,16
lt_0_lowtown_a3_n_c,43,3083.4,21.3137,21.3137,19,16
lt_0_lowtown_a3_n_c,44,5125.4,23.4853,23.4853,22,16
lt_0_lowtown_a3_n_c,45,6048.2,22.3137,20.8995,20,16
lt_0_lowtown_a3_n_c,46,4474.4,22.0711,22.0711,21,16
lt_0_lowtown_a3_n_c,47,6066,21.799,21.799,17,16
lt_0_lowtown_a3_n_c,48,3671.6,20.0711,20.0711,19,16
lt_0_lowtown_a3_n_c,49,4639.2,23.799,23.799,19,16
lt_0_lowtown_a3_n_c,50,5171.6,25.6274,25.6274,20,16
lt_0_lowtown_a3_n_c,51,4777.4,25.3137,25.3137,23,16
lt_0_lowtown_a3_n_c,52,5280,25.4853,24.6569,24,16
lt_0_lowtown_a3_n_c,53,5076.8,27.3137,27.3137,25,16
lt_0_lowtown_a3_n_c,54,5022.2,25.3137,25.3137,23,16
lt_0_lowtown_a3_n_c,55,5883.8,26.9706,26.9706,23,16
lt_0_lowtown_a3_n_c,56,5834.6,27,27,28,16
