map,scenid,tcost,distance,expect,steps,r
lt_0_lowtown_docks_a3_n,0,2236.2,4.24264,4.24264,4,4
lt_0_lowtown_docks_a3_n,1,1490.6,4.41421,4.41421,5,4
lt_0_lowtown_docks_a3_n,2,1970.8,6.65685,6.65685,6,4
lt_0_lowtown_docks_a3_n,3,1553.8,6.24264,6.24264,6,4
lt_0_lowtown_docks_a3_n,4,2107.2,6.82843,6.82843,7,4
lt_0_lowtown_docks_a3_n,5,1069.4,4.82843,4.82843,5,4
lt_0_lowtown_docks_a3_n,6,1500,6,6,7,4
lt_0_lowtown_docks_a3_n,7,925.8,5.41421,5.41421,6,4
lt_0_lowtown_docks_a3_n,8,1557.8,7.82843,7.82843,8,4
lt_0_lowtown_docks_a3_n,9,1273.8,7.65685,7.65685,7,4
lt_0_lowtown_docks_a3_n,10,2480,11.6569,11.6569,11,4
lt_0_lowtown_docks_a3_n,11,1410,10.4142,10.4142,11,4
lt_0_lowtown_docks_a3_n,12,2437,11.4853,11.4853,10,4
lt_0_lowtown_docks_a3_n,13,1887,9.24264,9.24264,9,4
lt_0_lowtown_docks_a3_n,14,2163,11.4853,11.4853,10,4
lt_0_lowtown_docks_a3_n,15,1602.8,9.07107,9.07107,8,4
lt_0_lowtown_docks_a3_n,16,1783.2,9.07107,9.07107,8,4
lt_0_lowtown_docks_a3_n,17,1617.4,8.48528,8.48528,7,4
lt_0_lowtown_docks_a3_n,18,2048,11.2426,11.2426,11,4
lt_0_lowtown_docks_a3_n,19,1989,10.2426,10.2426,10,4
lt_0_lowtown_docks_a3_n,20,2715,15.6569,15.6569,15,4
lt_0_lowtown_docks_a3_n,21,2372.8,12.3137,12.3137,10,4
lt_0_lowtown_docks_a3_n,22,2461.6,13.8995,13.8995,12,4
lt_0_lowtown_docks_a3_n,23,2745.8,15.3137,15.3137,13,4
lt_0_lowtown_docks_a3_n,24,1926,12.2426,12.2426,12,4
lt_0_lowtown_docks_a3_n,25,2274.2,13.4853,13.4853,12,4
lt_0_lowtown_docks_a3_n,26,1982.4,13.0711,13.0711,12,4
lt_0_lowtown_docks_a3_n,27,2571.4,13.8995,13.8995,12,4
lt_0_lowtown_docks_a3_n,28,2876.8,15.2426,15.2426,15,4
lt_0_lowtown_docks_a3_n,29,2150.6,13.3137,13.3137,11,4
lt_0_lowtown_docks_a3_n,30,3275.6,19.3848,19.3848,15,4
lt_0_lowtown_docks_a3_n,31,4036.6,19.8284,19.8284,20,4
lt_0_lowtown_docks_a3_n,32,3060.4,18.3137,18.3137,16,4
lt_0_lowtown_docks_a3_n,33,3157.6,18.2426,18.2426,18,4
lt_0_lowtown_docks_a3_n,34,2647.8,17.8284,17.8284,18,4
lt_0_lowtown_docks_a3_n,35,2752.4,17.0711,17.0711,16,4
lt_0_lowtown_docks_a3_n,36,2993.2,19.2426,19.2426,19,4
lt_0_lowtown_docks_a3_n,37,2433,16.8284,16.8284,17,4
lt_0_lowtown_docks_a3_n,38,3053.2,18.3137,17.4853,16,4
