map,scenid,tcost,distance,expect,steps,r
lt_0_lowtown_docks_n,0,2865.8,6.24264,6.24264,6,8
lt_0_lowtown_docks_n,1,1822,6.65685,6.65685,6,8
lt_0_lowtown_docks_n,2,1918.2,7.82843,7.82843,8,8
lt_0_lowtown_docks_n,3,1526.2,5.82843,5.82843,6,8
lt_0_lowtown_docks_n,4,2108.4,7.65685,7.65685,7,8
lt_0_lowtown_docks_n,5,1578.4,7.82843,7.82843,8,8
lt_0_lowtown_docks_n,6,1446,6.65685,6.65685,6,8
lt_0_lowtown_docks_n,7,1480.8,5.41421,5.41421,6,8
lt_0_lowtown_docks_n,8,1327,7,7,8,8
lt_0_lowtown_docks_n,9,1137.4,7.41421,7.41421,8,8
lt_0_lowtown_docks_n,10,2898.4,10.8995,10.8995,9,8
lt_0_lowtown_docks_n,11,2227.2,10.4853,10.4853,9,8
lt_0_lowtown_docks_n,12,1714.2,8.07107,8.07107,7,8
lt_0_lowtown_docks_n,13,1706.4,9,9,10,8
lt_0_lowtown_docks_n,14,1572.6,8.07107,8.07107,7,8
lt_0_lowtown_docks_n,15,1668.8,8.41421,8.41421,9,8
lt_0_lowtown_docks_n,16,1652.4,10.4142,10.4142,11,8
lt_0_lowtown_docks_n,17,1402.4,8.24264,8.24264,8,8
lt_0_lowtown_docks_n,18,2063.8,11.4142,11.4142,12,8
lt_0_lowtown_docks_n,19,1730.8,8.07107,8.07107,7,8
lt_0_lowtown_docks_n,20,1879,12.4142,12.4142,13,8
lt_0_lowtown_docks_n,21,2842,14.4853,14.4853,13,8
lt_0_lowtown_docks_n,22,2724,14.1421,14.1421,11,8
lt_0_lowtown_docks_n,23,2443.4,13.4142,13.4142,14,8
lt_0_lowtown_docks_n,24,2482.6,14.7279,14.7279,12,8
lt_0_lowtown_docks_n,25,2663.2,15.8995,15.8995,14,8
lt_0_lowtown_docks_n,26,2735.6,14.3137,14.3137,12,8
lt_0_lowtown_docks_n,27,2588.8,13.4853,13.4853,12,8
lt_0_lowtown_docks_n,28,2585.8,13.7279,13.7279,11,8
lt_0_lowtown_docks_n,29,2608.8,15.1421,15.1421,12,8
lt_0_lowtown_docks_n,30,3452.6,18.4853,18.4853,17,8
lt_0_lowtown_docks_n,31,2602.2,18.4142,18.4142,19,8
lt_0_lowtown_docks_n,32,2747.6,18.4142,18.4142,19,8
lt_0_lowtown_docks_n,33,2867,16.3137,16.3137,14,8
lt_0_lowtown_docks_n,34,3404,19.4853,19.4853,18,8
lt_0_lowtown_docks_n,35,3183,19.7279,19.7279,17,8
lt_0_lowtown_docks_n,36,2891.4,16.0711,16.0711,15,8
lt_0_lowtown_docks_n,37,2466.4,16.8995,16.8995,15,8
lt_0_lowtown_docks_n,38,4421.2,18.8284,18.8284,19,8
lt_0_lowtown_docks_n,39,2670,16.3137,16.3137,14,8
lt_0_lowtown_docks_n,40,3228.6,20.4853,20.4853,19,8
lt_0_lowtown_docks_n,41,3679.4,20.5563,20.5563,17,8
lt_0_lowtown_docks_n,42,3918,22.3137,22.3137,20,8
lt_0_lowtown_docks_n,43,4014.6,23.1421,23.1421,20,8
lt_0_lowtown_docks_n,44,4129.4,23.0711,23.0711,22,8
lt_0_lowtown_docks_n,45,4047.8,20.1421,20.1421,17,8
lt_0_lowtown_docks_n,46,7965.2,24.4853,23.3137,23,8
lt_0_lowtown_docks_n,47,3215,21.8284,21.8284,22,8
lt_0_lowtown_docks_n,48,3881.8,20.8995,20.8995,19,8
lt_0_lowtown_docks_n,49,4392.8,23.799,23.799,19,8
lt_0_lowtown_docks_n,50,7296,29.7279,25.2426,27,8
lt_0_lowtown_docks_n,51,4764.6,27.1421,27.1421,24,8
lt_0_lowtown_docks_n,52,4750,25.4558,25.4558,19,8
lt_0_lowtown_docks_n,53,3518.2,24.2426,24.2426,24,8
lt_0_lowtown_docks_n,54,4541.8,25.6274,25.6274,20,8
lt_0_lowtown_docks_n,55,5143,26.0711,26.0711,25,8
lt_0_lowtown_docks_n,56,5174.8,26.8995,26.8995,25,8
lt_0_lowtown_docks_n,57,4304.6,24.9706,24.9706,21,8
lt_0_lowtown_docks_n,58,4349.4,27.4853,27.4853,26,8
lt_0_lowtown_docks_n,59,5054.8,27.2132,27.2132,22,8
lt_0_lowtown_docks_n,60,4928.8,30.0711,30.0711,29,8
lt_0_lowtown_docks_n,61,5627,30.6274,30.6274,25,8
lt_0_lowtown_docks_n,62,5430.6,28.2426,28.2426,28,8
lt_0_lowtown_docks_n,63,5757.8,29.9706,29.9706,26,8
