map,scenid,tcost,distance,expect,steps,r
lt_0_lowtown_n,0,2165.6,4.41421,4.41421,5,32
lt_0_lowtown_n,1,1312.8,4.24264,4.24264,4,32
lt_0_lowtown_n,2,2471,6.65685,6.65685,6,32
lt_0_lowtown_n,3,2125.4,7.65685,7.65685,7,32
lt_0_lowtown_n,4,1768.2,6.65685,6.65685,6,32
lt_0_lowtown_n,5,1883.2,5.41421,5.41421,6,32
lt_0_lowtown_n,6,1458,4.41421,4.41421,5,32
lt_0_lowtown_n,7,1315.8,4,4,5,32
lt_0_lowtown_n,8,1546,4.82843,4.82843,5,32
lt_0_lowtown_n,9,1796.4,7.24264,7.24264,7,32
lt_0_lowtown_n,10,1832.4,8.24264,8.24264,8,32
lt_0_lowtown_n,11,3273,10.8995,10.8995,9,32
lt_0_lowtown_n,12,2123.4,9.48528,9.48528,8,32
lt_0_lowtown_n,13,1696.8,8,8,9,32
lt_0_lowtown_n,14,2217,9.89949,9.89949,8,32
lt_0_lowtown_n,15,2543.6,10.8995,10.8995,9,32
lt_0_lowtown_n,16,2036,10.8284,10.8284,11,32
lt_0_lowtown_n,17,2221,9.82843,9.82843,10,32
lt_0_lowtown_n,18,1773.6,9.48528,9.48528,8,32
lt_0_lowtown_n,19,2231.6,10.2426,10.2426,10,32
lt_0_lowtown_n,20,2986,13.4853,13.4853,12,32
lt_0_lowtown_n,21,3011.2,13.0711,13.0711,12,32
lt_0_lowtown_n,22,2610.4,13.8284,13.8284,14,32
lt_0_lowtown_n,23,1979.8,12,12,13,32
lt_0_lowtown_n,24,2634.2,13.4853,13.4853,12,32
lt_0_lowtown_n,25,2375.8,12.4853,12.4853,11,32
lt_0_lowtown_n,26,3295.6,15.7279,15.7279,13,32
lt_0_lowtown_n,27,2144.4,14.4142,14.4142,15,32
lt_0_lowtown_n,28,2827.4,12.8284,12.8284,13,32
lt_0_lowtown_n,29,2318.8,12.8995,12.8995,11,32
lt_0_lowtown_n,30,3340,18.8284,18.8284,19,32
lt_0_lowtown_n,31,3678.4,18.4142,18.4142,19,32
lt_0_lowtown_n,32,3613.2,16.6569,16.6569,16,32
lt_0_lowtown_n,33,4840.8,17.2426,17.2426,17,32
lt_0_lowtown_n,34,3696.6,19.6569,19.6569,19,32
lt_0_lowtown_n,35,3674,19.3137,19.3137,17,32
lt_0_lowtown_n,36,3768,18.8284,18.8284,19,32
lt_0_lowtown_n,37,3057,19.4142,19.4142,20,32
lt_0_lowtown_n,38,3161.6,16.8284,16.8284,17,32
lt_0_lowtown_n,39,3451.2,19.2426,19.2426,19,32
lt_0_lowtown_n,40,4328,20.2426,20.2426,20,32
lt_0_lowtown_n,41,4105,22.7279,22.7279,20,32
lt_0_lowtown_n,42,4279.6,20.3137,20.3137,18,32
lt_0_lowtown_n,43,3327,21.4853,21.4853,20,32
lt_0_lowtown_n,44,4194.4,23.4853,23.4853,22,32
lt_0_lowtown_n,45,4090.6,23.4853,23.4853,22,32
lt_0_lowtown_n,46,4168.8,23.4142,23.4142,24,32
lt_0_lowtown_n,47,3400.4,23.4142,23.4142,24,32
lt_0_lowtown_n,48,4357,20.3848,20.3848,16,32
lt_0_lowtown_n,49,4114,21.4853,21.4853,20,32
lt_0_lowtown_n,50,6619.8,27.7279,27.7279,25,32
lt_0_lowtown_n,51,4593.2,27.8995,27.8995,26,32
lt_0_lowtown_n,52,4028.8,26.3137,26.3137,24,32
lt_0_lowtown_n,53,4068,25.8995,25.8995,24,32
lt_0_lowtown_n,54,3782.6,25.4853,25.4853,24,32
lt_0_lowtown_n,55,4868.6,26.4142,26.4142,27,32
lt_0_lowtown_n,56,4972.6,24.9706,24.9706,21,32
lt_0_lowtown_n,57,5372.4,24.8995,24.8995,23,32
lt_0_lowtown_n,58,3870.4,25.8995,25.8995,24,32
lt_0_lowtown_n,59,5046.6,25.4853,25.4853,24,32
lt_0_lowtown_n,60,4913.4,28.7279,28.7279,26,32
lt_0_lowtown_n,61,6587.2,35.0416,30.5563,29,32
lt_0_lowtown_n,62,5581.4,29.0416,29.0416,23,32
lt_0_lowtown_n,63,4910.8,29.4853,29.4853,28,32
lt_0_lowtown_n,64,3959.8,28.4142,28.4142,29,32
lt_0_lowtown_n,65,5955.4,31.6274,30.799,26,32
lt_0_lowtown_n,66,5604.4,32.8995,31.4853,31,32
lt_0_lowtown_n,67,5415.8,29.1421,29.1421,26,32
lt_0_lowtown_n,68,55354.4,31.6569,30.8284,31,32
lt_0_lowtown_n,69,7247.4,31.0711,31.0711,30,32
lt_0_lowtown_n,70,7898.2,38.3137,35.2426,36,32
lt_0_lowtown_n,71,7284.4,32.1421,32.1421,29,32
lt_0_lowtown_n,72,6914,32.799,32.799,28,32
lt_0_lowtown_n,73,5309.4,36.3137,35.4853,34,32
lt_0_lowtown_n,74,5152,32.4142,32.4142,33,32
lt_0_lowtown_n,75,6297.4,32.1127,32.1127,24,32
lt_0_lowtown_n,76,7223,35.0416,35.0416,29,32
lt_0_lowtown_n,77,8566.4,36.5563,32.6569,33,32
lt_0_lowtown_n,78,29623.2,34.6569,34.6569,34,32
lt_0_lowtown_n,79,6335.6,34.8284,34.8284,35,32
lt_0_lowtown_n,80,6408.6,38.0711,38.0711,37,32
lt_0_lowtown_n,81,5342.6,37.8284,37.8284,38,32
lt_0_lowtown_n,82,5063.8,39.2426,39.2426,39,32
lt_0_lowtown_n,83,9323.4,39.9411,39.9411,31,32
lt_0_lowtown_n,84,7703.4,36.2843,36.2843,29,32
lt_0_lowtown_n,85,6491.8,36.7279,36.7279,34,32
lt_0_lowtown_n,86,10454.2,43.0416,37.1421,37,32
lt_0_lowtown_n,87,6435.2,36.8701,36.8701,30,32
lt_0_lowtown_n,88,8227.4,38.0416,38.0416,32,32
lt_0_lowtown_n,89,7741.2,36.4142,36.4142,37,32
lt_0_lowtown_n,90,7802,43.7279,40.0711,41,32
lt_0_lowtown_n,91,8593.8,41.3848,41.3848,37,32
lt_0_lowtown_n,92,8372.8,40.9706,40.1421,37,32
lt_0_lowtown_n,93,7831,40.799,40.799,36,32
lt_0_lowtown_n,94,18254.6,53.1838,42.799,43,32
lt_0_lowtown_n,95,6042,40.4142,40.4142,41,32
lt_0_lowtown_n,96,8310.2,40.5563,40.5563,37,32
lt_0_lowtown_n,97,7177.6,40.9706,40.9706,37,32
lt_0_lowtown_n,98,8614.8,42.4558,42.4558,36,32
lt_0_lowtown_n,99,9227.2,43.799,43.799,39,32
lt_0_lowtown_n,100,8611.6,47.5563,47.5563,44,32
lt_0_lowtown_n,101,8379.8,45.4558,45.4558,39,32
lt_0_lowtown_n,102,9909.4,46.0416,46.0416,40,32
lt_0_lowtown_n,103,11342.6,46.7279,46.7279,44,32
lt_0_lowtown_n,104,10494.6,45.4264,45.4264,34,32
lt_0_lowtown_n,105,9058.6,47.7696,45.2843,38,32
lt_0_lowtown_n,106,12850.8,50.5269,46.0416,42,32
lt_0_lowtown_n,107,9837.8,46.6985,46.6985,39,32
lt_0_lowtown_n,108,46984.8,53.4558,46.7279,47,32
lt_0_lowtown_n,109,9660,46.8406,46.8406,35,32
lt_0_lowtown_n,110,9032.6,50.9706,50.1421,47,32
lt_0_lowtown_n,111,9769.6,50.5269,50.5269,42,32
lt_0_lowtown_n,112,11079.4,53.3553,51.6985,44,32
lt_0_lowtown_n,113,26114.2,59.9706,51.2426,56,32
lt_0_lowtown_n,114,10915.6,50.8995,50.8995,49,32
lt_0_lowtown_n,115,9977,48.6985,48.6985,41,32
lt_0_lowtown_n,116,77896.8,48.4853,48.4853,47,32
lt_0_lowtown_n,117,20513.6,52.7279,50.7279,50,32
lt_0_lowtown_n,118,11977,50.8406,50.8406,39,32
lt_0_lowtown_n,119,7899.8,52.1421,50.4853,49,32
lt_0_lowtown_n,120,9778.2,56.9706,55.3137,53,32
lt_0_lowtown_n,121,15583.4,61.2843,55.9706,54,32
