map,scenid,tcost,distance,expect,steps,r
lt_backalley_g,0,2500.8,7.82843,7.82843,8,4
lt_backalley_g,1,1743.4,6.41421,6.41421,7,4
lt_backalley_g,2,1210,5.41421,5.41421,6,4
lt_backalley_g,3,1191,6.41421,6.41421,7,4
lt_backalley_g,4,943.8,4.41421,4.41421,5,4
lt_backalley_g,5,1271.2,6.24264,6.24264,6,4
lt_backalley_g,6,962.6,5.41421,5.41421,6,4
lt_backalley_g,7,1352,6.65685,6.65685,6,4
lt_backalley_g,8,1452.8,7.24264,7.24264,7,4
lt_backalley_g,9,1292,6.24264,6.24264,6,4
lt_backalley_g,10,1382,8.24264,8.24264,8,4
lt_backalley_g,11,1735.6,9.65685,9.65685,9,4
lt_backalley_g,12,1271.4,8.65685,8.65685,8,4
lt_backalley_g,13,1410.6,8,8,9,4
lt_backalley_g,14,2206.6,10.4853,10.4853,9,4
lt_backalley_g,15,1648.2,8.82843,8.82843,9,4
lt_backalley_g,16,1884,10.4853,10.4853,9,4
lt_backalley_g,17,1606.8,9.82843,9.82843,10,4
lt_backalley_g,18,1596.8,9.24264,9.24264,9,4
lt_backalley_g,19,1626.8,9.82843,9.82843,10,4
lt_backalley_g,20,2106,12.8995,12.8995,11,4
lt_backalley_g,21,1957.4,13.2426,13.2426,13,4
lt_backalley_g,22,2739.8,15.2426,15.2426,15,4
lt_backalley_g,23,2544.8,15.8284,15.8284,16,4
lt_backalley_g,24,2168.2,15.2426,15.2426,15,4
lt_backalley_g,25,2466.6,15.4853,15.4853,14,4
lt_backalley_g,26,2286.4,13.8995,13.8995,12,4
lt_backalley_g,27,2529.4,15.6569,15.6569,15,4
lt_backalley_g,28,2014.8,13.4142,13.4142,14,4
lt_backalley_g,29,2121.4,15.4142,15.4142,16,4
lt_backalley_g,30,2886.8,18.9706,18.9706,15,4
lt_backalley_g,31,2619.2,16.4142,16.4142,17,4
lt_backalley_g,32,3492.4,19.5563,19.5563,16,4
lt_backalley_g,33,2914.6,19.4142,19.4142,20,4
lt_backalley_g,34,3061.4,18.7279,18.7279,16,4
lt_backalley_g,35,3129,18.4853,18.4853,17,4
lt_backalley_g,36,2697.2,16.3137,16.3137,14,4
lt_backalley_g,37,2869,19.7279,19.7279,17,4
lt_backalley_g,38,3099.4,19.6569,19.6569,19,4
lt_backalley_g,39,2604.4,18.1421,18.1421,15,4
lt_backalley_g,40,3582.2,22.9706,22.9706,19,4
lt_backalley_g,41,12227.4,22.2426,22.2426,22,4
lt_backalley_g,42,3630.2,20.7279,20.7279,18,4
lt_backalley_g,43,8523.4,26.799,22.8995,22,4
lt_backalley_g,44,3596.6,22.3137,22.3137,20,4
lt_backalley_g,45,3294.6,20.8284,20.8284,21,4
lt_backalley_g,46,3075.4,21.2426,21.2426,21,4
lt_backalley_g,47,3747.8,21.799,21.799,17,4
lt_backalley_g,48,2839.4,21.4142,21.4142,22,4
lt_backalley_g,49,3163.4,20.4853,20.4853,19,4
lt_backalley_g,50,4385.8,27.1421,26.3137,24,4
lt_backalley_g,51,4037,25.2426,25.2426,25,4
lt_backalley_g,52,4245.2,27.1421,27.1421,24,4
lt_backalley_g,53,3763.4,25.4142,25.4142,26,4
lt_backalley_g,54,4894,27.8701,27.8701,21,4
lt_backalley_g,55,3900.8,25.1421,25.1421,22,4
lt_backalley_g,56,4266.6,26.2132,26.2132,21,4
lt_backalley_g,57,3624.6,24.8995,24.8995,23,4
lt_backalley_g,58,3953.2,24.7279,24.7279,22,4
lt_backalley_g,59,4223.4,26.3848,26.3848,22,4
lt_backalley_g,60,26392.8,30.4853,30.4853,29,4
lt_backalley_g,61,5070,28.9706,28.9706,25,4
lt_backalley_g,62,5033,30.2426,30.2426,30,4
lt_backalley_g,63,4615.4,31.2426,31.2426,31,4
lt_backalley_g,64,5528.6,32.3848,31.5563,28,4
lt_backalley_g,65,5223.4,31.3137,31.3137,29,4
lt_backalley_g,66,6603,31.799,31.799,27,4
lt_backalley_g,67,28201.8,30.4853,30.4853,29,4
lt_backalley_g,68,5388.2,29.799,29.799,25,4
lt_backalley_g,69,5176.4,31.4853,31.4853,30,4
lt_backalley_g,70,5890.6,32.799,32.799,28,4
lt_backalley_g,71,6953.2,35.6274,35.6274,30,4
lt_backalley_g,72,6302.2,35.0416,34.2132,29,4
lt_backalley_g,73,6161.6,34.0416,33.2132,28,4
lt_backalley_g,74,6577.2,36.0711,33.8284,35,4
lt_backalley_g,75,6343.2,34.3848,34.3848,30,4
lt_backalley_g,76,124184,32.0416,32.0416,26,4
lt_backalley_g,77,5595,32.3137,32.3137,30,4
lt_backalley_g,78,6572,36.2132,35.3848,31,4
lt_backalley_g,79,6731.4,35.9411,35.9411,27,4
lt_backalley_g,80,7877.2,39.7279,39.7279,37,4
lt_backalley_g,81,6927.8,39.1421,39.1421,36,4
lt_backalley_g,82,5529.8,38,38,39,4
lt_backalley_g,83,7314.8,39.7696,39.7696,30,4
lt_backalley_g,84,5470.2,36.1421,36.1421,33,4
lt_backalley_g,85,13999.4,39.4853,39.4853,38,4
lt_backalley_g,86,7578.4,39.799,39.799,35,4
lt_backalley_g,87,13540,38.5563,37.7279,35,4
lt_backalley_g,88,24075.8,41.0416,37.7279,35,4
lt_backalley_g,89,6106.2,37.4142,37.4142,38,4
lt_backalley_g,90,7701,41.4558,41.4558,35,4
lt_backalley_g,91,6669.6,40.2426,40.2426,40,4
lt_backalley_g,92,50676.4,42.5269,42.5269,34,4
lt_backalley_g,93,6985,43.2426,43.2426,43,4
lt_backalley_g,94,8021.2,43.8701,42.2132,37,4
lt_backalley_g,95,7981.6,41.9411,41.9411,33,4
lt_backalley_g,96,177606,42.4558,42.4558,36,4
lt_backalley_g,97,10241.8,42.8701,42.0416,36,4
lt_backalley_g,98,7026.6,44.2426,43.4142,44,4
lt_backalley_g,99,8615.4,42.1127,42.1127,34,4
lt_backalley_g,100,7492.8,45.8284,45.8284,46,4
lt_backalley_g,101,7336.2,47.2426,47.2426,47,4
lt_backalley_g,102,7804,47.0416,46.2132,41,4
lt_backalley_g,103,100288,45.799,45.799,41,4
lt_backalley_g,104,8841.8,45.0711,44.4853,44,4
lt_backalley_g,105,8156.8,46.4853,46.4853,45,4
lt_backalley_g,106,105892,46.0416,46.0416,40,4
lt_backalley_g,107,10193,49.8701,46.5563,43,4
lt_backalley_g,108,8416.2,44.0122,44.0122,33,4
lt_backalley_g,109,91222.6,47.7279,47.7279,45,4
lt_backalley_g,110,11133.4,51.8701,51.8701,45,4
lt_backalley_g,111,57910,51.9706,51.9706,48,4
lt_backalley_g,112,10614.4,50.799,50.799,46,4
lt_backalley_g,113,108028,48.4558,48.4558,42,4
lt_backalley_g,114,9984.2,51.4853,51.4853,50,4
lt_backalley_g,115,9120.6,50.3137,50.3137,48,4
lt_backalley_g,116,9613,49.3848,49.3848,45,4
lt_backalley_g,117,10749.2,50.6985,50.6985,43,4
lt_backalley_g,118,8582.8,49.8284,49.8284,50,4
lt_backalley_g,119,168318,50.799,50.799,46,4
lt_backalley_g,120,12333.6,55.0122,52.5269,44,4
lt_backalley_g,121,54407.6,57.0416,53.1421,51,4
