map,scenid,tcost,distance,expect,steps,r
lt_backalley_n,0,1460,5.24264,5.24264,5,0
lt_backalley_n,1,719.8,4,4,5,0
lt_backalley_n,2,1077.8,6.24264,6.24264,6,0
lt_backalley_n,3,718.2,4.24264,4.24264,4,0
lt_backalley_n,4,1141,6.82843,6.82843,7,0
lt_backalley_n,5,574.6,4.24264,4.24264,4,0
lt_backalley_n,6,923.8,4.41421,4.41421,5,0
lt_backalley_n,7,478.8,4.24264,4.24264,4,0
lt_backalley_n,8,894.2,6.41421,6.41421,7,0
lt_backalley_n,9,912.2,5.24264,5.24264,5,0
lt_backalley_n,10,1455.8,8.65685,8.65685,8,0
lt_backalley_n,11,1766.2,8.82843,8.82843,9,0
lt_backalley_n,12,1529.8,11.8284,11.8284,12,0
lt_backalley_n,13,1504,11.4142,11.4142,12,0
lt_backalley_n,14,1356.2,8.07107,8.07107,7,0
lt_backalley_n,15,1643.2,10.0711,10.0711,9,0
lt_backalley_n,16,1415.6,8.07107,8.07107,7,0
lt_backalley_n,17,1309,10,10,11,0
lt_backalley_n,18,1432.4,9.82843,9.82843,10,0
lt_backalley_n,19,1475.8,9.48528,9.48528,8,0
lt_backalley_n,20,2434,13.3137,13.3137,11,0
lt_backalley_n,21,1799.2,14.8284,14.8284,15,0
lt_backalley_n,22,2173.8,14.3137,14.3137,12,0
lt_backalley_n,23,1526,13.6569,13.6569,13,0
lt_backalley_n,24,1361.2,12.2426,12.2426,12,0
lt_backalley_n,25,1816,15.2426,15.2426,15,0
lt_backalley_n,26,2095.6,15.8995,15.8995,14,0
lt_backalley_n,27,1972.8,13.6569,13.6569,13,0
lt_backalley_n,28,1446,13.8284,13.8284,14,0
lt_backalley_n,29,1335.8,13.4142,13.4142,14,0
lt_backalley_n,30,1727.6,18.0711,18.0711,17,0
lt_backalley_n,31,1576.6,17,17,18,0
lt_backalley_n,32,2129.8,18.8284,18.8284,19,0
lt_backalley_n,33,1687.4,19.2426,19.2426,19,0
lt_backalley_n,34,2755.6,18.7279,18.7279,16,0
lt_backalley_n,35,1864.8,17.2426,17.2426,17,0
lt_backalley_n,36,2226.4,19.6569,19.6569,19,0
lt_backalley_n,37,2066,16.8995,16.8995,15,0
lt_backalley_n,38,1378,19,19,20,0
lt_backalley_n,39,2670.6,16.7279,16.7279,14,0
lt_backalley_n,40,2148.4,21.2132,21.2132,16,0
lt_backalley_n,41,2250.6,23.4142,23.4142,24,0
lt_backalley_n,42,3758.4,23.9706,23.9706,20,0
lt_backalley_n,43,3066.4,21.799,21.799,17,0
lt_backalley_n,44,8534.6,23.1421,23.1421,20,0
lt_backalley_n,45,2407,23.0711,23.0711,22,0
lt_backalley_n,46,2870.8,23.799,23.799,19,0
lt_backalley_n,47,3223.2,21.3137,21.3137,19,0
lt_backalley_n,48,2702.6,23.4853,23.4853,22,0
lt_backalley_n,49,2931,22.7279,22.7279,20,0
lt_backalley_n,50,2572.8,24.6569,24.6569,24,0
lt_backalley_n,51,2410.8,27.0711,27.0711,26,0
lt_backalley_n,52,3004,26.4853,26.4853,25,0
lt_backalley_n,53,3300.4,24.799,24.799,20,0
lt_backalley_n,54,2808,26.2426,26.2426,26,0
lt_backalley_n,55,2037,24.4142,24.4142,25,0
lt_backalley_n,56,1841.2,26.4142,26.4142,27,0
lt_backalley_n,57,2755.8,27.2426,27.2426,27,0
lt_backalley_n,58,8949.6,27.3848,27.3848,23,0
lt_backalley_n,59,4067.2,26.0416,26.0416,20,0
lt_backalley_n,60,4020.4,31.3137,31.3137,29,0
lt_backalley_n,61,2577,29.8284,29.8284,30,0
lt_backalley_n,62,4619,28.4558,28.4558,22,0
lt_backalley_n,63,24528.8,31.8995,31.8995,30,0
lt_backalley_n,64,4816,28.5563,28.5563,25,0
lt_backalley_n,65,5487.2,31.8284,31.8284,32,0
lt_backalley_n,66,17846.4,31.4853,31.4853,30,0
lt_backalley_n,67,3204.8,29.4142,29.4142,30,0
lt_backalley_n,68,15884.8,29.7279,29.7279,27,0
lt_backalley_n,69,4214.8,31.7279,31.7279,29,0
lt_backalley_n,70,19067.8,33.2132,33.2132,28,0
lt_backalley_n,71,3281.4,34.4142,34.4142,35,0
lt_backalley_n,72,11914.8,35.2843,35.2843,28,0
lt_backalley_n,73,5184.8,32.8701,32.8701,26,0
lt_backalley_n,74,6194,34.3848,34.3848,30,0
lt_backalley_n,75,18400.2,32.6569,32.6569,32,0
lt_backalley_n,76,22270.4,35.4558,35.4558,29,0
lt_backalley_n,77,2516.4,32,32,33,0
lt_backalley_n,78,5803.8,35.5269,35.5269,27,0
lt_backalley_n,79,3743.8,32.8995,32.8995,31,0
lt_backalley_n,80,7236.4,39.3137,39.3137,37,0
lt_backalley_n,81,6301.4,39.3137,39.3137,37,0
lt_backalley_n,82,28423.8,39.3848,39.3848,35,0
lt_backalley_n,83,6682.2,38.0711,38.0711,37,0
lt_backalley_n,84,7084.4,38.4142,38.4142,39,0
lt_backalley_n,85,4385.4,39.4853,39.4853,38,0
lt_backalley_n,86,12776.2,37.3848,37.3848,33,0
lt_backalley_n,87,6802.8,38.799,38.799,34,0
lt_backalley_n,88,5329.8,37.8995,37.8995,36,0
lt_backalley_n,89,3426.2,36.2426,36.2426,36,0
lt_backalley_n,90,27148.2,43.5563,43.5563,40,0
lt_backalley_n,91,11363.6,41.3137,41.3137,39,0
lt_backalley_n,92,6199.2,42.6274,42.6274,37,0
lt_backalley_n,93,35785.6,42.0711,42.0711,41,0
lt_backalley_n,94,17291.4,40.1421,40.1421,37,0
lt_backalley_n,95,19202.4,42.9706,42.9706,39,0
lt_backalley_n,96,31940.2,42.3137,42.3137,40,0
lt_backalley_n,97,5864.2,43.3137,43.3137,41,0
lt_backalley_n,98,7798.8,43.3137,43.3137,41,0
lt_backalley_n,99,11218.2,40.8995,40.8995,39,0
lt_backalley_n,100,6911,46.2132,46.2132,41,0
lt_backalley_n,101,13707.2,44.3137,44.3137,42,0
lt_backalley_n,102,6679.6,45.4558,45.4558,39,0
lt_backalley_n,103,7027,45.6569,45.6569,45,0
lt_backalley_n,104,25479.2,44.5563,44.5563,41,0
lt_backalley_n,105,17841,46.8995,46.8995,45,0
lt_backalley_n,106,16219.2,46.3137,46.3137,44,0
lt_backalley_n,107,11479.8,44.4853,44.4853,43,0
lt_backalley_n,108,26975.4,44,44,45,0
lt_backalley_n,109,6509.6,44.7696,44.7696,35,0
lt_backalley_n,110,6288,49.5563,49.5563,46,0
lt_backalley_n,111,36650,48.6274,48.6274,43,0
lt_backalley_n,112,34024,50.2132,50.2132,45,0
lt_backalley_n,113,68395,51.8701,51.8701,45,0
lt_backalley_n,114,4719.6,51.2426,51.2426,51,0
lt_backalley_n,115,46846.8,48.6274,48.6274,43,0
lt_backalley_n,116,45338.8,48.7696,48.7696,39,0
lt_backalley_n,117,29116.2,50.8701,50.8701,44,0
lt_backalley_n,118,4824.2,50.8284,50.8284,51,0
lt_backalley_n,119,8781.4,50.8701,50.8701,44,0
lt_backalley_n,120,22407.6,52.669,52.669,40,0
lt_backalley_n,121,7302.2,53.2132,53.2132,48,0
lt_backalley_n,122,22689.6,53.5563,53.5563,50,0
lt_backalley_n,123,59047,53.598,53.598,43,0
lt_backalley_n,124,20083.2,55.5563,55.5563,52,0
lt_backalley_n,125,5751.8,52.0711,52.0711,51,0
lt_backalley_n,126,34399.2,53.1421,53.1421,50,0
lt_backalley_n,127,67531,53.3848,53.3848,49,0
lt_backalley_n,128,9015.4,55.4558,55.4558,49,0
lt_backalley_n,129,50874.2,55.4853,55.4853,54,0
lt_backalley_n,130,32602,57.8701,57.8701,51,0
lt_backalley_n,131,28444.8,56.2548,56.2548,44,0
lt_backalley_n,132,8913,59.3848,59.3848,55,0
lt_backalley_n,133,51182,56.6985,56.6985,49,0
lt_backalley_n,134,16636.6,57.3137,57.3137,55,0
lt_backalley_n,135,72895.6,56.2843,56.2843,49,0
lt_backalley_n,136,39143.6,59.1421,59.1421,56,0
lt_backalley_n,137,38780.6,58.6274,58.6274,53,0
lt_backalley_n,138,37048,59.5563,59.5563,56,0
lt_backalley_n,139,42637.2,56.7696,56.7696,47,0
lt_backalley_n,140,67863.8,63.3137,63.3137,61,0
lt_backalley_n,141,61023.6,60.4853,60.4853,59,0
lt_backalley_n,142,49675.6,60.1127,60.1127,52,0
lt_backalley_n,143,22002.4,63.5563,63.5563,60,0
lt_backalley_n,144,114518,63.1421,63.1421,60,0
lt_backalley_n,145,49418.8,61.799,61.799,57,0
lt_backalley_n,146,126455,61.3848,61.3848,57,0
lt_backalley_n,147,50952.6,61.1421,61.1421,58,0
lt_backalley_n,148,11142.6,60.4853,60.4853,59,0
lt_backalley_n,149,81478,63.799,63.799,59,0
lt_backalley_n,150,80138,65.0416,65.0416,59,0
lt_backalley_n,151,39263.4,66.6274,66.6274,61,0
lt_backalley_n,152,66612.8,67.6274,67.6274,62,0
lt_backalley_n,153,29812.4,65.8701,65.8701,59,0
lt_backalley_n,154,9961.6,65.5269,65.5269,57,0
lt_backalley_n,155,47302.6,66.4853,66.4853,65,0
lt_backalley_n,156,30137.4,65.2132,65.2132,60,0
lt_backalley_n,157,8975.2,67.3848,67.3848,63,0
lt_backalley_n,158,17272.4,65.9411,65.9411,57,0
lt_backalley_n,159,5471.4,66.2426,66.2426,66,0
lt_backalley_n,160,29543.6,71.6274,71.6274,66,0
lt_backalley_n,161,11526,69.9828,69.9828,54,0
lt_backalley_n,162,9065,68.799,68.799,64,0
lt_backalley_n,163,37293.6,69.5269,69.5269,61,0
lt_backalley_n,164,11064.6,69.0122,69.0122,58,0
lt_backalley_n,165,71331,71.4264,71.4264,60,0
lt_backalley_n,166,43051.4,68.3848,68.3848,64,0
lt_backalley_n,167,16561.4,71.2132,71.2132,66,0
lt_backalley_n,168,14796,71.5563,71.5563,68,0
lt_backalley_n,169,13114,68.4853,68.4853,67,0
lt_backalley_n,170,98048.6,73.5269,73.5269,65,0
lt_backalley_n,171,22867.4,75.9828,75.9828,60,0
lt_backalley_n,172,53924.6,75.8701,75.8701,69,0
lt_backalley_n,173,128747,75.2132,75.2132,70,0
lt_backalley_n,174,45755.8,74.2548,74.2548,62,0
lt_backalley_n,175,141073,73.2132,73.2132,68,0
lt_backalley_n,176,51026.2,73.5269,73.5269,65,0
lt_backalley_n,177,105972,75.2132,75.2132,70,0
lt_backalley_n,178,63547.4,72.1127,72.1127,64,0
lt_backalley_n,179,14737.6,72.8995,72.8995,71,0
lt_backalley_n,180,61787.8,78.7696,78.7696,69,0
lt_backalley_n,181,76024.4,78.799,78.799,74,0
lt_backalley_n,182,153423,79.3848,79.3848,75,0
lt_backalley_n,183,63833.4,77.7279,77.7279,75,0
lt_backalley_n,184,127385,79.5269,79.5269,71,0
lt_backalley_n,185,72383.8,78.2132,78.2132,73,0
lt_backalley_n,186,184630,77.8995,77.8995,76,0
lt_backalley_n,187,155464,76.5563,76.5563,73,0
lt_backalley_n,188,22765.8,77.8701,77.8701,71,0
lt_backalley_n,189,61238.2,77.9411,77.9411,69,0
lt_backalley_n,190,120309,80.5269,80.5269,72,0
lt_backalley_n,191,43531.6,81.3553,81.3553,72,0
lt_backalley_n,192,73935.6,82.6985,82.6985,75,0
lt_backalley_n,193,52624.6,81.2132,81.2132,76,0
lt_backalley_n,194,14395.8,83.9411,83.9411,75,0
lt_backalley_n,195,72425.4,83.8406,83.8406,72,0
lt_backalley_n,196,16706.4,81.3137,81.3137,79,0
lt_backalley_n,197,42505.8,80.799,80.799,76,0
lt_backalley_n,198,16468.4,80.8995,80.8995,79,0
lt_backalley_n,199,109996,83.4558,83.4558,77,0
lt_backalley_n,200,11101.6,85.2132,85.2132,80,0
lt_backalley_n,201,17881,87.9706,87.9706,84,0
lt_backalley_n,202,191632,85.2843,85.2843,78,0
lt_backalley_n,203,107483,84.5685,84.5685,69,0
lt_backalley_n,204,16199.2,84.9706,84.9706,81,0
lt_backalley_n,205,78079.4,85.8995,85.8995,84,0
lt_backalley_n,206,18094.8,86.2132,86.2132,81,0
lt_backalley_n,207,41661.8,87.9411,87.9411,79,0
lt_backalley_n,208,65229,86.0711,86.0711,85,0
lt_backalley_n,209,88789.4,85.669,85.669,73,0
lt_backalley_n,210,58413.6,89.6985,89.6985,82,0
lt_backalley_n,211,123041,91.6274,91.6274,86,0
lt_backalley_n,212,128549,91.2132,91.2132,86,0
lt_backalley_n,213,159108,89.1838,89.1838,79,0
lt_backalley_n,214,71792.6,88.0833,88.0833,75,0
lt_backalley_n,215,110961,91.9117,91.9117,78,0
lt_backalley_n,216,100885,89.9411,89.9411,81,0
lt_backalley_n,217,50870.4,89.2132,89.2132,84,0
lt_backalley_n,218,86579.6,91.8406,91.8406,80,0
lt_backalley_n,219,140711,91.5563,91.5563,88,0
lt_backalley_n,220,113574,93.1127,93.1127,85,0
lt_backalley_n,221,314781,93.3848,93.3848,89,0
lt_backalley_n,222,13287.8,93.3848,93.3848,89,0
lt_backalley_n,223,181704,93.799,93.799,89,0
lt_backalley_n,224,127122,94.0538,94.0538,76,0
lt_backalley_n,225,146357,93.0416,93.0416,87,0
lt_backalley_n,226,110609,94.5685,94.5685,79,0
lt_backalley_n,227,95350,95.2132,95.2132,90,0
lt_backalley_n,228,100903,95.1838,95.1838,85,0
lt_backalley_n,229,57788.6,94.4975,94.4975,81,0
lt_backalley_n,230,240000,98.4264,98.4264,87,0
lt_backalley_n,231,93090.8,96.1838,96.1838,86,0
lt_backalley_n,232,86958.2,96.6985,96.6985,89,0
lt_backalley_n,233,94801.6,96.799,96.799,92,0
lt_backalley_n,234,146830,96.6985,96.6985,89,0
lt_backalley_n,235,138920,96.397,96.397,80,0
lt_backalley_n,236,83494,96.2132,96.2132,91,0
lt_backalley_n,237,182161,96.9706,96.9706,93,0
lt_backalley_n,238,89754,99.598,99.598,89,0
lt_backalley_n,239,115860,98.3553,98.3553,89,0
lt_backalley_n,240,134140,100.799,100.799,96,0
lt_backalley_n,241,78469.8,103.012,103.012,92,0
lt_backalley_n,242,117455,103.113,103.113,95,0
lt_backalley_n,243,158583,102.284,102.284,95,0
lt_backalley_n,244,44467.6,101.113,101.113,93,0
lt_backalley_n,245,86561.4,101.154,101.154,86,0
lt_backalley_n,246,84849.2,101.912,101.912,88,0
lt_backalley_n,247,137533,103.598,103.598,93,0
lt_backalley_n,248,73957.2,100.355,100.355,91,0
lt_backalley_n,249,144348,102.296,102.296,83,0
lt_backalley_n,250,301306,107.184,107.184,97,0
lt_backalley_n,251,186779,106.184,106.184,96,0
lt_backalley_n,252,257673,105.983,105.983,90,0
lt_backalley_n,253,118641,107.184,107.184,97,0
lt_backalley_n,254,175346,106.912,106.912,93,0
lt_backalley_n,255,165195,104.598,104.598,94,0
lt_backalley_n,256,112351,104.184,104.184,94,0
lt_backalley_n,257,47126.8,107.77,107.77,98,0
lt_backalley_n,258,131172,107.77,107.77,98,0
lt_backalley_n,259,414549,104.385,104.385,100,0
lt_backalley_n,260,72699.2,110.012,110.012,99,0
lt_backalley_n,261,120351,111.882,111.882,93,0
lt_backalley_n,262,51393.4,111.213,111.213,106,0
lt_backalley_n,263,164316,108.426,108.426,97,0
lt_backalley_n,264,221774,110.598,110.598,100,0
lt_backalley_n,265,126841,109.539,109.539,89,0
lt_backalley_n,266,146496,110.113,110.113,102,0
lt_backalley_n,267,133475,111.841,111.841,100,0
lt_backalley_n,268,198789,111.113,111.113,103,0
lt_backalley_n,269,20395.6,108.627,108.627,103,0
lt_backalley_n,270,279776,113.426,113.426,102,0
lt_backalley_n,271,24926,112.426,112.426,101,0
lt_backalley_n,272,112558,112.456,112.456,106,0
lt_backalley_n,273,201908,114.841,114.841,103,0
lt_backalley_n,274,45527.8,113.071,113.071,112,0
lt_backalley_n,275,149009,115.912,115.912,102,0
lt_backalley_n,276,76020,113.296,113.296,94,0
lt_backalley_n,277,101775,113.941,113.941,105,0
lt_backalley_n,278,230841,114.941,114.941,106,0
lt_backalley_n,279,101445,113.125,113.125,93,0
lt_backalley_n,280,173965,119.113,119.113,111,0
lt_backalley_n,281,879015,118.87,118.87,112,0
lt_backalley_n,282,236807,118.941,118.941,110,0
lt_backalley_n,283,167330,117.125,117.125,97,0
lt_backalley_n,284,274758,116.941,116.941,108,0
lt_backalley_n,285,179092,116.426,116.426,105,0
lt_backalley_n,286,84155.8,119.054,119.054,101,0
lt_backalley_n,287,140992,118.497,118.497,105,0
lt_backalley_n,288,136240,116.397,116.397,100,0
lt_backalley_n,289,159110,117.326,117.326,103,0
lt_backalley_n,290,240851,122.841,122.841,111,0
lt_backalley_n,291,82664.2,122.77,122.77,113,0
lt_backalley_n,292,271520,122.497,122.497,109,0
lt_backalley_n,293,297566,121.669,121.669,109,0
lt_backalley_n,294,150822,122.912,122.912,109,0
lt_backalley_n,295,222427,123.385,123.385,119,0
lt_backalley_n,296,480908,123.627,123.627,118,0
lt_backalley_n,297,243623,120.799,120.799,116,0
lt_backalley_n,298,61073.2,121.213,121.213,116,0
lt_backalley_n,299,167979,122.255,122.255,110,0
lt_backalley_n,300,231333,127.284,127.284,120,0
lt_backalley_n,301,213478,126.071,126.071,125,0
lt_backalley_n,302,201658,125.497,125.497,112,0
lt_backalley_n,303,43715,125.326,125.326,111,0
lt_backalley_n,304,181639,125.497,125.497,112,0
lt_backalley_n,305,223740,126.983,126.983,111,0
lt_backalley_n,306,156992,126.083,126.083,113,0
lt_backalley_n,307,224052,125.042,125.042,119,0
lt_backalley_n,308,235746,126.426,126.426,115,0
lt_backalley_n,309,145215,127.225,127.225,110,0
lt_backalley_n,310,105916,128.125,128.125,108,0
lt_backalley_n,311,218254,129.74,129.74,115,0
lt_backalley_n,312,83689,128.669,128.669,116,0
lt_backalley_n,313,178062,128.61,128.61,106,0
lt_backalley_n,314,230390,130.811,130.811,114,0
lt_backalley_n,315,223935,131.125,131.125,111,0
lt_backalley_n,316,169227,128.125,128.125,108,0
lt_backalley_n,317,190808,131.728,131.728,129,0
lt_backalley_n,318,151909,130.225,130.225,113,0
lt_backalley_n,319,136145,129.426,129.426,118,0
lt_backalley_n,320,123988,132.083,132.083,119,0
lt_backalley_n,321,222431,132.598,132.598,122,0
lt_backalley_n,322,319896,134.598,134.598,124,0
lt_backalley_n,323,365927,135.669,135.669,123,0
lt_backalley_n,324,226056,132.728,132.728,130,0
lt_backalley_n,325,304700,133.426,133.426,122,0
lt_backalley_n,326,137502,132.468,132.468,114,0
lt_backalley_n,327,219957,133.426,133.426,122,0
lt_backalley_n,328,230074,133.598,133.598,123,0
lt_backalley_n,329,193463,134.154,134.154,119,0
lt_backalley_n,330,159613,136.711,136.711,117,0
lt_backalley_n,331,131268,137.74,137.74,123,0
lt_backalley_n,332,259567,136.154,136.154,121,0
lt_backalley_n,333,238277,139.024,139.024,116,0
