map,scenid,tcost,distance,expect,steps,r
lt_darktown,0,998.4,4,4,5,0
lt_darktown,1,1900.8,7.82843,7.82843,8,0
lt_darktown,2,1524.8,6.65685,6.65685,6,0
lt_darktown,3,858.2,4.41421,4.41421,5,0
lt_darktown,4,772.4,4,4,5,0
lt_darktown,5,525.2,4,4,5,0
lt_darktown,6,1244.8,6.65685,6.65685,6,0
lt_darktown,7,997.4,6.41421,6.41421,7,0
lt_darktown,8,746.2,4.41421,4.41421,5,0
lt_darktown,9,1234.2,7.82843,7.82843,8,0
lt_darktown,10,1564.2,9.65685,9.65685,9,0
lt_darktown,11,1602.6,10.8284,10.8284,11,0
lt_darktown,12,1722.8,10.8995,10.8995,9,0
lt_darktown,13,1404.4,8.24264,8.24264,8,0
lt_darktown,14,1067.6,8.41421,8.41421,9,0
lt_darktown,15,1975.6,10.8995,10.8995,9,0
lt_darktown,16,1680.4,11.0711,11.0711,10,0
lt_darktown,17,1678.4,11.6569,11.6569,11,0
lt_darktown,18,1283.2,9.89949,9.89949,8,0
lt_darktown,19,1314.4,9.65685,9.65685,9,0
lt_darktown,20,1940,15.8995,15.8995,14,0
lt_darktown,21,5538,13.0711,13.0711,12,0
lt_darktown,22,1702.6,14.4142,14.4142,15,0
lt_darktown,23,2319.2,15.4853,15.4853,14,0
lt_darktown,24,1630.2,14.8284,14.8284,15,0
lt_darktown,25,2337.4,14.8995,14.8995,13,0
lt_darktown,26,2055.8,14.0711,14.0711,13,0
lt_darktown,27,3922.6,15.6569,15.6569,15,0
lt_darktown,28,2566.6,14.7279,14.7279,12,0
lt_darktown,29,2501.6,14.3137,14.3137,12,0
lt_darktown,30,2644.8,18.4853,18.4853,17,0
lt_darktown,31,2148.6,18.2426,18.2426,18,0
lt_darktown,32,2045.2,16.4853,16.4853,15,0
lt_darktown,33,1946.2,16.4853,16.4853,15,0
lt_darktown,34,1999.2,16.4142,16.4142,17,0
lt_darktown,35,2839.4,17.3137,17.3137,15,0
lt_darktown,36,2481.2,17.4853,17.4853,16,0
lt_darktown,37,2472.8,17.0711,17.0711,16,0
lt_darktown,38,2760.8,19.3137,19.3137,17,0
lt_darktown,39,6822.8,16.0711,16.0711,15,0
lt_darktown,40,3341,20.7279,20.7279,18,0
lt_darktown,41,2456.6,22,22,23,0
lt_darktown,42,5305,21.6569,21.6569,21,0
lt_darktown,43,2152.6,21.2426,21.2426,21,0
lt_darktown,44,2604.4,22.6569,22.6569,22,0
lt_darktown,45,3477,23.3137,23.3137,21,0
lt_darktown,46,2457.8,20.4853,20.4853,19,0
lt_darktown,47,8500,20.7279,20.7279,18,0
lt_darktown,48,4287.6,23.8995,23.8995,22,0
lt_darktown,49,2198,20.4142,20.4142,21,0
lt_darktown,50,11982.2,27.6569,27.6569,27,0
lt_darktown,51,4069.6,27.7279,27.7279,25,0
lt_darktown,52,3448.2,27.0711,27.0711,26,0
lt_darktown,53,10367.4,25.6569,25.6569,25,0
lt_darktown,54,2323.8,24,24,25,0
lt_darktown,55,6809.6,25.6569,25.6569,25,0
lt_darktown,56,4172.4,27.3137,27.3137,25,0
lt_darktown,57,11958,26.5563,26.5563,23,0
lt_darktown,58,22653.8,27.3137,27.3137,25,0
lt_darktown,59,24956,27.6569,27.6569,27,0
lt_darktown,60,4392.4,28.8995,28.8995,27,0
lt_darktown,61,16362.6,31.7279,31.7279,29,0
lt_darktown,62,11296.8,28.9706,28.9706,25,0
lt_darktown,63,4586.2,30.9706,30.9706,27,0
lt_darktown,64,15266.6,29.7279,29.7279,27,0
lt_darktown,65,5565,29.8995,29.8995,28,0
lt_darktown,66,12126.2,31.3137,31.3137,29,0
lt_darktown,67,2544.2,28.4142,28.4142,29,0
lt_darktown,68,4880.2,31.0416,31.0416,25,0
lt_darktown,69,3313.4,30.4142,30.4142,31,0
lt_darktown,70,3422.2,33.2426,33.2426,33,0
lt_darktown,71,7694.2,34.4853,34.4853,33,0
lt_darktown,72,8309,32.7279,32.7279,30,0
lt_darktown,73,32442.6,33.8995,33.8995,32,0
lt_darktown,74,26419.6,35.7279,35.7279,33,0
lt_darktown,75,23270.4,33.6569,33.6569,33,0
lt_darktown,76,3411.8,35.8284,35.8284,36,0
lt_darktown,77,4180,32.8995,32.8995,31,0
lt_darktown,78,9757.6,33.4853,33.4853,32,0
lt_darktown,79,7408.2,34.5563,34.5563,31,0
lt_darktown,80,6445.8,39.0711,39.0711,38,0
lt_darktown,81,17115,37.9706,37.9706,34,0
lt_darktown,82,8842.2,37.3137,37.3137,35,0
lt_darktown,83,5841.4,38.2843,38.2843,31,0
lt_darktown,84,51951,39.8284,39.8284,40,0
lt_darktown,85,18901.2,39.5563,39.5563,36,0
lt_darktown,86,5477.2,38.7279,38.7279,36,0
lt_darktown,87,9154.6,37.4853,37.4853,36,0
lt_darktown,88,13422,36.2132,36.2132,31,0
lt_darktown,89,12093,36.3137,36.3137,34,0
lt_darktown,90,16554.4,43.3848,43.3848,39,0
lt_darktown,91,8261,43.6274,43.6274,38,0
lt_darktown,92,4911,43.3137,43.3137,41,0
lt_darktown,93,38219.4,42.1421,42.1421,39,0
lt_darktown,94,6613.2,41.7279,41.7279,39,0
lt_darktown,95,5509.2,41.9706,41.9706,38,0
lt_darktown,96,10940.6,40.7279,40.7279,38,0
lt_darktown,97,5215.6,40.4853,40.4853,39,0
lt_darktown,98,4719.6,40.8995,40.8995,39,0
lt_darktown,99,11295.6,41.7279,41.7279,39,0
lt_darktown,100,38584.2,47.3848,47.3848,43,0
lt_darktown,101,10352.4,45.799,45.799,41,0
lt_darktown,102,7768.8,45.8701,45.8701,39,0
lt_darktown,103,4817.4,47.4558,47.4558,41,0
lt_darktown,104,32208.4,46.3137,46.3137,44,0
lt_darktown,105,24214.8,44.3848,44.3848,40,0
lt_darktown,106,29055.6,46.799,46.799,42,0
lt_darktown,107,59670.2,47.0416,47.0416,41,0
