map,scenid,tcost,distance,expect,steps,r
lt_foundry_n,0,1174.6,4.41421,4.41421,5,0
lt_foundry_n,1,882,4.41421,4.41421,5,0
lt_foundry_n,2,1702,7.82843,7.82843,8,0
lt_foundry_n,3,701.4,5,5,6,0
lt_foundry_n,4,1429,7.82843,7.82843,8,0
lt_foundry_n,5,874.8,7,7,8,0
lt_foundry_n,6,598,4.24264,4.24264,4,0
lt_foundry_n,7,1185.2,7.82843,7.82843,8,0
lt_foundry_n,8,773.4,7.07107,7.07107,6,0
lt_foundry_n,9,748.8,5.24264,5.24264,5,0
lt_foundry_n,10,2646.6,8.65685,8.65685,8,0
lt_foundry_n,11,1693,9.65685,9.65685,9,0
lt_foundry_n,12,1358,10.4142,10.4142,11,0
lt_foundry_n,13,1018.8,9,9,10,0
lt_foundry_n,14,1270,8.24264,8.24264,8,0
lt_foundry_n,15,1573.4,9.48528,9.48528,8,0
lt_foundry_n,16,847.4,8.41421,8.41421,9,0
lt_foundry_n,17,1228.4,10.4142,10.4142,11,0
lt_foundry_n,18,1255.6,8.41421,8.41421,9,0
lt_foundry_n,19,1735,10.6569,10.6569,10,0
lt_foundry_n,20,1877.6,14.4853,14.4853,13,0
lt_foundry_n,21,1354.4,13.4142,13.4142,14,0
lt_foundry_n,22,1622.8,12.7279,12.7279,10,0
lt_foundry_n,23,1900.2,14.2426,14.2426,14,0
lt_foundry_n,24,1581.8,12.8284,12.8284,13,0
lt_foundry_n,25,1740,14.8284,14.8284,15,0
lt_foundry_n,26,2319.6,13.8995,13.8995,12,0
lt_foundry_n,27,2041.8,14.8995,14.8995,13,0
lt_foundry_n,28,1496,13.8284,13.8284,14,0
lt_foundry_n,29,1695,15.8284,15.8284,16,0
lt_foundry_n,30,2435,16.1421,16.1421,13,0
lt_foundry_n,31,1951.2,16.2426,16.2426,16,0
lt_foundry_n,32,2655.4,18.4853,18.4853,17,0
lt_foundry_n,33,5761.8,18.4142,18.4142,19,0
lt_foundry_n,34,2315.8,18.3137,18.3137,16,0
lt_foundry_n,35,1975.2,17.4142,17.4142,18,0
lt_foundry_n,36,1746.8,16.4142,16.4142,17,0
lt_foundry_n,37,2644.8,18.5563,18.5563,15,0
lt_foundry_n,38,7779.8,19.0711,19.0711,18,0
