map,scenid,tcost,distance,expect,steps,r
lt_gallowscourtyard,0,2337.4,6,6,7,32
lt_gallowscourtyard,1,1221.8,4.24264,4.24264,4,32
lt_gallowscourtyard,2,1731.4,6.24264,6.24264,6,32
lt_gallowscourtyard,3,1111,4,4,5,32
lt_gallowscourtyard,4,1421.2,5.41421,5.41421,6,32
lt_gallowscourtyard,5,1486,6.82843,6.82843,7,32
lt_gallowscourtyard,6,1910.4,7.41421,7.41421,8,32
lt_gallowscourtyard,7,1652.8,6.65685,6.65685,6,32
lt_gallowscourtyard,8,1078.4,6,6,7,32
lt_gallowscourtyard,9,1177.2,4.41421,4.41421,5,32
lt_gallowscourtyard,10,2308,11.4142,11.4142,12,32
lt_gallowscourtyard,11,2002,9.24264,9.24264,9,32
lt_gallowscourtyard,12,1990.4,8.82843,8.82843,9,32
lt_gallowscourtyard,13,2157.2,8.07107,8.07107,7,32
lt_gallowscourtyard,14,2011.6,11,11,12,32
lt_gallowscourtyard,15,1664.2,9.24264,9.24264,9,32
lt_gallowscourtyard,16,1759.4,10.2426,10.2426,10,32
lt_gallowscourtyard,17,1442,8.41421,8.41421,9,32
lt_gallowscourtyard,18,1460,8.41421,8.41421,9,32
lt_gallowscourtyard,19,1981.2,9.89949,9.89949,8,32
lt_gallowscourtyard,20,3750.8,13.3137,13.3137,11,32
lt_gallowscourtyard,21,2782.2,12.8995,12.8995,11,32
lt_gallowscourtyard,22,3718.6,15.8995,15.8995,14,32
lt_gallowscourtyard,23,2155.8,14.4142,14.4142,15,32
lt_gallowscourtyard,24,2491.8,14.2426,14.2426,14,32
lt_gallowscourtyard,25,2908.6,13.7279,13.7279,11,32
lt_gallowscourtyard,26,2383.4,13.4853,13.4853,12,32
lt_gallowscourtyard,27,1843,14.4142,14.4142,15,32
lt_gallowscourtyard,28,2747,14.8995,14.8995,13,32
lt_gallowscourtyard,29,2945.4,14.0711,14.0711,13,32
lt_gallowscourtyard,30,4307.6,19.5563,19.5563,16,32
lt_gallowscourtyard,31,2587,18.0711,18.0711,17,32
lt_gallowscourtyard,32,4029.6,17.3137,17.3137,15,32
lt_gallowscourtyard,33,3384,19.3137,19.3137,17,32
lt_gallowscourtyard,34,3137,18.4853,18.4853,17,32
lt_gallowscourtyard,35,4623.8,19.0711,19.0711,18,32
lt_gallowscourtyard,36,2819.6,17.8284,17.8284,18,32
lt_gallowscourtyard,37,2789.2,17.8995,17.8995,16,32
lt_gallowscourtyard,38,3885.8,18.5563,18.5563,15,32
lt_gallowscourtyard,39,3165,17.6569,17.6569,17,32
lt_gallowscourtyard,40,3580.2,20.7279,20.7279,18,32
lt_gallowscourtyard,41,3130,20.4142,20.4142,21,32
lt_gallowscourtyard,42,3845.2,20.5563,20.5563,17,32
lt_gallowscourtyard,43,3537.8,20.2426,20.2426,20,32
lt_gallowscourtyard,44,3237.8,20.8284,20.8284,21,32
lt_gallowscourtyard,45,4495.6,23.5563,23.5563,20,32
lt_gallowscourtyard,46,3379.4,23.8995,20.7279,22,32
lt_gallowscourtyard,47,3684.8,22.8995,22.8995,21,32
lt_gallowscourtyard,48,3241.6,22.2426,22.2426,22,32
lt_gallowscourtyard,49,2822.8,21.0711,20.2426,20,32
lt_gallowscourtyard,50,4665.6,24.4853,24.4853,23,32
lt_gallowscourtyard,51,4214.4,25.4853,24.8995,24,32
lt_gallowscourtyard,52,3891.4,26.0711,26.0711,25,32
lt_gallowscourtyard,53,4190,25.799,25.799,21,32
lt_gallowscourtyard,54,4319.8,25.2132,25.2132,20,32
lt_gallowscourtyard,55,5691.4,26.6274,26.6274,21,32
lt_gallowscourtyard,56,4634.2,26.8284,25.0711,27,32
lt_gallowscourtyard,57,4373,27.2426,27.2426,27,32
lt_gallowscourtyard,58,5258.8,25.6274,25.6274,20,32
lt_gallowscourtyard,59,4726.6,24.6569,24.6569,24,32
lt_gallowscourtyard,60,6166,31.8284,31.8284,32,32
