map,scenid,tcost,distance,expect,steps,r
lt_gallowsprison_n,0,2245.8,7.65685,7.65685,7,32
lt_gallowsprison_n,1,1532.4,7.41421,7.41421,8,32
lt_gallowsprison_n,2,1204.6,6.65685,6.65685,6,32
lt_gallowsprison_n,3,1491.2,7.65685,7.65685,7,32
lt_gallowsprison_n,4,1054.2,5.41421,5.41421,6,32
lt_gallowsprison_n,5,946.2,6.65685,6.65685,6,32
lt_gallowsprison_n,6,925.6,6.24264,6.24264,6,32
lt_gallowsprison_n,7,1095.4,6.41421,6.41421,7,32
lt_gallowsprison_n,8,1145,6.65685,6.65685,6,32
lt_gallowsprison_n,9,1251.6,6.24264,6.24264,6,32
lt_gallowsprison_n,10,1828.4,11.2426,11.2426,11,32
lt_gallowsprison_n,11,1538.2,9.24264,9.24264,9,32
lt_gallowsprison_n,12,1687.8,9.65685,9.65685,9,32
lt_gallowsprison_n,13,1272.2,9.24264,9.24264,9,32
lt_gallowsprison_n,14,1726,10.2426,10.2426,10,32
lt_gallowsprison_n,15,2334.4,11.8995,11.8995,10,32
lt_gallowsprison_n,16,1263.4,8.65685,8.65685,8,32
lt_gallowsprison_n,17,1829,11.8995,11.8995,10,32
lt_gallowsprison_n,18,1760.4,11,11,12,32
lt_gallowsprison_n,19,1424.6,10.4142,10.4142,11,32
lt_gallowsprison_n,20,2049.2,14,14,15,32
lt_gallowsprison_n,21,1840.8,14.2426,14.2426,14,32
lt_gallowsprison_n,22,1824.2,12.0711,12.0711,11,32
lt_gallowsprison_n,23,2166,15.4853,14.8995,14,32
lt_gallowsprison_n,24,2421,14.7279,14.7279,12,32
lt_gallowsprison_n,25,2214.8,15.2426,15.2426,15,32
lt_gallowsprison_n,26,2096.6,14.8995,14.8995,13,32
lt_gallowsprison_n,27,2644.6,15.3137,15.3137,13,32
lt_gallowsprison_n,28,2083.8,14.3137,14.3137,12,32
lt_gallowsprison_n,29,1955.6,12.0711,12.0711,11,32
lt_gallowsprison_n,30,2621.4,19,19,20,32
lt_gallowsprison_n,31,2328.4,17.4853,17.4853,16,32
lt_gallowsprison_n,32,3044,19.6569,19.6569,19,32
lt_gallowsprison_n,33,2249,16.4853,16.4853,15,32
lt_gallowsprison_n,34,2788.2,18.9706,18.9706,15,32
lt_gallowsprison_n,35,2303.6,16.6569,16.6569,16,32
lt_gallowsprison_n,36,2673,17.5563,17.5563,14,32
lt_gallowsprison_n,37,2137.2,16.4142,16.4142,17,32
lt_gallowsprison_n,38,2844.6,18.4853,18.4853,17,32
lt_gallowsprison_n,39,2559.8,16.6569,16.6569,16,32
lt_gallowsprison_n,40,3726.8,22.7279,22.7279,20,32
lt_gallowsprison_n,41,4137,23.7279,22.0711,21,32
lt_gallowsprison_n,42,2862,21.4142,21.4142,22,32
lt_gallowsprison_n,43,2915.4,21.2426,21.2426,21,32
lt_gallowsprison_n,44,3200,20.7279,20.7279,18,32
lt_gallowsprison_n,45,2703.2,21.2426,21.2426,21,32
lt_gallowsprison_n,46,3921.2,22.3848,22.3848,18,32
lt_gallowsprison_n,47,3505.2,23.4142,23.4142,24,32
lt_gallowsprison_n,48,3313,22.8995,22.8995,21,32
lt_gallowsprison_n,49,2900.4,21.7279,21.7279,19,32
lt_gallowsprison_n,50,4063.4,24.6274,24.6274,19,32
lt_gallowsprison_n,51,3303.4,24.2426,24.2426,24,32
lt_gallowsprison_n,52,3820.8,27.2426,27.2426,27,32
lt_gallowsprison_n,53,3482.8,25.4853,25.4853,24,32
lt_gallowsprison_n,54,4055.4,24.9706,24.9706,21,32
lt_gallowsprison_n,55,3723.4,25.3848,25.3848,21,32
lt_gallowsprison_n,56,4303.8,26.799,26.799,22,32
lt_gallowsprison_n,57,3970.4,26.4142,26.4142,27,32
lt_gallowsprison_n,58,4199,27.799,27.799,23,32
lt_gallowsprison_n,59,4021.8,27.4853,27.4853,26,32
lt_gallowsprison_n,60,6333.4,33.5563,31.8995,30,32
lt_gallowsprison_n,61,5296.2,31.5563,31.5563,28,32
lt_gallowsprison_n,62,4935.4,31.0416,30.2132,25,32
lt_gallowsprison_n,63,4517.2,28.5563,28.5563,25,32
lt_gallowsprison_n,64,4367,29.4142,29.4142,30,32
lt_gallowsprison_n,65,4478.6,29.8995,29.8995,28,32
