map,scenid,tcost,distance,expect,steps,r
lt_gallowstemplar,0,3496,7.24264,7.24264,7,16
lt_gallowstemplar,1,1222.6,5,5,6,16
lt_gallowstemplar,2,1409.6,6.24264,6.24264,6,16
lt_gallowstemplar,3,1256.2,5.24264,5.24264,5,16
lt_gallowstemplar,4,1843.2,7.41421,7.41421,8,16
lt_gallowstemplar,5,837,4,4,5,16
lt_gallowstemplar,6,1459.2,6.41421,6.41421,7,16
lt_gallowstemplar,7,1391.2,5.41421,5.41421,6,16
lt_gallowstemplar,8,1437.6,6.65685,6.65685,6,16
lt_gallowstemplar,9,2117.6,7.82843,7.82843,8,16
lt_gallowstemplar,10,3413,11.6569,11.6569,11,16
lt_gallowstemplar,11,2066.6,9.07107,9.07107,8,16
lt_gallowstemplar,12,2214.4,9.65685,9.65685,9,16
lt_gallowstemplar,13,1567.6,10,10,11,16
lt_gallowstemplar,14,2483.6,11.4853,11.4853,10,16
lt_gallowstemplar,15,2165.2,10.8995,10.8995,9,16
lt_gallowstemplar,16,1573.4,8.24264,8.24264,8,16
lt_gallowstemplar,17,1926.2,11.8284,11.8284,12,16
lt_gallowstemplar,18,1742,9.07107,9.07107,8,16
lt_gallowstemplar,19,2079.8,9.89949,9.89949,8,16
lt_gallowstemplar,20,2577.4,14.2426,14.2426,14,16
lt_gallowstemplar,21,2885.4,15.3137,15.3137,13,16
lt_gallowstemplar,22,2504.4,15.8284,15.8284,16,16
lt_gallowstemplar,23,1994.2,14,14,15,16
lt_gallowstemplar,24,3335.4,15.4853,15.2426,14,16
lt_gallowstemplar,25,2146,13.6569,13.6569,13,16
lt_gallowstemplar,26,2750.2,15.1421,15.1421,12,16
lt_gallowstemplar,27,2929.8,13.2426,13.2426,13,16
lt_gallowstemplar,28,2662,14.3137,14.3137,12,16
lt_gallowstemplar,29,2628,15.8995,15.8995,14,16
lt_gallowstemplar,30,3030.2,18.2426,18.2426,18,16
lt_gallowstemplar,31,2753,17.0711,17.0711,16,16
lt_gallowstemplar,32,3186.6,19,19,20,16
lt_gallowstemplar,33,2741,16.2426,16.2426,16,16
lt_gallowstemplar,34,2715.2,17.2426,17.2426,17,16
lt_gallowstemplar,35,2930.6,17.0711,17.0711,16,16
lt_gallowstemplar,36,3794,19.9706,19.9706,16,16
lt_gallowstemplar,37,3877.2,17.0711,17.0711,16,16
lt_gallowstemplar,38,2859.4,17.1421,17.1421,14,16
lt_gallowstemplar,39,2568,18.8284,18.8284,19,16
lt_gallowstemplar,40,3526.2,20.4142,20.4142,21,16
lt_gallowstemplar,41,3588.8,20.4853,20.4853,19,16
lt_gallowstemplar,42,3503.8,20.3137,20.3137,18,16
lt_gallowstemplar,43,3325.8,20.8284,20.8284,21,16
lt_gallowstemplar,44,3124.8,21.4142,21.4142,22,16
lt_gallowstemplar,45,3723,20.8284,20.8284,21,16
lt_gallowstemplar,46,4289.8,21.9706,21.9706,18,16
lt_gallowstemplar,47,4077.6,23.1421,23.1421,20,16
lt_gallowstemplar,48,3605,20.4853,20.4853,19,16
lt_gallowstemplar,49,3472.8,22.6569,22.6569,22,16
lt_gallowstemplar,50,5055.4,26.8995,26.8995,25,16
lt_gallowstemplar,51,7557.8,28.799,24.3137,24,16
lt_gallowstemplar,52,4679.2,25.6569,25.6569,25,16
lt_gallowstemplar,53,4861.6,28.0711,25.7279,27,16
lt_gallowstemplar,54,4348.2,26,26,27,16
lt_gallowstemplar,55,6883.8,33.9706,27.4853,30,16
lt_gallowstemplar,56,5003.6,26.7279,26.7279,24,16
lt_gallowstemplar,57,4469,27.8995,27.8995,26,16
lt_gallowstemplar,58,4492,24.3848,24.3848,20,16
lt_gallowstemplar,59,4537.4,26.4853,25.3137,25,16
lt_gallowstemplar,60,3571.4,28.6569,28.6569,28,16
lt_gallowstemplar,61,5917.6,31.4853,31.4853,30,16
lt_gallowstemplar,62,7010.8,35.5563,30.2426,32,16
lt_gallowstemplar,63,5114.6,31.4853,30.6569,30,16
lt_gallowstemplar,64,4985.2,30.0711,30.0711,29,16
lt_gallowstemplar,65,6085.2,32.7279,31.8995,30,16
lt_gallowstemplar,66,16720.6,31.3137,31.3137,29,16
lt_gallowstemplar,67,5482.8,30,30,31,16
lt_gallowstemplar,68,5089.4,30.6569,29.2426,30,16
lt_gallowstemplar,69,8586.8,33.1421,28.4142,30,16
lt_gallowstemplar,70,6453,34.2843,34.2843,27,16
