map,scenid,tcost,distance,expect,steps,r
lt_gallowstemplar_f,0,2154.2,5.41421,5.41421,6,32
lt_gallowstemplar_f,1,1941.6,5.82843,5.82843,6,32
lt_gallowstemplar_f,2,1994.2,6.65685,6.65685,6,32
lt_gallowstemplar_f,3,1239.8,4.82843,4.82843,5,32
lt_gallowstemplar_f,4,1297.6,5.65685,5.65685,5,32
lt_gallowstemplar_f,5,896,4,4,5,32
lt_gallowstemplar_f,6,2460,7.82843,7.82843,8,32
lt_gallowstemplar_f,7,1608.8,5.24264,5.24264,5,32
lt_gallowstemplar_f,8,1288,7.82843,7.82843,8,32
lt_gallowstemplar_f,9,1299,7.82843,7.82843,8,32
lt_gallowstemplar_f,10,2174.6,11.4142,11.4142,12,32
lt_gallowstemplar_f,11,1810.2,9.89949,9.89949,8,32
lt_gallowstemplar_f,12,1451.2,8,8,9,32
lt_gallowstemplar_f,13,1991.6,11.4853,11.4853,10,32
lt_gallowstemplar_f,14,1123.6,11.4142,11.4142,12,32
lt_gallowstemplar_f,15,1818.6,10.4142,10.4142,11,32
lt_gallowstemplar_f,16,1829.8,10.4853,10.4853,9,32
lt_gallowstemplar_f,17,2161.4,9.24264,9.24264,9,32
lt_gallowstemplar_f,18,1970.6,10.6569,10.6569,10,32
lt_gallowstemplar_f,19,1332.4,8.65685,8.65685,8,32
lt_gallowstemplar_f,20,3094.2,15.8995,15.8995,14,32
lt_gallowstemplar_f,21,2386,13.3137,13.3137,11,32
lt_gallowstemplar_f,22,2559.2,14.0711,14.0711,13,32
lt_gallowstemplar_f,23,2488.8,15.4853,15.4853,14,32
lt_gallowstemplar_f,24,1931.6,12.4142,12.4142,13,32
lt_gallowstemplar_f,25,2915.2,15.8284,15.8284,16,32
lt_gallowstemplar_f,26,2355.8,15.2426,15.2426,15,32
lt_gallowstemplar_f,27,2441.6,13.6569,13.6569,13,32
lt_gallowstemplar_f,28,3195.8,15.3137,15.3137,13,32
lt_gallowstemplar_f,29,2356.2,14.4142,14.4142,15,32
lt_gallowstemplar_f,30,2771.8,17.8284,17.8284,18,32
lt_gallowstemplar_f,31,3280.8,18.4142,18.4142,19,32
lt_gallowstemplar_f,32,3099.2,17.8995,17.8995,16,32
lt_gallowstemplar_f,33,3218.6,19.1421,19.1421,16,32
lt_gallowstemplar_f,34,11069.2,17.6569,17.0711,17,32
lt_gallowstemplar_f,35,2892,19.8995,19.8995,18,32
lt_gallowstemplar_f,36,23532.6,20.0711,18.4142,19,32
lt_gallowstemplar_f,37,2988.6,17.3137,17.3137,15,32
