map,scenid,tcost,distance,expect,steps,r
lt_gallowstemplar_n,0,2421.8,5.24264,5.24264,5,64
lt_gallowstemplar_n,1,1957.8,6,6,7,64
lt_gallowstemplar_n,2,1207.2,4,4,5,64
lt_gallowstemplar_n,3,1349.8,6,6,7,64
lt_gallowstemplar_n,4,1254.6,5.24264,5.24264,5,64
lt_gallowstemplar_n,5,1558.4,7.24264,7.24264,7,64
lt_gallowstemplar_n,6,858.2,4,4,5,64
lt_gallowstemplar_n,7,1955.6,7.24264,7.24264,7,64
lt_gallowstemplar_n,8,1325.6,7.24264,7.24264,7,64
lt_gallowstemplar_n,9,1368.2,7,7,8,64
lt_gallowstemplar_n,10,1728.2,10.4142,10.4142,11,64
lt_gallowstemplar_n,11,2025.6,8.48528,8.48528,7,64
lt_gallowstemplar_n,12,1639.2,10.2426,10.2426,10,64
lt_gallowstemplar_n,13,1842.2,10.2426,10.2426,10,64
lt_gallowstemplar_n,14,1752.2,8.48528,8.48528,7,64
lt_gallowstemplar_n,15,1673.6,8.07107,8.07107,7,64
lt_gallowstemplar_n,16,1606.2,10.4142,10.4142,11,64
lt_gallowstemplar_n,17,1458.6,11,11,12,64
lt_gallowstemplar_n,18,2818.6,11.4853,11.4853,10,64
lt_gallowstemplar_n,19,1891.6,9.65685,9.65685,9,64
lt_gallowstemplar_n,20,2023.4,12.8284,12.8284,13,64
lt_gallowstemplar_n,21,2471.2,13.4853,13.4853,12,64
lt_gallowstemplar_n,22,10919.8,14.4142,14.4142,15,64
lt_gallowstemplar_n,23,1919.2,12,12,13,64
lt_gallowstemplar_n,24,2820.6,14.7279,14.7279,12,64
lt_gallowstemplar_n,25,2744.4,12.4853,12.4853,11,64
lt_gallowstemplar_n,26,1860.8,14,14,15,64
lt_gallowstemplar_n,27,4220,15.8284,14.4142,16,64
lt_gallowstemplar_n,28,2883.8,15.2426,15.2426,15,64
lt_gallowstemplar_n,29,1849.2,14.4142,14.4142,15,64
lt_gallowstemplar_n,30,3266.8,16.7279,16.7279,14,64
lt_gallowstemplar_n,31,3550.8,18.3137,18.3137,16,64
lt_gallowstemplar_n,32,2471.6,18.8284,18.8284,19,64
lt_gallowstemplar_n,33,3032.4,19.0711,19.0711,18,64
lt_gallowstemplar_n,34,3546.6,18.6569,18.6569,18,64
lt_gallowstemplar_n,35,3266.6,18.8995,18.8995,17,64
lt_gallowstemplar_n,36,3707.2,19,19,20,64
lt_gallowstemplar_n,37,2672,16.6569,16.6569,16,64
lt_gallowstemplar_n,38,2569.4,17,17,18,64
lt_gallowstemplar_n,39,3826.2,18.6569,18.6569,18,64
lt_gallowstemplar_n,40,3910.4,21.4853,21.4853,20,64
lt_gallowstemplar_n,41,3976.2,23.6569,23.6569,23,64
lt_gallowstemplar_n,42,4079.4,20.4853,20.4853,19,64
lt_gallowstemplar_n,43,3617,21.5563,21.5563,18,64
lt_gallowstemplar_n,44,4275.6,23.7279,23.7279,21,64
lt_gallowstemplar_n,45,4666.4,24.5563,22.3137,21,64
lt_gallowstemplar_n,46,4280.6,22.5563,22.5563,19,64
lt_gallowstemplar_n,47,3450,20.4142,20.4142,21,64
lt_gallowstemplar_n,48,4529.6,24.2426,23.0711,24,64
lt_gallowstemplar_n,49,3915.2,23.8995,23.8995,22,64
lt_gallowstemplar_n,50,3853,25.6569,25.6569,25,64
lt_gallowstemplar_n,51,3939.4,24.8284,24.8284,25,64
lt_gallowstemplar_n,52,5350.4,27.8995,27.0711,26,64
lt_gallowstemplar_n,53,4910.4,26.0416,26.0416,20,64
lt_gallowstemplar_n,54,4818.2,24.8995,24.8995,23,64
lt_gallowstemplar_n,55,5867.2,25.3848,25.1421,21,64
lt_gallowstemplar_n,56,4626.8,27.6569,27.0711,27,64
lt_gallowstemplar_n,57,4596.6,24.6569,24.6569,24,64
lt_gallowstemplar_n,58,4457.6,24.3137,24.3137,22,64
lt_gallowstemplar_n,59,4275.2,24.4142,24.4142,25,64
lt_gallowstemplar_n,60,6919.8,33.2132,29.5563,28,64
lt_gallowstemplar_n,61,11913,29.8995,28.4853,28,64
lt_gallowstemplar_n,62,5930.8,34.5563,28.8995,31,64
lt_gallowstemplar_n,63,4104.2,28,28,29,64
lt_gallowstemplar_n,64,5528.8,29.8284,29.8284,30,64
lt_gallowstemplar_n,65,8333.4,35.799,31.8995,31,64
lt_gallowstemplar_n,66,5901.6,33.9706,31.7279,30,64
lt_gallowstemplar_n,67,5574.8,29.9706,28.799,26,64
lt_gallowstemplar_n,68,5677.4,30.0711,30.0711,29,64
lt_gallowstemplar_n,69,5057.8,30.4853,30.4853,29,64
lt_gallowstemplar_n,70,5561.2,34.4853,34.4853,33,64
lt_gallowstemplar_n,71,4532.4,33.2426,33.2426,33,64
lt_gallowstemplar_n,72,6680.6,35.4558,35.4558,29,64
lt_gallowstemplar_n,73,6203.2,35.3848,35.3848,31,64
lt_gallowstemplar_n,74,5145.2,34,34,35,64
lt_gallowstemplar_n,75,23035.6,38.3137,34.6569,36,64
lt_gallowstemplar_n,76,6023.2,34.8995,34.3137,33,64
lt_gallowstemplar_n,77,6797.8,37.1421,35.4853,34,64
lt_gallowstemplar_n,78,5973.2,32.1421,32.1421,29,64
lt_gallowstemplar_n,79,7410.4,35.5563,34.3848,32,64
lt_gallowstemplar_n,80,6163.2,36.8995,36.8995,35,64
lt_gallowstemplar_n,81,7405.2,37.0416,37.0416,31,64
lt_gallowstemplar_n,82,7314.2,38.8995,38.8995,37,64
lt_gallowstemplar_n,83,7193.4,39.1421,39.1421,36,64
