map,scenid,tcost,distance,expect,steps,r
lt_gamlenshouse_n,0,1410.4,6.65685,6.65685,6,0
lt_gamlenshouse_n,1,1257,7.82843,7.82843,8,0
lt_gamlenshouse_n,2,959.2,7.41421,7.41421,8,0
lt_gamlenshouse_n,3,710.4,7.41421,7.41421,8,0
lt_gamlenshouse_n,4,900.8,5.24264,5.24264,5,0
lt_gamlenshouse_n,5,723,4.82843,4.82843,5,0
lt_gamlenshouse_n,6,795,6.24264,6.24264,6,0
lt_gamlenshouse_n,7,1226.4,7.24264,7.24264,7,0
lt_gamlenshouse_n,8,821.6,7.07107,7.07107,6,0
lt_gamlenshouse_n,9,811.6,5.24264,5.24264,5,0
lt_gamlenshouse_n,10,1186.6,8.24264,8.24264,8,0
lt_gamlenshouse_n,11,1250.2,11.3137,11.3137,9,0
lt_gamlenshouse_n,12,5986,10.2426,10.2426,10,0
lt_gamlenshouse_n,13,1245.2,10.8284,10.8284,11,0
lt_gamlenshouse_n,14,1129.2,8.82843,8.82843,9,0
lt_gamlenshouse_n,15,1113.4,9.41421,9.41421,10,0
lt_gamlenshouse_n,16,1012.6,8.48528,8.48528,7,0
lt_gamlenshouse_n,17,923.4,9,9,10,0
lt_gamlenshouse_n,18,1481,11.2426,11.2426,11,0
lt_gamlenshouse_n,19,1227.6,8.82843,8.82843,9,0
lt_gamlenshouse_n,20,1152.8,14.2426,14.2426,14,0
lt_gamlenshouse_n,21,924.4,13.2426,13.2426,13,0
lt_gamlenshouse_n,22,1372.4,12.6569,12.6569,12,0
lt_gamlenshouse_n,23,1330,13.4142,13.4142,14,0
lt_gamlenshouse_n,24,1959.8,13.4853,13.4853,12,0
lt_gamlenshouse_n,25,1644.6,15.8284,15.8284,16,0
lt_gamlenshouse_n,26,4400,14.0711,14.0711,13,0
lt_gamlenshouse_n,27,1590.2,13.8284,13.8284,14,0
lt_gamlenshouse_n,28,1538.8,13.2426,13.2426,13,0
lt_gamlenshouse_n,29,1377.8,13.4142,13.4142,14,0
lt_gamlenshouse_n,30,3413.2,18.4853,18.4853,17,0
lt_gamlenshouse_n,31,1996,17.6569,17.6569,17,0
lt_gamlenshouse_n,32,1862.8,18.0711,18.0711,17,0
