map,scenid,tcost,distance,expect,steps,r
lt_hangedman_n,0,2374.8,5.82843,5.82843,6,32
lt_hangedman_n,1,1248.4,4.41421,4.41421,5,32
lt_hangedman_n,2,1363.6,6,6,7,32
lt_hangedman_n,3,1581.4,7.41421,7.41421,8,32
lt_hangedman_n,4,1021,4.82843,4.82843,5,32
lt_hangedman_n,5,1189.2,5.41421,5.41421,6,32
lt_hangedman_n,6,1091.4,6.41421,6.41421,7,32
lt_hangedman_n,7,1339,6.82843,6.82843,7,32
lt_hangedman_n,8,1023.2,6,6,7,32
lt_hangedman_n,9,904.4,5.41421,5.41421,6,32
lt_hangedman_n,10,1341.4,8.82843,8.82843,9,32
lt_hangedman_n,11,1620.2,9.41421,9.41421,10,32
lt_hangedman_n,12,1712.4,10.6569,10.6569,10,32
lt_hangedman_n,13,1469.8,8.82843,8.82843,9,32
lt_hangedman_n,14,1212.6,8,8,9,32
lt_hangedman_n,15,1287.4,8.24264,8.24264,8,32
lt_hangedman_n,16,1430.6,10,10,11,32
lt_hangedman_n,17,1551.4,10.2426,10.2426,10,32
lt_hangedman_n,18,1402.8,8.82843,8.82843,9,32
lt_hangedman_n,19,2073.4,11.6569,11.6569,11,32
lt_hangedman_n,20,3645.2,16.8995,15.2426,15,32
lt_hangedman_n,21,2056.8,12.8284,12.8284,13,32
lt_hangedman_n,22,2594,15.0711,15.0711,14,32
lt_hangedman_n,23,3049,16.6569,15.8284,16,32
lt_hangedman_n,24,2377.4,14.4853,14.4853,13,32
lt_hangedman_n,25,1912.2,12.8284,12.8284,13,32
lt_hangedman_n,26,2455,15.1421,15.1421,12,32
lt_hangedman_n,27,1862.6,13.2426,12.4142,13,32
lt_hangedman_n,28,2401.2,13.3137,13.3137,11,32
lt_hangedman_n,29,2420.6,14.4853,13.6569,13,32
lt_hangedman_n,30,2715,16.1421,16.1421,13,32
lt_hangedman_n,31,2722.2,17.6569,17.6569,17,32
lt_hangedman_n,32,4864,19.8995,19.0711,18,32
lt_hangedman_n,33,2938.4,20.4853,18.8284,19,32
lt_hangedman_n,34,2841.4,17.8284,17.8284,18,32
lt_hangedman_n,35,2447,16.8284,16.8284,17,32
lt_hangedman_n,36,2649.2,17.0711,17.0711,16,32
lt_hangedman_n,37,2782,17.7279,17.7279,15,32
lt_hangedman_n,38,2664,18.4853,17.8995,17,32
lt_hangedman_n,39,3380.6,18.8995,18.8995,17,32
lt_hangedman_n,40,3265.4,20.2426,20.2426,20,32
lt_hangedman_n,41,3311.8,21.2426,21.2426,21,32
lt_hangedman_n,42,3525.8,20.8995,20.8995,19,32
lt_hangedman_n,43,3040.8,21.7279,21.7279,19,32
lt_hangedman_n,44,3829.8,20.9706,20.9706,17,32
lt_hangedman_n,45,5730.2,23.8995,23.8995,22,32
lt_hangedman_n,46,3279.8,23,23,24,32
lt_hangedman_n,47,3846,22.4853,21.0711,21,32
lt_hangedman_n,48,3255.4,20.7279,20.7279,18,32
lt_hangedman_n,49,8719,27.5563,23.0711,24,32
lt_hangedman_n,50,3878.8,24.9706,24.1421,21,32
lt_hangedman_n,51,4410,27.9706,27.9706,24,32
lt_hangedman_n,52,4172.2,26.5563,25.7279,23,32
lt_hangedman_n,53,11701,31.6274,25.7279,26,32
lt_hangedman_n,54,10193.6,28.0711,25.7279,27,32
lt_hangedman_n,55,4294.2,26.0711,26.0711,25,32
lt_hangedman_n,56,4359,26.5563,25.7279,23,32
lt_hangedman_n,57,4058.8,25.8995,25.8995,24,32
lt_hangedman_n,58,4265.8,26.0416,26.0416,20,32
lt_hangedman_n,59,3769.4,24.3137,24.3137,22,32
lt_hangedman_n,60,4848,31.8284,31.8284,32,32
lt_hangedman_n,61,5565.4,34.4558,30.799,28,32
lt_hangedman_n,62,31395.6,37.6274,31.7279,32,32
lt_hangedman_n,63,5074.8,30.4853,30.4853,29,32
lt_hangedman_n,64,4813,29.2426,28.4142,29,32
lt_hangedman_n,65,5010.4,31.8995,31.8995,30,32
lt_hangedman_n,66,4346.8,28.6569,28.6569,28,32
lt_hangedman_n,67,4870.8,30.4142,30.4142,31,32
lt_hangedman_n,68,4573,30.4853,29.3137,29,32
lt_hangedman_n,69,4376.6,31.0711,30.2426,30,32
lt_hangedman_n,70,6824.8,35.0416,35.0416,29,32
lt_hangedman_n,71,6157.2,34.8701,32.6274,28,32
lt_hangedman_n,72,6103,35.0416,35.0416,29,32
lt_hangedman_n,73,5765,36.4853,35.3137,35,32
lt_hangedman_n,74,5518.2,35,35,36,32
lt_hangedman_n,75,5249.4,32.3848,32.3848,28,32
lt_hangedman_n,76,5595,33.5563,32.9706,30,32
lt_hangedman_n,77,5832,35.5563,35.5563,32,32
lt_hangedman_n,78,68033,35.7279,34.8995,33,32
lt_hangedman_n,79,7230,37.9706,35.7279,34,32
lt_hangedman_n,80,8335.6,37.4558,37.4558,31,32
lt_hangedman_n,81,5261,37.4853,36.6569,36,32
lt_hangedman_n,82,123977,39.0416,38.2132,33,32
lt_hangedman_n,83,7254.6,38.3137,36.0711,36,32
lt_hangedman_n,84,7084.2,39.0416,39.0416,33,32
lt_hangedman_n,85,19636.6,39.2132,36.7279,34,32
lt_hangedman_n,86,8790.2,36.3137,36.3137,34,32
lt_hangedman_n,87,41778.6,37.8995,37.0711,36,32
lt_hangedman_n,88,6667.8,38.0711,38.0711,37,32
lt_hangedman_n,89,30775.2,36.1421,36.1421,33,32
lt_hangedman_n,90,8513,43.5563,41.3137,40,32
lt_hangedman_n,91,118752,41.799,41.799,37,32
lt_hangedman_n,92,8255.2,46.6274,41.2132,41,32
lt_hangedman_n,93,6027.8,41.8995,40.2426,40,32
lt_hangedman_n,94,17321.2,46.8701,42.6274,40,32
lt_hangedman_n,95,6869.8,41.799,40.1421,37,32
lt_hangedman_n,96,37858.6,41.0711,41.0711,40,32
lt_hangedman_n,97,171886,46.6274,42.7279,41,32
lt_hangedman_n,98,7874,41.1421,41.1421,38,32
lt_hangedman_n,99,17860.6,40.3137,40.3137,38,32
lt_hangedman_n,100,8289.6,49.5563,47.0711,46,32
lt_hangedman_n,101,45765.8,44.8701,44.8701,38,32
lt_hangedman_n,102,7092.8,47.3137,47.3137,45,32
lt_hangedman_n,103,9873.4,47.1421,46.3137,44,32
lt_hangedman_n,104,13232.2,48.2132,45.2843,43,32
lt_hangedman_n,105,7238.8,46.3137,45.4853,44,32
lt_hangedman_n,106,10279.8,47.3553,47.3553,38,32
lt_hangedman_n,107,243724,52.3848,47.8995,48,32
lt_hangedman_n,108,19539.8,45.5563,44.9706,42,32
lt_hangedman_n,109,8672.4,46.1421,46.1421,43,32
lt_hangedman_n,110,143821,51.7279,51.7279,49,32
lt_hangedman_n,111,55765.6,52.799,50.3137,48,32
lt_hangedman_n,112,11608.2,50.8701,50.8701,44,32
lt_hangedman_n,113,8612.6,50.4558,50.4558,44,32
lt_hangedman_n,114,73042.4,51.3553,50.7696,42,32
lt_hangedman_n,115,9846.6,49.7696,48.9411,40,32
lt_hangedman_n,116,8906,53.3137,51.6569,51,32
lt_hangedman_n,117,15306.2,48.0416,48.0416,42,32
lt_hangedman_n,118,9367.4,50.1421,50.1421,47,32
lt_hangedman_n,119,7223.4,49.1421,48.3137,46,32
lt_hangedman_n,120,8686.2,54.0416,52.6274,48,32
lt_hangedman_n,121,10391.8,56.3553,53.2843,47,32
lt_hangedman_n,122,57762.8,55.1421,55.1421,52,32
lt_hangedman_n,123,221225,58.799,55.4853,54,32
lt_hangedman_n,124,92335,65.8701,55.1421,59,32
lt_hangedman_n,125,85630.8,62.5269,53.2132,54,32
lt_hangedman_n,126,33701,53.1421,53.1421,50,32
lt_hangedman_n,127,63359.8,60.9411,52.2132,52,32
lt_hangedman_n,128,15453.8,56.0416,55.2132,50,32
