map,scenid,tcost,distance,expect,steps,r
lt_house,0,1479.6,4.41421,4.41421,5,8
lt_house,1,663.2,4,4,5,8
lt_house,2,1257.2,4.82843,4.82843,5,8
lt_house,3,982.4,4.41421,4.41421,5,8
lt_house,4,855.4,4.41421,4.41421,5,8
lt_house,5,609.8,4,4,5,8
lt_house,6,852.4,5.41421,5.41421,6,8
lt_house,7,932,4.82843,4.82843,5,8
lt_house,8,1109.2,5.65685,5.65685,5,8
lt_house,9,857.2,4,4,5,8
lt_house,10,1587.6,8.65685,8.65685,8,8
lt_house,11,1501.4,9.82843,9.82843,10,8
lt_house,12,1750.2,9.65685,9.65685,9,8
lt_house,13,1636.8,11.6569,11.6569,11,8
lt_house,14,1466.8,8.82843,8.82843,9,8
lt_house,15,1352.2,9.24264,9.24264,9,8
lt_house,16,1641.6,11.6569,11.6569,11,8
lt_house,17,1132.2,10,10,11,8
lt_house,18,2167.6,11.3137,11.3137,9,8
lt_house,19,1319.6,8.24264,8.24264,8,8
lt_house,20,2401.2,13.8995,13.8995,12,8
lt_house,21,2345.6,15.4853,15.4853,14,8
lt_house,22,1723.8,12.2426,12.2426,12,8
lt_house,23,1995.8,12.7279,12.7279,10,8
lt_house,24,3850.6,15.0711,15.0711,14,8
lt_house,25,1921.8,13.0711,13.0711,12,8
lt_house,26,1845,12.2426,12.2426,12,8
lt_house,27,2794,16.6569,15.8284,16,8
lt_house,28,2036,14.4142,14.4142,15,8
lt_house,29,1837,15.0711,15.0711,14,8
lt_house,30,2682.6,19.0711,19.0711,18,8
lt_house,31,8219.6,21.1421,17.4853,18,8
lt_house,32,2785.8,18.2426,18.2426,18,8
lt_house,33,2577.2,17.8995,17.8995,16,8
lt_house,34,2385.8,16.6569,16.6569,16,8
lt_house,35,2593.4,16.4853,16.4853,15,8
lt_house,36,2245,16.8995,16.8995,15,8
lt_house,37,2622.8,18.2426,18.2426,18,8
lt_house,38,2247.8,16.4853,16.4853,15,8
lt_house,39,4183.8,22.7279,18.2426,20,8
lt_house,40,3293.8,23.9706,23.9706,20,8
lt_house,41,7281,20.3137,20.3137,18,8
lt_house,42,11589,22.7279,22.1421,20,8
lt_house,43,3395.2,21.9706,21.9706,18,8
lt_house,44,3272.8,21.8284,21.8284,22,8
lt_house,45,2923.4,20.8284,20.8284,21,8
lt_house,46,5720.8,20.4142,20.4142,21,8
lt_house,47,2887.4,22.8284,22.8284,23,8
lt_house,48,3086.4,22.8995,22.8995,21,8
lt_house,49,3447.8,22.2426,22.2426,22,8
