map,scenid,tcost,distance,expect,steps,r
lt_ruinedhouse_n,0,1672.2,7.24264,7.24264,7,64
lt_ruinedhouse_n,1,1269,7.65685,7.65685,7,64
lt_ruinedhouse_n,2,991.8,5,5,6,64
lt_ruinedhouse_n,3,1336.8,6.24264,6.24264,6,64
lt_ruinedhouse_n,4,1235,6.65685,6.65685,6,64
lt_ruinedhouse_n,5,1080,6.41421,6.41421,7,64
lt_ruinedhouse_n,6,986.6,5.41421,5.41421,6,64
lt_ruinedhouse_n,7,1088,6.65685,6.65685,6,64
lt_ruinedhouse_n,8,1104.8,5.65685,5.65685,5,64
lt_ruinedhouse_n,9,1053.6,6.24264,6.24264,6,64
lt_ruinedhouse_n,10,1708,10.0711,10.0711,9,64
lt_ruinedhouse_n,11,1898.6,10.8995,10.8995,9,64
lt_ruinedhouse_n,12,1752.8,11.8284,11.8284,12,64
lt_ruinedhouse_n,13,2078.8,10.2426,10.2426,10,64
lt_ruinedhouse_n,14,1496.2,8.82843,8.82843,9,64
lt_ruinedhouse_n,15,1599.4,10.4142,10.4142,11,64
lt_ruinedhouse_n,16,1557.2,10.6569,10.6569,10,64
lt_ruinedhouse_n,17,1265,8.24264,8.24264,8,64
lt_ruinedhouse_n,18,1317.4,8.41421,8.41421,9,64
lt_ruinedhouse_n,19,1577.6,11,11,12,64
lt_ruinedhouse_n,20,1819.8,14,14,15,64
lt_ruinedhouse_n,21,1902,14.8284,14.8284,15,64
lt_ruinedhouse_n,22,1512.6,13.4142,13.4142,14,64
lt_ruinedhouse_n,23,2031.4,13.8995,13.8995,12,64
lt_ruinedhouse_n,24,2415,12.4853,12.4853,11,64
lt_ruinedhouse_n,25,1786.4,13.8284,13.8284,14,64
lt_ruinedhouse_n,26,2347.6,14.7279,14.7279,12,64
lt_ruinedhouse_n,27,1907,13.8284,13.8284,14,64
lt_ruinedhouse_n,28,2142.6,12.0711,12.0711,11,64
lt_ruinedhouse_n,29,1688,12.0711,12.0711,11,64
lt_ruinedhouse_n,30,2283.2,16.4142,16.4142,17,64
lt_ruinedhouse_n,31,2673.2,19.5563,19.5563,16,64
lt_ruinedhouse_n,32,2723.6,18.6569,18.6569,18,64
lt_ruinedhouse_n,33,15583.6,18.9706,18.9706,15,64
lt_ruinedhouse_n,34,2345.2,17.0711,17.0711,16,64
lt_ruinedhouse_n,35,2545.4,16.7279,16.7279,14,64
lt_ruinedhouse_n,36,2357.4,16.8284,16.8284,17,64
lt_ruinedhouse_n,37,2630.4,16.8284,16.8284,17,64
lt_ruinedhouse_n,38,2345.6,16.4142,16.4142,17,64
lt_ruinedhouse_n,39,2604.2,17.3137,17.3137,15,64
