map,scenid,tcost,distance,expect,steps,r
lt_undercityencounter,0,2219,5.82843,5.82843,6,4
lt_undercityencounter,1,1639.8,5.24264,5.24264,5,4
lt_undercityencounter,2,1515.2,6.41421,6.41421,7,4
lt_undercityencounter,3,1217.4,5.24264,5.24264,5,4
lt_undercityencounter,4,1260.6,5.41421,5.41421,6,4
lt_undercityencounter,5,1513,6.65685,6.65685,6,4
lt_undercityencounter,6,1577.2,7.82843,7.82843,8,4
lt_undercityencounter,7,1293.2,7,7,8,4
lt_undercityencounter,8,1160.8,5.41421,5.41421,6,4
lt_undercityencounter,9,743.6,4.41421,4.41421,5,4
lt_undercityencounter,10,2510.4,10.4853,10.4853,9,4
lt_undercityencounter,11,1812,9.48528,9.48528,8,4
lt_undercityencounter,12,1468.6,8,8,9,4
lt_undercityencounter,13,1772.2,11,11,12,4
lt_undercityencounter,14,1563.8,10.2426,10.2426,10,4
lt_undercityencounter,15,2049.4,11.2426,10.4142,11,4
lt_undercityencounter,16,1551.6,8.65685,8.65685,8,4
lt_undercityencounter,17,1671.4,10.8284,10.8284,11,4
lt_undercityencounter,18,2185.2,11.6569,11.6569,11,4
lt_undercityencounter,19,1505.4,9.41421,9.41421,10,4
lt_undercityencounter,20,2583.2,14.8995,14.8995,13,4
lt_undercityencounter,21,2280.8,15.2426,15.2426,15,4
lt_undercityencounter,22,2780,15.5563,15.5563,12,4
lt_undercityencounter,23,2376.6,14.8995,14.8995,13,4
lt_undercityencounter,24,2624.8,14.0711,14.0711,13,4
lt_undercityencounter,25,2282.4,13.6569,13.6569,13,4
lt_undercityencounter,26,1986,12.8284,12.8284,13,4
lt_undercityencounter,27,2253.8,13.0711,13.0711,12,4
lt_undercityencounter,28,1973,13.8284,13.8284,14,4
lt_undercityencounter,29,1986.4,12.2426,12.2426,12,4
lt_undercityencounter,30,2964.8,16.7279,16.7279,14,4
lt_undercityencounter,31,2578.2,17.8284,17.8284,18,4
lt_undercityencounter,32,3369,19.9706,19.9706,16,4
lt_undercityencounter,33,3489.4,19.4853,19.4853,18,4
lt_undercityencounter,34,3011.2,18.4142,18.4142,19,4
lt_undercityencounter,35,2212.2,17.8284,17.8284,18,4
lt_undercityencounter,36,3812.4,19.7279,17.4853,17,4
lt_undercityencounter,37,2956,17.3137,17.3137,15,4
lt_undercityencounter,38,2513.4,16.0711,16.0711,15,4
lt_undercityencounter,39,2561.8,17.1421,17.1421,14,4
lt_undercityencounter,40,3958.4,23.3137,23.3137,21,4
lt_undercityencounter,41,3766.6,22.2426,22.2426,22,4
lt_undercityencounter,42,3554,23.8284,23.8284,24,4
lt_undercityencounter,43,3276.4,21,21,22,4
lt_undercityencounter,44,4282.4,20.3137,20.3137,18,4
lt_undercityencounter,45,3457,20.3137,20.3137,18,4
lt_undercityencounter,46,27193.4,21.2426,21.2426,21,4
lt_undercityencounter,47,3564.2,21.4142,21.4142,22,4
lt_undercityencounter,48,3551,22.8995,22.8995,21,4
lt_undercityencounter,49,3226,20.4142,20.4142,21,4
lt_undercityencounter,50,4738.4,24.2132,24.2132,19,4
lt_undercityencounter,51,3719.2,26.0711,26.0711,25,4
lt_undercityencounter,52,4971.2,28.1421,24.7279,25,4
lt_undercityencounter,53,4556.6,26.0416,26.0416,20,4
lt_undercityencounter,54,3656.8,25.5563,25.5563,22,4
lt_undercityencounter,55,3832.4,24.4142,24.4142,25,4
lt_undercityencounter,56,4062.2,25.6569,25.6569,25,4
lt_undercityencounter,57,4241.4,26.8284,26.8284,27,4
lt_undercityencounter,58,3609.4,24.8995,24.8995,23,4
lt_undercityencounter,59,22798.2,26.7279,26.7279,24,4
lt_undercityencounter,60,5587.2,31.5563,31.5563,28,4
lt_undercityencounter,61,5186.8,28.4558,28.4558,22,4
lt_undercityencounter,62,3517.8,30,30,31,4
