map,scenid,tcost,distance,expect,steps,r
lt_undercityserialkiller,0,2266.6,7.82843,7.82843,8,64
lt_undercityserialkiller,1,1900,7.24264,7.24264,7,64
lt_undercityserialkiller,2,1289.4,4.41421,4.41421,5,64
lt_undercityserialkiller,3,1222.8,5.41421,5.41421,6,64
lt_undercityserialkiller,4,1418.8,4.82843,4.82843,5,64
lt_undercityserialkiller,5,1497.8,7.41421,7.41421,8,64
lt_undercityserialkiller,6,1177.2,6.82843,6.82843,7,64
lt_undercityserialkiller,7,817.6,4.41421,4.41421,5,64
lt_undercityserialkiller,8,1714.8,7.82843,7.82843,8,64
lt_undercityserialkiller,9,1372.2,7.82843,7.82843,8,64
lt_undercityserialkiller,10,2273.4,11.4142,11.4142,12,64
lt_undercityserialkiller,11,2168.8,11.8284,11.8284,12,64
lt_undercityserialkiller,12,1869.6,10.0711,10.0711,9,64
lt_undercityserialkiller,13,1835,11.4142,11.4142,12,64
lt_undercityserialkiller,14,2101.6,9.82843,9.82843,10,64
lt_undercityserialkiller,15,1470.6,9.24264,9.24264,9,64
lt_undercityserialkiller,16,1875,10,10,11,64
lt_undercityserialkiller,17,1811.6,11.2426,11.2426,11,64
lt_undercityserialkiller,18,1769.6,9.41421,9.41421,10,64
lt_undercityserialkiller,19,1838.8,9.48528,9.48528,8,64
lt_undercityserialkiller,20,3112.8,14.3137,14.3137,12,64
lt_undercityserialkiller,21,2058.8,12.8284,12.8284,13,64
lt_undercityserialkiller,22,2467,14.1421,14.1421,11,64
lt_undercityserialkiller,23,2277.2,13.2426,13.2426,13,64
lt_undercityserialkiller,24,2432.6,15.2426,15.2426,15,64
lt_undercityserialkiller,25,2341.4,12.8995,12.8995,11,64
lt_undercityserialkiller,26,2210,13.8284,13.8284,14,64
lt_undercityserialkiller,27,2395.6,15.6569,15.6569,15,64
lt_undercityserialkiller,28,2463,14.8284,14.8284,15,64
lt_undercityserialkiller,29,5286.4,15.0711,15.0711,14,64
lt_undercityserialkiller,30,3489.8,19.7279,19.7279,17,64
lt_undercityserialkiller,31,2893.8,17.3137,16.4853,15,64
lt_undercityserialkiller,32,3363,19.2426,19.2426,19,64
lt_undercityserialkiller,33,2658.6,16.8284,16.8284,17,64
lt_undercityserialkiller,34,3057,17.7279,17.7279,15,64
lt_undercityserialkiller,35,3227,17.4853,16.6569,16,64
lt_undercityserialkiller,36,3734.6,19.7279,19.7279,17,64
lt_undercityserialkiller,37,2516,16.2426,16.2426,16,64
lt_undercityserialkiller,38,3017,18.8995,18.8995,17,64
lt_undercityserialkiller,39,2565.8,16.6569,16.6569,16,64
lt_undercityserialkiller,40,3904,22.9706,21.3137,19,64
lt_undercityserialkiller,41,4520.8,23.799,23.799,19,64
lt_undercityserialkiller,42,4212.4,23.9706,23.9706,20,64
lt_undercityserialkiller,43,4028.6,23.9706,23.9706,20,64
lt_undercityserialkiller,44,3494.4,23.6569,23.6569,23,64
lt_undercityserialkiller,45,3483.8,22.4853,21.8995,21,64
lt_undercityserialkiller,46,3851.8,22.9706,22.9706,19,64
lt_undercityserialkiller,47,3450.6,20.4853,20.4853,19,64
lt_undercityserialkiller,48,6940.2,20,20,21,64
lt_undercityserialkiller,49,3309,23,23,24,64
lt_undercityserialkiller,50,4154.8,25.8284,25.8284,26,64
lt_undercityserialkiller,51,4697.2,26.799,26.799,22,64
lt_undercityserialkiller,52,3584,25.4142,25.4142,26,64
lt_undercityserialkiller,53,4716.8,26.9706,26.9706,23,64
lt_undercityserialkiller,54,4297.4,26.2132,26.2132,21,64
lt_undercityserialkiller,55,4177,27.3137,27.3137,25,64
lt_undercityserialkiller,56,3851.4,24.8284,24.8284,25,64
lt_undercityserialkiller,57,5103.8,27.799,25.3137,23,64
lt_undercityserialkiller,58,3972.4,25.8995,25.8995,24,64
lt_undercityserialkiller,59,4067.6,24.2132,24.2132,19,64
lt_undercityserialkiller,60,5044.4,33.0711,30.8284,32,64
lt_undercityserialkiller,61,5664.8,31.5563,29.3137,28,64
lt_undercityserialkiller,62,4819.8,31.8995,31.8995,30,64
lt_undercityserialkiller,63,4351,28.3137,28.3137,26,64
lt_undercityserialkiller,64,31361,29.4142,29.4142,30,64
lt_undercityserialkiller,65,14074.2,34.5563,31.2426,31,64
lt_undercityserialkiller,66,4685,29.0711,28.2426,28,64
lt_undercityserialkiller,67,5331.4,29.3848,29.3848,25,64
lt_undercityserialkiller,68,4915,28.9706,28.9706,25,64
lt_undercityserialkiller,69,5484,31.0416,31.0416,25,64
lt_undercityserialkiller,70,206615,37.5563,35.8995,34,64
lt_undercityserialkiller,71,5111.2,34.4853,34.4853,33,64
lt_undercityserialkiller,72,33907,36.6569,34.6569,36,64
lt_undercityserialkiller,73,6324,33.799,33.799,29,64
lt_undercityserialkiller,74,6534.4,34.6569,34.6569,34,64
lt_undercityserialkiller,75,5337.2,33.4853,33.4853,32,64
lt_undercityserialkiller,76,6691.6,35.6274,35.0416,30,64
lt_undercityserialkiller,77,5690,32.799,32.799,28,64
lt_undercityserialkiller,78,6515.2,33.9706,33.9706,30,64
lt_undercityserialkiller,79,6467.2,33.0416,33.0416,27,64
lt_undercityserialkiller,80,6153.4,36.8995,36.8995,35,64
lt_undercityserialkiller,81,6930.6,38.5269,38.5269,30,64
lt_undercityserialkiller,82,7243.8,38.8995,37.2426,37,64
lt_undercityserialkiller,83,8073.6,42.1421,38.4853,39,64
lt_undercityserialkiller,84,6263,37.8284,37.8284,38,64
