map,scenid,tcost,distance,expect,steps,r
lt_warehouse,0,2321.6,5.82843,5.82843,6,16
lt_warehouse,1,1217,7.41421,7.41421,8,16
lt_warehouse,2,1562,6.24264,6.24264,6,16
lt_warehouse,3,1180.6,5.24264,5.24264,5,16
lt_warehouse,4,1571.6,6.65685,6.65685,6,16
lt_warehouse,5,1568.8,7.82843,7.82843,8,16
lt_warehouse,6,1227.8,5.41421,5.41421,6,16
lt_warehouse,7,1147.2,5.82843,5.82843,6,16
lt_warehouse,8,838.8,4.82843,4.82843,5,16
lt_warehouse,9,890.4,5,5,6,16
lt_warehouse,10,2066.6,11.2426,11.2426,11,16
lt_warehouse,11,1189.8,8.41421,8.41421,9,16
lt_warehouse,12,1382.8,8.24264,8.24264,8,16
lt_warehouse,13,1571.4,8.65685,8.65685,8,16
lt_warehouse,14,1966.2,11.4142,11.4142,12,16
lt_warehouse,15,1024.8,8,8,9,16
lt_warehouse,16,1346,8.82843,8.82843,9,16
lt_warehouse,17,1995.4,11.0711,11.0711,10,16
lt_warehouse,18,1500.4,8.82843,8.82843,9,16
lt_warehouse,19,1658.6,11,11,12,16
lt_warehouse,20,2842.4,15.8284,15,16,16
lt_warehouse,21,1758.4,12.8284,12.8284,13,16
lt_warehouse,22,1933,12.4853,12.4853,11,16
lt_warehouse,23,1606.8,12.4142,12.4142,13,16
lt_warehouse,24,1833,15.2426,15.2426,15,16
lt_warehouse,25,2387.8,15.8284,15.8284,16,16
lt_warehouse,26,1847,12.6569,12.6569,12,16
lt_warehouse,27,1573.2,13,13,14,16
lt_warehouse,28,1897.2,12.8995,12.8995,11,16
lt_warehouse,29,3039.8,15.8995,15.0711,14,16
lt_warehouse,30,2355,19.8284,19.8284,20,16
lt_warehouse,31,2770.8,19.2426,19.2426,19,16
lt_warehouse,32,2300.8,17.8284,17.8284,18,16
lt_warehouse,33,2837.4,18.4853,18.4853,17,16
lt_warehouse,34,3300.2,17.7279,16.8995,15,16
lt_warehouse,35,3176.2,19.4853,19.4853,18,16
lt_warehouse,36,2838.6,18.1421,18.1421,15,16
lt_warehouse,37,2337.8,17.3137,17.3137,15,16
lt_warehouse,38,2704.8,20.6569,19.8284,20,16
lt_warehouse,39,2982.2,16.9706,16.9706,13,16
lt_warehouse,40,3371,20.9706,20.9706,17,16
lt_warehouse,41,3037.8,20.5563,20.5563,17,16
lt_warehouse,42,2465.4,21.6569,21.6569,21,16
lt_warehouse,43,3249,21.0711,21.0711,20,16
lt_warehouse,44,2850.8,22.8284,22.8284,23,16
lt_warehouse,45,3541,23.4853,22.6569,22,16
lt_warehouse,46,3584.6,22.1421,22.1421,19,16
lt_warehouse,47,4173.4,22.6274,22.6274,17,16
lt_warehouse,48,3659.8,22.8995,22.8995,21,16
lt_warehouse,49,3322.6,21.8284,21.8284,22,16
lt_warehouse,50,4329,26.3848,25.5563,22,16
lt_warehouse,51,3815.2,24.2132,24.2132,19,16
lt_warehouse,52,3658.4,24.0711,24.0711,23,16
lt_warehouse,53,6316.8,26.8284,26.8284,27,16
lt_warehouse,54,4124.6,25.1421,24.5563,22,16
lt_warehouse,55,21206.4,26.5563,26.5563,23,16
lt_warehouse,56,4794.8,25.1421,24.3137,22,16
lt_warehouse,57,4325.4,26.2426,26.2426,26,16
lt_warehouse,58,3605.6,26,26,27,16
lt_warehouse,59,4299.4,26.4853,26.4853,25,16
lt_warehouse,60,4920.4,31.0711,31.0711,30,16
lt_warehouse,61,5102.6,30.8995,30.0711,29,16
lt_warehouse,62,4817,28.6274,28.6274,23,16
lt_warehouse,63,4660,30.5563,29.7279,27,16
lt_warehouse,64,34818.4,28.3137,28.3137,26,16
lt_warehouse,65,5139,28.799,28.799,24,16
lt_warehouse,66,3968.4,31.4142,31.4142,32,16
lt_warehouse,67,5293.4,31.3137,31.3137,29,16
lt_warehouse,68,4720.6,28.3848,28.3848,24,16
lt_warehouse,69,4897.2,29.5563,29.5563,26,16
lt_warehouse,70,6236.8,33.3848,33.3848,29,16
lt_warehouse,71,5651.4,35.3848,35.3848,31,16
lt_warehouse,72,7582,39.3137,34.8284,37,16
lt_warehouse,73,5684.8,34.0416,34.0416,28,16
lt_warehouse,74,5877.6,35.1421,34.3137,32,16
lt_warehouse,75,4798,32.4853,32.4853,31,16
lt_warehouse,76,8200.4,35.5563,34.9706,32,16
lt_warehouse,77,5643.2,34.7279,33.8995,32,16
lt_warehouse,78,11997.6,39.2843,34.2132,32,16
lt_warehouse,79,4479.4,35.2426,35.2426,35,16
lt_warehouse,80,10767,40.8701,37.2132,34,16
lt_warehouse,81,15605.8,40.3137,38.5563,38,16
lt_warehouse,82,6343.4,38.6274,38.6274,33,16
lt_warehouse,83,5675,37.6569,37.6569,37,16
lt_warehouse,84,6350.6,38.3137,36.6569,36,16
lt_warehouse,85,10452.6,38.5563,38.5563,35,16
lt_warehouse,86,5792,39.4142,39.4142,40,16
lt_warehouse,87,5588.2,36.8995,36.8995,35,16
lt_warehouse,88,6133.8,38.799,38.799,34,16
lt_warehouse,89,6342.4,39.8995,37.8995,38,16
lt_warehouse,90,7557.6,44.2132,43.3848,39,16
lt_warehouse,91,7161.4,41.4853,41.4853,40,16
lt_warehouse,92,6499.2,43.6569,43.6569,43,16
lt_warehouse,93,54344.4,40.3848,40.3848,36,16
lt_warehouse,94,10235.4,52.1127,43.7279,44,16
lt_warehouse,95,6783.2,42.4853,42.4853,41,16
lt_warehouse,96,10602.2,43.799,42.9706,39,16
lt_warehouse,97,7076,42.3848,41.2132,38,16
lt_warehouse,98,7622.2,41.0416,40.2132,35,16
lt_warehouse,99,109729,47.6274,41.1421,42,16
lt_warehouse,100,7221.8,46.5563,46.5563,43,16
lt_warehouse,101,8667.2,46.5269,46.5269,38,16
lt_warehouse,102,14187.2,45.799,45.799,41,16
lt_warehouse,103,7083,44.3137,44.3137,42,16
lt_warehouse,104,148074,48.1421,46.7279,45,16
lt_warehouse,105,14037,50.8701,45.6985,44,16
lt_warehouse,106,7411,44.8284,44.8284,45,16
lt_warehouse,107,694948,45.3137,45.3137,43,16
lt_warehouse,108,873375,47.8701,47.8701,41,16
lt_warehouse,109,7244.4,45.6569,45.0711,45,16
lt_warehouse,110,8226.4,50.4142,50.4142,51,16
lt_warehouse,111,8087.2,51.2426,51.2426,51,16
lt_warehouse,112,10774.6,51.2548,51.2548,39,16
lt_warehouse,113,378298,57.6985,51.8995,50,16
lt_warehouse,114,22750.2,51.3848,51.3848,47,16
lt_warehouse,115,9244.4,50.1127,50.1127,42,16
lt_warehouse,116,8490,49.2426,49.2426,49,16
lt_warehouse,117,462078,48.5563,48.5563,45,16
lt_warehouse,118,8466.4,48.0711,48.0711,47,16
lt_warehouse,119,9488.2,50.2132,49.6274,45,16
lt_warehouse,120,17066.6,56.5563,53.9706,53,16
