map,scenid,tcost,distance,expect,steps,r
maze-400-4,0,2285.8,4.41421,4.41421,5,128
maze-400-4,1,2731.4,6.24264,6.24264,6,128
maze-400-4,2,2386.2,6.82843,6.82843,7,128
maze-400-4,3,2405.2,6,6,7,128
maze-400-4,4,2403.8,6.24264,6.24264,6,128
maze-400-4,5,2683.6,7.82843,7.82843,8,128
maze-400-4,6,1438.4,4,4,5,128
maze-400-4,7,1276.4,4.41421,4.41421,5,128
maze-400-4,8,1969,6.82843,6.82843,7,128
maze-400-4,9,1162.2,4.41421,4.41421,5,128
maze-400-4,10,2110,10.6569,10.6569,10,128
maze-400-4,11,3089.6,10.0711,10.0711,9,128
maze-400-4,12,4207.8,9.82843,9.82843,10,128
maze-400-4,13,2846.8,11.6569,11.6569,11,128
maze-400-4,14,2269.6,9.82843,9.82843,10,128
maze-400-4,15,1199.4,8,8,9,128
maze-400-4,16,3074.6,8.41421,8.41421,9,128
maze-400-4,17,3774.6,10.4142,10.4142,11,128
maze-400-4,18,4985.2,11.4142,11.4142,12,128
maze-400-4,19,2493.8,8.41421,8.41421,9,128
maze-400-4,20,4623.2,13.6569,13.6569,13,128
maze-400-4,21,2694.4,15.8284,15,16,128
maze-400-4,22,4013.8,14.8995,14.8995,13,128
maze-400-4,23,3409.8,13.6569,13.6569,13,128
maze-400-4,24,3529.8,13.0711,13.0711,12,128
maze-400-4,25,2051.6,12.8284,12.8284,13,128
maze-400-4,26,5177,16.3137,15.4853,14,128
maze-400-4,27,4358.6,15.0711,15.0711,14,128
maze-400-4,28,5930.8,16.7279,14.7279,14,128
maze-400-4,29,3621.6,13.2426,13.2426,13,128
maze-400-4,30,4764.6,19.4853,19.4853,18,128
maze-400-4,31,8155,19.6569,18.4853,19,128
maze-400-4,32,28348.2,20.2426,18.8284,20,128
maze-400-4,33,5551.8,17.4853,17.4853,16,128
maze-400-4,34,9852.6,19.4853,17.2426,18,128
maze-400-4,35,2257,19,19,20,128
maze-400-4,36,5060,19.2426,17.2426,19,128
maze-400-4,37,9240.6,17.6569,17.6569,17,128
maze-400-4,38,10854,20.4853,19.6569,19,128
maze-400-4,39,3707.8,16.6569,16.6569,16,128
maze-400-4,40,7825,20.4853,20.4853,19,128
maze-400-4,41,5956.2,20.5563,20.5563,17,128
maze-400-4,42,5642.8,20.0711,20.0711,19,128
maze-400-4,43,5117.2,20.4853,20.4853,19,128
maze-400-4,44,8540.2,24.5563,21.1421,21,128
maze-400-4,45,9813.4,23.0711,23.0711,22,128
maze-400-4,46,10163.4,24.7279,22.4853,22,128
maze-400-4,47,17247.2,20.4853,20.4853,19,128
maze-400-4,48,11064.4,25.7279,22.3137,23,128
maze-400-4,49,10497.2,23.2426,23.2426,23,128
maze-400-4,50,8344.4,28.8995,26.3137,27,128
maze-400-4,51,9930.2,30.799,24.0711,26,128
maze-400-4,52,33464.6,27.3137,26.4853,25,128
maze-400-4,53,8678.6,28.7279,26.1421,26,128
maze-400-4,54,84282.4,24.0711,24.0711,23,128
maze-400-4,55,27638.2,27.3137,26.4853,25,128
maze-400-4,56,14328.4,26.3137,26.3137,24,128
maze-400-4,57,6001,26.2426,26.2426,26,128
maze-400-4,58,8775.2,27.4853,27.4853,26,128
maze-400-4,59,6804.6,27.6569,27.0711,27,128
maze-400-4,60,10118.4,31.3137,30.1421,29,128
maze-400-4,61,9848.4,31.9706,28.3137,28,128
maze-400-4,62,12847.2,32.9706,28.3848,29,128
maze-400-4,63,34122.4,31.5563,31.5563,28,128
maze-400-4,64,9105.8,31.1421,28.3137,28,128
maze-400-4,65,18582.2,31.6569,31.6569,31,128
maze-400-4,66,21981.8,28.8995,28.8995,27,128
maze-400-4,67,13419.8,29.8995,29.0711,28,128
maze-400-4,68,7383.6,30.3137,29.4853,28,128
maze-400-4,69,10326.8,31.0711,28.2426,30,128
maze-400-4,70,13290.8,35.0711,32.8284,34,128
maze-400-4,71,22947,32.1421,32.1421,29,128
maze-400-4,72,13981.8,32.6569,32.6569,32,128
maze-400-4,73,29435.8,32.3137,32.3137,30,128
maze-400-4,74,26240.2,34.4853,32.2426,33,128
maze-400-4,75,9790.6,35.3848,35.3848,31,128
maze-400-4,76,11212.8,38.9706,35.5563,35,128
maze-400-4,77,54109.4,35.4853,33.7279,34,128
maze-400-4,78,29008.4,32.0711,32.0711,31,128
maze-400-4,79,45740.2,33.8995,33.8995,32,128
maze-400-4,80,40640.6,41.3848,39.1421,37,128
maze-400-4,81,75840.6,36.1421,36.1421,33,128
maze-400-4,82,26447,39.799,39.799,35,128
maze-400-4,83,14916.6,38.9706,38.1421,35,128
maze-400-4,84,145551,36.0416,36.0416,30,128
maze-400-4,85,40306.4,46.0416,38.1421,40,128
maze-400-4,86,21177.8,38.1421,38.1421,35,128
maze-400-4,87,29912.8,37.5563,37.5563,34,128
maze-400-4,88,11238.2,38.7279,38.7279,36,128
maze-400-4,89,40864.8,39.2132,39.2132,34,128
maze-400-4,90,12364.2,42.9706,41.2132,39,128
maze-400-4,91,30814,41.7279,41.7279,39,128
maze-400-4,92,96790.6,45.6274,43.8701,40,128
maze-400-4,93,12532,43.5563,43.5563,40,128
maze-400-4,94,58127,42.5563,40.8995,39,128
maze-400-4,95,22373.6,46.9706,43.799,43,128
maze-400-4,96,12414.6,45.4558,43.4558,39,128
maze-400-4,97,15947.2,42.799,41.6274,38,128
maze-400-4,98,31513.4,40.2132,40.2132,35,128
maze-400-4,99,47391,42.8701,42.0416,36,128
maze-400-4,100,405451,45.3848,45.3848,41,128
maze-400-4,101,39254,46.3137,46.3137,44,128
maze-400-4,102,40910.8,47.1421,45.9706,44,128
maze-400-4,103,148474,48.2843,46.0416,41,128
maze-400-4,104,233152,45.4853,45.4853,44,128
maze-400-4,105,21044.6,50.9706,47.5563,47,128
maze-400-4,106,13422.2,45.3848,45.3848,41,128
maze-400-4,107,10982.2,44.799,44.2132,40,128
maze-400-4,108,71924.6,49.4558,44.9706,43,128
maze-400-4,109,28899.4,48.6274,45.799,43,128
maze-400-4,110,33708.6,52.6274,48.3848,47,128
maze-400-4,111,342416,52.0416,51.2132,46,128
maze-400-4,112,45229.4,50.9706,50.9706,47,128
maze-400-4,113,70164.8,48.4853,48.4853,47,128
maze-400-4,114,61052.8,55.7279,51.7279,53,128
maze-400-4,115,34222,53.4558,51.4558,47,128
maze-400-4,116,21517.4,51.9706,49.3848,48,128
maze-400-4,117,34849.8,49.0416,49.0416,43,128
maze-400-4,118,44612.4,50.5563,50.5563,47,128
maze-400-4,119,15235.6,53.9706,51.9706,50,128
maze-400-4,120,24036.6,57.2132,55.799,52,128
maze-400-4,121,19901.6,55.0416,54.4558,49,128
maze-400-4,122,38961.4,58.2843,55.2132,51,128
maze-400-4,123,37852,59.7696,54.9411,50,128
maze-400-4,124,62825.8,56.1127,53.8701,48,128
maze-400-4,125,17702.2,57.3137,54.4853,55,128
maze-400-4,126,24705.2,55.8995,52.1421,54,128
maze-400-4,127,41373,55.5563,55.5563,52,128
maze-400-4,128,47084.2,54.9706,53.799,51,128
maze-400-4,129,38910,57.6985,54.5269,50,128
maze-400-4,130,145959,58.0711,57.2426,57,128
maze-400-4,131,251113,59.6985,59.6985,52,128
maze-400-4,132,73180.2,60.4558,59.0416,54,128
maze-400-4,133,542410,62.2843,57.2132,55,128
maze-400-4,134,918636,63.4558,59.2132,57,128
maze-400-4,135,43786.4,66.6985,57.6274,59,128
maze-400-4,136,23583.2,66.799,58.3137,62,128
maze-400-4,137,36520.6,58.9706,58.1421,55,128
maze-400-4,138,63338.2,57.4853,57.4853,56,128
maze-400-4,139,69830.2,61.3848,58.2132,57,128
maze-400-4,140,65084.8,63.5563,63.5563,60,128
maze-400-4,141,27733.6,68.9411,63.5269,60,128
maze-400-4,142,23641.6,64.5269,60.2843,56,128
maze-400-4,143,31739.8,64.0416,60.5269,58,128
maze-400-4,144,113866,64.8701,62.6274,58,128
maze-400-4,145,106349,66.6985,62.4558,59,128
maze-400-4,146,77402,61.1127,60.5269,53,128
maze-400-4,147,910214,64.3848,63.2132,60,128
maze-400-4,148,44437,62.3848,62.3848,58,128
maze-400-4,149,359043,66.8701,63.3553,60,128
maze-400-4,150,39707.2,67.4558,64.3848,61,128
maze-400-4,151,55352.4,67.9411,67.9411,59,128
maze-400-4,152,102704,72.598,66.9411,62,128
maze-400-4,153,128474,65.6985,65.6985,58,128
maze-400-4,154,271034,66.4558,65.0416,60,128
maze-400-4,155,92958.8,67.8701,67.8701,61,128
maze-400-4,156,40622,67.0416,65.8701,61,128
maze-400-4,157,51616.8,70.9411,64.4558,62,128
maze-400-4,158,63396.6,68.5563,67.7279,65,128
maze-400-4,159,148588,67.2132,67.2132,62,128
maze-400-4,160,872378,71.2132,69.4558,66,128
maze-400-4,161,46095.6,73.799,70.2843,69,128
maze-400-4,162,86724,69.9411,69.9411,61,128
maze-400-4,163,43535.6,73.1127,68.8701,65,128
maze-400-4,164,45081.2,71.5563,71.5563,68,128
maze-400-4,165,71464.6,75.5269,70.4558,67,128
maze-400-4,166,720996,76.1838,68.8701,66,128
maze-400-4,167,102428,72.2132,69.9706,67,128
maze-400-4,168,32647,70.7279,70.7279,68,128
maze-400-4,169,46418,75.5269,70.4558,67,128
maze-400-4,170,73102.6,77.5563,75.3137,74,128
maze-400-4,171,210005,77.4558,73.4558,71,128
maze-400-4,172,474811,75.1127,74.2843,67,128
maze-400-4,173,63760.2,79.9411,74.8701,71,128
maze-400-4,174,27121.8,79.1127,74.0416,71,128
maze-400-4,175,107736,76.9411,72.4558,68,128
maze-400-4,176,142513,74.6274,72.8701,69,128
maze-400-4,177,42113.8,73.4264,72.598,62,128
maze-400-4,178,96821.8,78.2843,74.0416,71,128
maze-400-4,179,68578.8,81.9411,75.9411,73,128
maze-400-4,180,138177,83.3259,76.8406,69,128
maze-400-4,181,89616,83.5269,78.1127,75,128
maze-400-4,182,166215,78.6274,77.799,73,128
maze-400-4,183,359131,83.3553,79.2548,74,128
maze-400-4,184,57938.2,84.1127,76.5563,76,128
maze-400-4,185,108226,79.5269,77.2843,71,128
maze-400-4,186,49406.4,81.2843,76.2132,74,128
maze-400-4,187,23985.6,85.0122,79.0122,74,128
maze-400-4,188,46975,78.6274,76.8701,73,128
maze-400-4,189,134224,87.8406,77.1127,76,128
maze-400-4,190,62134.4,92.2548,82.598,80,128
maze-400-4,191,223220,87.7696,81.4264,78,128
maze-400-4,192,165901,86.8701,82.6274,80,128
maze-400-4,193,40678.6,83.799,80.1421,79,128
maze-400-4,194,64354.6,95.598,82.1838,85,128
maze-400-4,195,150083,85.2132,83.2132,80,128
maze-400-4,196,102708,84.7401,83.9117,70,128
maze-400-4,197,218974,87.1838,82.1127,77,128
maze-400-4,198,365904,85.669,80.2548,73,128
maze-400-4,199,162125,81.4558,81.4558,75,128
maze-400-4,200,889121,93.0122,87.1127,82,128
maze-400-4,201,160290,86.5269,84.8701,78,128
maze-400-4,202,342341,87.0416,87.0416,81,128
maze-400-4,203,156827,97.8701,86.4558,91,128
maze-400-4,204,239365,87.0416,86.2132,81,128
maze-400-4,205,306463,88.9411,87.7696,80,128
maze-400-4,206,90008.2,89.2843,87.0416,82,128
maze-400-4,207,278323,93.4264,87.7696,82,128
maze-400-4,208,93252.8,86.6985,86.6985,79,128
maze-400-4,209,65546.6,88.7696,86.7696,79,128
maze-400-4,210,264649,96.0833,91.8406,83,128
maze-400-4,211,53609.6,99.4264,91.1838,88,128
maze-400-4,212,108355,93.2843,89.0416,86,128
maze-400-4,213,114246,90.7696,89.3553,81,128
maze-400-4,214,125626,89.6985,88.5269,82,128
maze-400-4,215,103051,91.5269,91.5269,83,128
maze-400-4,216,82520,91.7696,90.598,82,128
maze-400-4,217,48406.6,98.0833,91.598,85,128
maze-400-4,218,162506,96.8406,91.7696,85,128
maze-400-4,219,317309,94.6985,90.6985,87,128
maze-400-4,220,156400,95.4264,93.1838,84,128
maze-400-4,221,1.27205e+06,104.355,94.2132,95,128
maze-400-4,222,97393.6,97.799,93.799,93,128
maze-400-4,223,307570,98.4264,95.3553,87,128
maze-400-4,224,251620,94.6274,93.799,89,128
maze-400-4,225,129077,106.326,93.8406,92,128
maze-400-4,226,172909,101.841,94.0833,90,128
maze-400-4,227,53530,98.9411,94.6985,90,128
maze-400-4,228,228496,96.598,95.1838,86,128
maze-400-4,229,159566,96.669,93.7401,84,128
maze-400-4,230,146069,105.184,99.8701,95,128
maze-400-4,231,107724,100.113,98.3553,92,128
maze-400-4,232,87246.6,105.426,96.9411,94,128
maze-400-4,233,92548.4,98.5563,96.799,95,128
maze-400-4,234,38046,100.941,99.5269,92,128
maze-400-4,235,496792,98.7696,97.0122,89,128
maze-400-4,236,243251,101.698,99.6985,94,128
maze-400-4,237,377997,98.0833,98.0833,85,128
maze-400-4,238,159060,101.87,99.3848,95,128
maze-400-4,239,126477,111.326,98.8406,97,128
maze-400-4,240,81722.2,105.012,102.669,94,128
maze-400-4,241,495178,104.426,101.941,93,128
maze-400-4,242,169383,101.799,101.799,97,128
maze-400-4,243,34020.6,108.184,102.184,98,128
maze-400-4,244,60654.8,107.355,100.87,98,128
maze-400-4,245,100830,103.113,100.042,95,128
maze-400-4,246,1.83701e+06,104.426,102.184,93,128
maze-400-4,247,187076,105.184,101.284,95,128
maze-400-4,248,239277,105.184,101.284,95,128
maze-400-4,249,218177,103.912,100.841,90,128
maze-400-4,250,223510,109.497,105.012,96,128
maze-400-4,251,321271,108.669,107.841,96,128
maze-400-4,252,98327.4,115.698,107.941,108,128
maze-400-4,253,167428,107.77,106.012,98,128
maze-400-4,254,117054,110.284,105.456,103,128
maze-400-4,255,120569,109.355,104.87,100,128
maze-400-4,256,60819.4,111.042,107.627,105,128
maze-400-4,257,53388,111.083,106.841,98,128
maze-400-4,258,216379,114.012,107.184,103,128
maze-400-4,259,316567,108.326,107.497,94,128
maze-400-4,260,243777,113.468,111.225,95,128
maze-400-4,261,263184,110.941,110.941,102,128
maze-400-4,262,92054.6,116.255,110.012,104,128
maze-400-4,263,83533,116.225,111.255,99,128
maze-400-4,264,1.27376e+06,114.598,110.598,104,128
maze-400-4,265,232203,111.841,110.184,100,128
maze-400-4,266,373149,113.355,110.184,104,128
maze-400-4,267,146557,113.326,108.841,99,128
maze-400-4,268,499693,118.64,111.912,101,128
maze-400-4,269,193503,113.841,109.841,102,128
maze-400-4,270,99748,113.598,112.426,103,128
maze-400-4,271,274241,117.012,115.255,106,128
maze-400-4,272,301218,120.225,115.74,103,128
maze-400-4,273,92458.6,119.698,115.456,112,128
maze-400-4,274,185023,123.326,114.113,109,128
maze-400-4,275,48572.6,120.012,115.184,109,128
maze-400-4,276,192727,116.456,112.113,110,128
maze-400-4,277,313496,117.184,113.426,107,128
maze-400-4,278,116861,117.083,114.74,104,128
maze-400-4,279,638389,117.355,113.213,108,128
