map,scenid,tcost,distance,expect,steps,r
orz601d,0,663.6,1,1,2,64
orz601d,1,1097.4,3.82843,3.82843,4,64
orz601d,2,689.4,3.82843,3.82843,4,64
orz601d,3,688.6,2.41421,2.41421,3,64
orz601d,4,389.2,1.41421,1.41421,2,64
orz601d,5,334.4,1,1,2,64
orz601d,6,524.2,2.82843,2.82843,3,64
orz601d,7,614.6,2.82843,2.82843,3,64
orz601d,8,681.8,3,3,4,64
orz601d,9,333.8,1,1,2,64
orz601d,10,786.2,4,4,5,64
orz601d,11,1295.2,6.41421,6.41421,7,64
orz601d,12,1376.6,7.24264,7.24264,7,64
orz601d,13,967.2,4.82843,4.82843,5,64
orz601d,14,1102,6.65685,6.65685,6,64
orz601d,15,921.2,4.41421,4.41421,5,64
orz601d,16,999.8,6.41421,6.41421,7,64
orz601d,17,864.8,4.82843,4.82843,5,64
orz601d,18,722,4.24264,4.24264,4,64
orz601d,19,1437.8,7.65685,7.65685,7,64
orz601d,20,1108.6,9,9,10,64
orz601d,21,1913.2,11.6569,11.6569,11,64
orz601d,22,1626.4,10.6569,10.6569,10,64
orz601d,23,1329.8,9.82843,9.82843,10,64
orz601d,24,1055.8,9.24264,9.24264,9,64
orz601d,25,2202.2,12.2426,10,12,64
orz601d,26,967.2,8.24264,8.24264,8,64
orz601d,27,1320.6,8.41421,8.41421,9,64
orz601d,28,1378.4,9.07107,9.07107,8,64
orz601d,29,1275.8,8.82843,8.82843,9,64
orz601d,30,2419.8,15.8995,15.8995,14,64
orz601d,31,1914,13.4142,13.4142,14,64
orz601d,32,1726.2,12.0711,12.0711,11,64
orz601d,33,2225,14.4853,14.4853,13,64
orz601d,34,1972.2,14.6569,14.6569,14,64
orz601d,35,1740.8,12.8284,12.8284,13,64
orz601d,36,2928,15.0711,14.4853,14,64
orz601d,37,2281.8,14.6569,14.6569,14,64
orz601d,38,1658.6,12,12,13,64
orz601d,39,3243,14.8995,14.0711,13,64
orz601d,40,2296.2,16.0711,16.0711,15,64
orz601d,41,2655.4,19.3137,19.3137,17,64
orz601d,42,1933.2,18.0711,18.0711,17,64
orz601d,43,1785.4,18.6569,18.6569,18,64
orz601d,44,2200.8,17.8995,17.8995,16,64
orz601d,45,1980,17.2426,17.2426,17,64
orz601d,46,2024.2,16.4142,16.4142,17,64
orz601d,47,3171.2,21.4853,18.6569,20,64
orz601d,48,4047.2,18.3137,16.0711,16,64
orz601d,49,2309.4,17.2426,16.4142,17,64
orz601d,50,2759.4,21.3137,21.3137,19,64
orz601d,51,2667,22.5563,22.5563,19,64
orz601d,52,4815.4,24.3137,23.7279,22,64
orz601d,53,2707.8,21.1421,21.1421,18,64
orz601d,54,2765.6,21.9706,21.9706,18,64
orz601d,55,2485.2,20.8995,20.8995,19,64
orz601d,56,2577.4,23.9706,23.9706,20,64
orz601d,57,3060.8,22.8995,22.8995,21,64
orz601d,58,3135.2,24.0711,23.4853,23,64
orz601d,59,10307,23.3137,23.3137,21,64
orz601d,60,12563,27.4853,26.3137,26,64
orz601d,61,4827,26.5563,26.5563,23,64
orz601d,62,4062.8,27.5563,27.5563,24,64
orz601d,63,3324.8,25.0711,25.0711,24,64
orz601d,64,3499.4,26.7279,26.7279,24,64
orz601d,65,2914.4,27.7279,27.7279,25,64
orz601d,66,7667.2,24.7279,24.1421,22,64
orz601d,67,4742,27.3137,26.7279,25,64
orz601d,68,3492.4,24.4853,24.4853,23,64
orz601d,69,8326.4,26.7279,25.5563,24,64
orz601d,70,4566.6,29.3848,28.5563,25,64
orz601d,71,4622.4,28.3848,28.3848,24,64
orz601d,72,3583.6,28.0711,28.0711,27,64
orz601d,73,3941,29.8995,29.8995,28,64
orz601d,74,5957.4,31.1421,29.9706,28,64
orz601d,75,8865.2,31.7279,31.1421,29,64
orz601d,76,5940.8,32.2132,31.3848,27,64
orz601d,77,7513.6,30.3848,30.3848,26,64
orz601d,78,5453,30.3848,29.799,26,64
orz601d,79,9472.4,29.9706,29.3848,26,64
orz601d,80,4549.2,33.2426,33.2426,33,64
orz601d,81,8540.8,32.7279,32.1421,30,64
orz601d,82,5996.4,37.799,35.5563,33,64
orz601d,83,6161.6,35.8995,35.8995,34,64
orz601d,84,4975.4,35.8995,35.8995,34,64
orz601d,85,5434,33.1421,32.5563,30,64
orz601d,86,11995.6,34.799,32.5563,30,64
orz601d,87,5782,35.4853,34.8995,34,64
orz601d,88,4691.8,35.0711,35.0711,34,64
orz601d,89,5426.2,36.2426,35.6569,36,64
orz601d,90,5025.4,39.6569,39.6569,39,64
orz601d,91,4986.8,37.4853,37.4853,36,64
orz601d,92,4819.4,38.4853,38.4853,37,64
orz601d,93,4751,38.6569,38.6569,38,64
orz601d,94,4773,39.6569,39.6569,39,64
orz601d,95,6621.6,42.9706,39.3137,39,64
orz601d,96,5001.2,38.2426,38.2426,38,64
