map,scenid,tcost,distance,expect,steps,r
room-100-10,0,306132,6.65685,6.65685,6,32
room-100-10,1,148295,5.24264,4.41421,5,32
room-100-10,2,5463.6,29.0416,7.82843,23,32
room-100-10,3,1675.2,5.65685,4.82843,5,32
room-100-10,4,214062,6.65685,6.65685,6,32
room-100-10,5,87840.6,27.5563,5.41421,24,32
room-100-10,6,284439,8.07107,6.41421,7,32
room-100-10,7,105050,6.65685,5.82843,6,32
room-100-10,8,1991,7.07107,6.24264,6,32
room-100-10,9,206761,38.1421,6.82843,35,32
room-100-10,10,262422,11.4853,9.82843,10,32
room-100-10,11,458696,12.8995,11.2426,11,32
room-100-10,12,129213,11.8995,11.0711,10,32
room-100-10,13,136077,18.1421,11.4142,15,32
room-100-10,14,216350,12.4853,9.65685,11,32
room-100-10,15,596947,12.4853,10.8284,11,32
room-100-10,16,254124,20.7279,11.6569,18,32
room-100-10,17,154852,12.4853,11.6569,11,32
room-100-10,18,244005,42.6274,11.4142,37,32
room-100-10,19,159840,11.4853,9.82843,10,32
room-100-10,20,205966,14.7279,12.2426,12,32
room-100-10,21,214088,18.1421,15.6569,15,32
room-100-10,22,135210,28.6274,15.6569,23,32
room-100-10,23,10534,44.1838,14.2426,34,32
room-100-10,24,208741,12.8995,12.8995,11,32
room-100-10,25,93677.6,20.3848,15.8995,16,32
room-100-10,26,60448,13.3137,12.4853,11,32
room-100-10,27,158123,16.1421,13.6569,13,32
room-100-10,28,70450.2,42.5269,14.8284,34,32
room-100-10,29,271906,46.5269,15.6569,38,32
room-100-10,30,65935.2,26.2132,16.0711,21,32
room-100-10,31,11194.6,40.9411,18.6569,32,32
room-100-10,32,62327.8,42.5269,19.3137,34,32
room-100-10,33,20401.4,25.799,17.6569,21,32
room-100-10,34,78425,27.6274,17.4853,22,32
room-100-10,35,339711,23.799,18.8284,19,32
room-100-10,36,5426,25.6274,16.0711,20,32
room-100-10,37,91341.2,21.3848,17.2426,17,32
room-100-10,38,65182.8,23.3848,19.2426,19,32
room-100-10,39,46200,41.9411,17.8995,33,32
room-100-10,40,139568,23.799,21.3137,19,32
room-100-10,41,333193,52.5269,20.8284,44,32
room-100-10,42,79425.8,32.8701,21.0711,26,32
room-100-10,43,101088,41.1127,20.7279,33,32
room-100-10,44,407616,48.0122,23.2426,37,32
room-100-10,45,97671.6,36.1127,20.8995,28,32
room-100-10,46,100743,51.2843,23.8284,44,32
room-100-10,47,232623,26.799,21.4853,22,32
room-100-10,48,215392,41.6985,21.6569,34,32
room-100-10,49,5374.8,28.0416,21.8995,22,32
room-100-10,50,102038,47.7696,27.4853,38,32
room-100-10,51,363368,57.1127,27.5563,49,32
room-100-10,52,89201,52.0122,26.8995,41,32
room-100-10,53,54495.2,52.0122,26.3137,41,32
room-100-10,54,40387.2,35.6985,27.5563,28,32
room-100-10,55,234509,32.4558,24.3137,26,32
room-100-10,56,17813.4,40.6274,26.4853,35,32
room-100-10,57,177473,32.8701,26.7279,26,32
room-100-10,58,24484.2,49.6985,25.8995,42,32
room-100-10,59,32335.4,49.598,27.3137,39,32
room-100-10,60,268312,48.7696,31.8995,39,32
room-100-10,61,72527,43.3553,31.799,34,32
room-100-10,62,312231,59.0122,28.9706,48,32
room-100-10,63,461032,48.3553,29.7279,39,32
room-100-10,64,209066,40.6985,28.0711,33,32
room-100-10,65,53795.2,52.598,28.3137,42,32
room-100-10,66,134176,40.9411,29.1421,32,32
room-100-10,67,360724,37.8701,29.7279,31,32
room-100-10,68,301159,39.6985,31.3137,32,32
room-100-10,69,201863,57.2132,28.4853,52,32
room-100-10,70,646898,38.2843,32.9706,31,32
room-100-10,71,56666.4,55.4264,33.1421,44,32
room-100-10,72,34579.4,63.2548,35.5563,51,32
room-100-10,73,349142,38.6985,32.3137,31,32
room-100-10,74,475372,62.2548,32.3137,50,32
room-100-10,75,418691,46.598,33.9706,36,32
room-100-10,76,40315.6,60.0122,33.3848,49,32
room-100-10,77,406671,40.6985,33.9706,33,32
room-100-10,78,97684.4,42.6274,34.1421,37,32
room-100-10,79,125943,59.5269,32.799,51,32
room-100-10,80,926402,68.7696,39.5563,59,32
room-100-10,81,143863,65.4264,39.6274,54,32
room-100-10,82,99745.8,61.0833,39.1421,48,32
room-100-10,83,315014,45.5269,36.799,37,32
room-100-10,84,396678,47.3553,38.7279,38,32
room-100-10,85,329042,54.4264,36.1421,43,32
room-100-10,86,617724,51.598,37.799,41,32
room-100-10,87,51952.6,63.2548,36.7279,51,32
room-100-10,88,509364,52.5269,36.3848,44,32
room-100-10,89,190615,64.8406,39.6274,53,32
room-100-10,90,284296,61.4975,41.5563,48,32
room-100-10,91,576932,49.3553,41.3137,40,32
room-100-10,92,153168,65.8406,42.1421,54,32
room-100-10,93,176808,67.669,42.3137,55,32
room-100-10,94,803356,55.2843,42.5563,48,32
room-100-10,95,36009.2,62.3259,40.3848,48,32
room-100-10,96,124200,60.0833,42.9706,47,32
room-100-10,97,152856,60.4558,43.7279,54,32
room-100-10,98,366810,59.4975,41.5563,46,32
room-100-10,99,21724,56.0833,43.4558,43,32
room-100-10,100,31619,59.2548,45.2132,47,32
room-100-10,101,158200,74.2548,46.2132,62,32
room-100-10,102,92817.6,60.4975,47.8701,47,32
room-100-10,103,82039.8,70.9828,47.3848,55,32
room-100-10,104,158523,63.9117,45.1421,50,32
room-100-10,105,383849,68.5269,46.3848,60,32
room-100-10,106,208555,68.1838,46.9706,58,32
room-100-10,107,382674,74.6985,46.5563,67,32
room-100-10,108,892389,55.4558,45.3137,49,32
room-100-10,109,471855,70.7401,47.1421,56,32
room-100-10,110,191185,73.1543,48.0416,58,32
