map,scenid,tcost,distance,expect,steps,r
w_blightlands,0,1922.2,7.82843,7.82843,8,0
w_blightlands,1,909.4,5.82843,5.82843,6,0
w_blightlands,2,895.4,4.41421,4.41421,5,0
w_blightlands,3,1047.6,5.41421,5.41421,6,0
w_blightlands,4,1618.8,6.65685,6.65685,6,0
w_blightlands,5,1360.8,7.82843,7.82843,8,0
w_blightlands,6,797.2,5,5,6,0
w_blightlands,7,1025.8,7.07107,7.07107,6,0
w_blightlands,8,1227,6.82843,6.82843,7,0
w_blightlands,9,799.8,4.41421,4.41421,5,0
w_blightlands,10,1361.8,8.24264,8.24264,8,0
w_blightlands,11,1331.6,11.4142,11.4142,12,0
w_blightlands,12,1916.6,10.4853,10.4853,9,0
w_blightlands,13,1595.8,10.8284,10.8284,11,0
w_blightlands,14,1311.2,8.24264,8.24264,8,0
w_blightlands,15,1075,9,9,10,0
w_blightlands,16,1655.4,11.6569,11.6569,11,0
w_blightlands,17,1322.2,9.89949,9.89949,8,0
w_blightlands,18,1161.4,8,8,9,0
w_blightlands,19,1487.6,10.8284,10.8284,11,0
w_blightlands,20,1708,12.2426,12.2426,12,0
w_blightlands,21,1380.6,12,12,13,0
w_blightlands,22,1817.8,14.2426,14.2426,14,0
w_blightlands,23,2417,15.8995,15.8995,14,0
w_blightlands,24,2086.4,15.6569,15.6569,15,0
w_blightlands,25,2199,14.4853,14.4853,13,0
w_blightlands,26,2699.8,15.3137,15.3137,13,0
w_blightlands,27,1850,13.2426,13.2426,13,0
w_blightlands,28,1783.8,15.8284,15.8284,16,0
w_blightlands,29,1743.2,13.8284,13.8284,14,0
w_blightlands,30,2722,17.1421,17.1421,14,0
w_blightlands,31,3062.2,19.3137,19.3137,17,0
w_blightlands,32,2382.8,18.4853,18.4853,17,0
w_blightlands,33,2712.6,16.8995,16.8995,15,0
w_blightlands,34,2229.8,17.8995,17.8995,16,0
w_blightlands,35,3146.2,19.3848,19.3848,15,0
w_blightlands,36,1780.8,17.4142,17.4142,18,0
w_blightlands,37,2340.8,17.8995,17.8995,16,0
w_blightlands,38,3596.2,18.5563,18.5563,15,0
w_blightlands,39,2151.6,19.2426,19.2426,19,0
w_blightlands,40,1936,21.4142,21.4142,22,0
w_blightlands,41,2644.6,23.0711,23.0711,22,0
w_blightlands,42,2636.8,23.2426,23.2426,23,0
w_blightlands,43,3659.6,20.3848,20.3848,16,0
w_blightlands,44,3202.6,23.1421,23.1421,20,0
w_blightlands,45,2322.8,23.8284,23.8284,24,0
w_blightlands,46,4546.8,23.2426,23.2426,23,0
w_blightlands,47,2839.8,20.5563,20.5563,17,0
w_blightlands,48,2297.6,22.2426,22.2426,22,0
w_blightlands,49,2467,22.6569,22.6569,22,0
w_blightlands,50,3611.4,24.5563,24.5563,21,0
w_blightlands,51,2846.8,26.4853,26.4853,25,0
w_blightlands,52,3864.8,24.9706,24.9706,21,0
w_blightlands,53,3472,25.5563,25.5563,22,0
w_blightlands,54,3299.4,26.0711,26.0711,25,0
w_blightlands,55,9460.4,25.0711,25.0711,24,0
w_blightlands,56,3574,27.7279,27.7279,25,0
w_blightlands,57,3875.8,26.3848,26.3848,22,0
w_blightlands,58,2435.4,26.4142,26.4142,27,0
w_blightlands,59,3738.4,25.3848,25.3848,21,0
w_blightlands,60,6516.6,30.3137,30.3137,28,0
w_blightlands,61,3507.4,30.0711,30.0711,29,0
w_blightlands,62,5203.4,28.8701,28.8701,22,0
w_blightlands,63,15413.4,31.6274,31.6274,26,0
w_blightlands,64,4545.4,31.7279,31.7279,29,0
w_blightlands,65,4316.6,31.3137,31.3137,29,0
w_blightlands,66,3430.2,30.4853,30.4853,29,0
w_blightlands,67,4209.8,28.1421,28.1421,25,0
w_blightlands,68,4721.8,30.6985,30.6985,23,0
w_blightlands,69,3832,30.3137,30.3137,28,0
w_blightlands,70,4539.6,32.6274,32.6274,27,0
w_blightlands,71,4727.6,34.7279,34.7279,32,0
w_blightlands,72,4855.6,33.3848,33.3848,29,0
w_blightlands,73,3791.4,33.8995,33.8995,32,0
w_blightlands,74,3555.6,33.4142,33.4142,34,0
w_blightlands,75,5745,34.2843,34.2843,27,0
w_blightlands,76,4075,32.5563,32.5563,29,0
w_blightlands,77,4338.6,33.6569,33.6569,33,0
w_blightlands,78,4741.8,35.0416,35.0416,29,0
w_blightlands,79,5277,32.4558,32.4558,26,0
w_blightlands,80,6202.2,38.2843,38.2843,31,0
w_blightlands,81,3585.6,37.4142,37.4142,38,0
w_blightlands,82,6376,38.7696,38.7696,29,0
w_blightlands,83,5553.2,39.4558,39.4558,33,0
w_blightlands,84,4228.6,38.2426,38.2426,38,0
w_blightlands,85,5826.4,38.0416,38.0416,32,0
w_blightlands,86,5433,37.2132,37.2132,32,0
