map,scenid,tcost,distance,expect,steps,r
w_bonepit,0,2631.8,6.41421,6.41421,7,32
w_bonepit,1,1767.6,7.07107,7.07107,6,32
w_bonepit,2,1780.8,5.24264,5.24264,5,32
w_bonepit,3,1839.4,6.65685,6.65685,6,32
w_bonepit,4,1281.6,4,4,5,32
w_bonepit,5,1565.8,6.65685,6.65685,6,32
w_bonepit,6,1470,5.41421,5.41421,6,32
w_bonepit,7,1103.4,4.82843,4.82843,5,32
w_bonepit,8,1746.4,7.41421,7.41421,8,32
w_bonepit,9,1454.6,5.41421,5.41421,6,32
w_bonepit,10,2215.4,10.2426,10.2426,10,32
w_bonepit,11,1430,8.41421,8.41421,9,32
w_bonepit,12,1940.6,9.07107,9.07107,8,32
w_bonepit,13,2699.4,10.0711,10.0711,9,32
w_bonepit,14,1652,10.2426,10.2426,10,32
w_bonepit,15,2206.4,10.4142,10.4142,11,32
w_bonepit,16,1917.2,8.82843,8.82843,9,32
w_bonepit,17,1958.4,8.48528,8.48528,7,32
w_bonepit,18,1989,8.48528,8.48528,7,32
w_bonepit,19,2436.8,8.82843,8.82843,9,32
w_bonepit,20,4341.2,15.1421,15.1421,12,32
w_bonepit,21,2590,15.4142,15.4142,16,32
w_bonepit,22,2655.4,12.6569,12.6569,12,32
w_bonepit,23,2892,12.3137,12.3137,10,32
w_bonepit,24,2816.4,14.0711,14.0711,13,32
w_bonepit,25,2380.8,12.0711,12.0711,11,32
w_bonepit,26,2251.6,13.0711,13.0711,12,32
w_bonepit,27,2989.6,13.0711,13.0711,12,32
w_bonepit,28,2837,14.7279,14.7279,12,32
w_bonepit,29,2590.2,15.1421,15.1421,12,32
w_bonepit,30,4031,16.4142,16.4142,17,32
w_bonepit,31,3175.2,16.5563,16.5563,13,32
w_bonepit,32,4324.6,19.1421,19.1421,16,32
w_bonepit,33,2967.4,16.8995,16.8995,15,32
w_bonepit,34,3180,17.4853,17.4853,16,32
w_bonepit,35,3763.4,19.3848,19.3848,15,32
w_bonepit,36,3206.2,18.8995,18.8995,17,32
w_bonepit,37,3177.8,17.0711,17.0711,16,32
w_bonepit,38,3034.4,19.1421,19.1421,16,32
w_bonepit,39,2934.2,16.3137,16.3137,14,32
w_bonepit,40,4562.2,22.4142,22.4142,23,32
w_bonepit,41,2825.2,20.4142,20.4142,21,32
w_bonepit,42,4679.6,22.799,22.799,18,32
w_bonepit,43,3195.4,20.4853,20.4853,19,32
w_bonepit,44,4161.8,23.9706,23.9706,20,32
w_bonepit,45,4860.8,22.9706,22.9706,19,32
w_bonepit,46,4523.2,22.1421,22.1421,19,32
