map,scenid,tcost,distance,expect,steps,r
w_bonepitdestroyed_a3,0,3221.8,6.41421,6.41421,7,4
w_bonepitdestroyed_a3,1,2189.2,7.65685,7.65685,7,4
w_bonepitdestroyed_a3,2,1834.6,6.65685,6.65685,6,4
w_bonepitdestroyed_a3,3,1465.2,6.41421,6.41421,7,4
w_bonepitdestroyed_a3,4,1306,6.24264,6.24264,6,4
w_bonepitdestroyed_a3,5,1741.4,6.65685,6.65685,6,4
w_bonepitdestroyed_a3,6,1634,6.65685,6.65685,6,4
w_bonepitdestroyed_a3,7,1544.4,7,7,8,4
w_bonepitdestroyed_a3,8,1446.4,5.82843,5.82843,6,4
w_bonepitdestroyed_a3,9,1391.2,6.24264,6.24264,6,4
w_bonepitdestroyed_a3,10,1613,8.24264,8.24264,8,4
w_bonepitdestroyed_a3,11,1983.4,9.41421,9.41421,10,4
w_bonepitdestroyed_a3,12,2876.6,11.4853,11.4853,10,4
w_bonepitdestroyed_a3,13,2101.8,11,11,12,4
w_bonepitdestroyed_a3,14,2019.2,9.48528,9.48528,8,4
w_bonepitdestroyed_a3,15,2048.8,11.4853,11.4853,10,4
w_bonepitdestroyed_a3,16,1702.8,9.41421,9.41421,10,4
w_bonepitdestroyed_a3,17,1411.8,8,8,9,4
w_bonepitdestroyed_a3,18,2087.2,10.8284,10.8284,11,4
w_bonepitdestroyed_a3,19,1807.2,9.48528,9.48528,8,4
w_bonepitdestroyed_a3,20,2499.2,14.6569,14.6569,14,4
w_bonepitdestroyed_a3,21,3056.4,13.4853,13.4853,12,4
w_bonepitdestroyed_a3,22,2484.4,14.6569,14.6569,14,4
w_bonepitdestroyed_a3,23,2392.8,12.0711,12.0711,11,4
w_bonepitdestroyed_a3,24,2977.4,14.2426,14.2426,14,4
w_bonepitdestroyed_a3,25,2360.6,13.0711,13.0711,12,4
w_bonepitdestroyed_a3,26,2243.6,13.4142,13.4142,14,4
w_bonepitdestroyed_a3,27,3122.2,15.3137,15.3137,13,4
w_bonepitdestroyed_a3,28,2552.6,14.2426,14.2426,14,4
w_bonepitdestroyed_a3,29,2383.8,13.8995,13.8995,12,4
w_bonepitdestroyed_a3,30,3397.8,19.8995,19.8995,18,4
w_bonepitdestroyed_a3,31,3735.6,19.8995,19.8995,18,4
w_bonepitdestroyed_a3,32,3135.4,16.8995,16.8995,15,4
w_bonepitdestroyed_a3,33,2970.6,16.7279,16.7279,14,4
w_bonepitdestroyed_a3,34,2443.6,16.6569,16.6569,16,4
w_bonepitdestroyed_a3,35,3503.8,18.7279,18.7279,16,4
w_bonepitdestroyed_a3,36,3381.2,19.8284,19.8284,20,4
w_bonepitdestroyed_a3,37,2633.6,17.4853,17.4853,16,4
w_bonepitdestroyed_a3,38,3399.2,17.5563,17.5563,14,4
w_bonepitdestroyed_a3,39,4446.4,19.4142,19.4142,20,4
w_bonepitdestroyed_a3,40,4331,23.0711,23.0711,22,4
w_bonepitdestroyed_a3,41,4231.8,21.6569,21.6569,21,4
w_bonepitdestroyed_a3,42,3319.4,21.6569,21.6569,21,4
w_bonepitdestroyed_a3,43,4426.2,22.0711,22.0711,21,4
w_bonepitdestroyed_a3,44,3835.6,23.4853,23.4853,22,4
w_bonepitdestroyed_a3,45,4167.8,23.1421,23.1421,20,4
w_bonepitdestroyed_a3,46,4060.4,23.6569,23.6569,23,4
w_bonepitdestroyed_a3,47,4250.2,20.6569,20.6569,20,4
w_bonepitdestroyed_a3,48,3797.4,21.5563,21.5563,18,4
