map,scenid,tcost,distance,expect,steps,r
w_bonepitmining_a2,0,2747,7.82843,7.82843,8,16
w_bonepitmining_a2,1,1634.8,7.82843,7.82843,8,16
w_bonepitmining_a2,2,1687.6,7.24264,7.24264,7,16
w_bonepitmining_a2,3,1099.2,5.41421,5.41421,6,16
w_bonepitmining_a2,4,1144.2,5.24264,5.24264,5,16
w_bonepitmining_a2,5,1719.2,7.24264,7.24264,7,16
w_bonepitmining_a2,6,1672.8,6.65685,6.65685,6,16
w_bonepitmining_a2,7,1242.8,4.82843,4.82843,5,16
w_bonepitmining_a2,8,1421.4,6,6,7,16
w_bonepitmining_a2,9,1429.8,6.82843,6.82843,7,16
w_bonepitmining_a2,10,1719.6,8.82843,8.82843,9,16
w_bonepitmining_a2,11,1862.8,9.07107,9.07107,8,16
w_bonepitmining_a2,12,1708,8.65685,8.65685,8,16
w_bonepitmining_a2,13,1497.2,8.65685,8.65685,8,16
w_bonepitmining_a2,14,2007.8,10.0711,10.0711,9,16
w_bonepitmining_a2,15,2100.8,9.41421,9.41421,10,16
w_bonepitmining_a2,16,1782.4,9.65685,9.65685,9,16
w_bonepitmining_a2,17,2397.6,10.6569,10.6569,10,16
w_bonepitmining_a2,18,2162.6,10,10,11,16
w_bonepitmining_a2,19,2358.8,10.4853,10.4853,9,16
w_bonepitmining_a2,20,2903.8,14.8995,14.8995,13,16
w_bonepitmining_a2,21,2553.4,12.8995,12.8995,11,16
w_bonepitmining_a2,22,2296.8,15.4142,15.4142,16,16
w_bonepitmining_a2,23,2847.8,15.7279,15.7279,13,16
w_bonepitmining_a2,24,2047.2,12.4142,12.4142,13,16
w_bonepitmining_a2,25,2603.6,14.6569,14.6569,14,16
w_bonepitmining_a2,26,2152.6,12.0711,12.0711,11,16
w_bonepitmining_a2,27,2432,15.7279,15.7279,13,16
w_bonepitmining_a2,28,2449,13.4853,13.4853,12,16
w_bonepitmining_a2,29,2379.4,15.6569,15.6569,15,16
w_bonepitmining_a2,30,2631.6,17.2426,17.2426,17,16
w_bonepitmining_a2,31,2413.2,16.6569,16.6569,16,16
w_bonepitmining_a2,32,3295,18.8284,18.8284,19,16
w_bonepitmining_a2,33,3807.2,19.5563,19.5563,16,16
w_bonepitmining_a2,34,2960.2,16.7279,16.7279,14,16
w_bonepitmining_a2,35,3450.4,17.0711,17.0711,16,16
w_bonepitmining_a2,36,2554,16.8284,16.8284,17,16
w_bonepitmining_a2,37,3384.6,18.4853,18.4853,17,16
w_bonepitmining_a2,38,2640,16.8284,16.8284,17,16
w_bonepitmining_a2,39,4316.4,18.4853,18.4853,17,16
w_bonepitmining_a2,40,3271.6,22,22,23,16
w_bonepitmining_a2,41,3934,22.3137,22.3137,20,16
w_bonepitmining_a2,42,3848.6,23.6569,23.6569,23,16
w_bonepitmining_a2,43,4608.6,23.2426,23.2426,23,16
w_bonepitmining_a2,44,3896.2,23.8284,23.8284,24,16
w_bonepitmining_a2,45,4440.4,22.3848,22.3848,18,16
w_bonepitmining_a2,46,2985.4,20.2426,20.2426,20,16
w_bonepitmining_a2,47,3997,23.7279,23.7279,21,16
w_bonepitmining_a2,48,3308.2,20.5563,20.5563,17,16
