map,scenid,tcost,distance,expect,steps,r
w_encounter1,0,2121.8,5,5,6,64
w_encounter1,1,1593.4,5.41421,5.41421,6,64
w_encounter1,2,1353.2,5.82843,5.82843,6,64
w_encounter1,3,844.4,4.41421,4.41421,5,64
w_encounter1,4,1229.4,5.65685,5.65685,5,64
w_encounter1,5,1282.8,7.24264,7.24264,7,64
w_encounter1,6,1355.2,7.41421,7.41421,8,64
w_encounter1,7,1369.8,4.82843,4.82843,5,64
w_encounter1,8,1183.6,5.24264,5.24264,5,64
w_encounter1,9,1490.2,7.82843,7.82843,8,64
w_encounter1,10,2022,9.89949,9.89949,8,64
w_encounter1,11,1987.8,11.4142,11.4142,12,64
w_encounter1,12,2499.2,10.8995,10.8995,9,64
w_encounter1,13,1951.4,9.65685,9.65685,9,64
w_encounter1,14,1689.8,8.41421,8.41421,9,64
w_encounter1,15,1930.6,10.6569,10.6569,10,64
w_encounter1,16,1543.4,9.65685,9.65685,9,64
w_encounter1,17,2191.2,11.8284,11.8284,12,64
w_encounter1,18,1637.8,10.8284,10.8284,11,64
w_encounter1,19,1514.8,10.2426,10.2426,10,64
w_encounter1,20,2441.8,14.8284,14.8284,15,64
w_encounter1,21,2965.4,15.7279,15.7279,13,64
w_encounter1,22,1884.6,12.8995,12.8995,11,64
w_encounter1,23,2441.8,13.8284,13.8284,14,64
w_encounter1,24,2032.6,12.7279,12.7279,10,64
w_encounter1,25,2083.6,13.8284,13.8284,14,64
w_encounter1,26,2112.4,12.8284,12.8284,13,64
w_encounter1,27,1873.6,13.4142,13.4142,14,64
w_encounter1,28,2421.6,12.8995,12.8995,11,64
w_encounter1,29,2132.6,15.4142,15.4142,16,64
w_encounter1,30,2125.2,17.0711,17.0711,16,64
w_encounter1,31,2146.8,16.2426,16.2426,16,64
w_encounter1,32,2263,17.4853,17.4853,16,64
w_encounter1,33,3066,18.2426,18.2426,18,64
w_encounter1,34,2355.2,16.6569,16.6569,16,64
w_encounter1,35,3333,18.1421,18.1421,15,64
w_encounter1,36,3311.8,18.2426,18.2426,18,64
w_encounter1,37,2394.8,16.2426,16.2426,16,64
w_encounter1,38,2780.8,16.3137,16.3137,14,64
w_encounter1,39,3804,19.5563,19.5563,16,64
w_encounter1,40,3288.2,21.8284,21.8284,22,64
w_encounter1,41,3167.8,20.7279,20.7279,18,64
w_encounter1,42,3311.8,22.5563,22.5563,19,64
w_encounter1,43,3327.4,20.3848,20.3848,16,64
w_encounter1,44,3709.8,22.4142,22.4142,23,64
w_encounter1,45,3054.8,20.5563,20.5563,17,64
w_encounter1,46,18344.2,22.4853,21.6569,21,64
w_encounter1,47,3374,21.1421,21.1421,18,64
w_encounter1,48,4061.6,23.6274,23.6274,18,64
w_encounter1,49,3546.6,22.4853,22.4853,21,64
w_encounter1,50,4388.4,25.6274,25.6274,20,64
w_encounter1,51,4368.6,26.7279,26.7279,24,64
w_encounter1,52,3714.2,24.2426,24.2426,24,64
w_encounter1,53,4460.6,25.3848,25.3848,21,64
w_encounter1,54,4771.6,27.799,27.799,23,64
w_encounter1,55,4462,27.4853,27.4853,26,64
w_encounter1,56,3571.8,25.8284,25.8284,26,64
w_encounter1,57,4253,24.9706,24.9706,21,64
w_encounter1,58,3594,24.0711,24.0711,23,64
w_encounter1,59,3232.2,24.4142,24.4142,25,64
w_encounter1,60,5169,28.1421,28.1421,25,64
w_encounter1,61,4585,28.0416,28.0416,22,64
w_encounter1,62,5996.8,33.6274,31.9706,28,64
w_encounter1,63,5253.2,32.8995,31.2426,31,64
w_encounter1,64,4014.8,28.6569,28.6569,28,64
w_encounter1,65,4608.6,31.799,31.799,27,64
w_encounter1,66,3920,28.6569,28.6569,28,64
w_encounter1,67,7886.6,33.6274,31.9706,28,64
w_encounter1,68,4742.2,28.0416,28.0416,22,64
w_encounter1,69,5183.8,29.799,29.799,25,64
w_encounter1,70,6108.6,36.2132,35.3848,31,64
w_encounter1,71,6214.4,35.4558,35.4558,29,64
w_encounter1,72,5627.2,34.8995,34.8995,33,64
w_encounter1,73,5051.8,32.4853,32.4853,31,64
w_encounter1,74,5275.4,32.2426,32.2426,32,64
w_encounter1,75,5713.2,33.799,33.799,29,64
w_encounter1,76,5599.6,35.8995,35.8995,34,64
w_encounter1,77,5235,33.4558,33.4558,27,64
w_encounter1,78,5290.4,35.9706,35.9706,32,64
w_encounter1,79,5630,34.3137,33.4853,32,64
w_encounter1,80,5791.2,37.7279,37.7279,35,64
w_encounter1,81,5301.6,37.0711,37.0711,36,64
w_encounter1,82,6422,37.799,37.799,33,64
w_encounter1,83,6548.4,40.3848,39.799,36,64
w_encounter1,84,5793,39.2132,39.2132,34,64
w_encounter1,85,6710.4,39.0416,39.0416,33,64
w_encounter1,86,6218,36.3848,36.3848,32,64
w_encounter1,87,5957.8,40.7279,38.2426,38,64
w_encounter1,88,6831.8,37.9411,37.9411,29,64
w_encounter1,89,6497.6,38.4558,37.6274,32,64
w_encounter1,90,22035.4,43.9411,43.1127,35,64
w_encounter1,91,7334,43.6274,43.6274,38,64
w_encounter1,92,6954.8,42.6985,41.8701,35,64
w_encounter1,93,6614.8,43.7279,43.7279,41,64
w_encounter1,94,8141.6,41.2132,41.2132,36,64
w_encounter1,95,7098.4,43.7696,43.7696,34,64
w_encounter1,96,7654.2,43.9411,43.9411,35,64
w_encounter1,97,7955.6,45.4558,43.799,39,64
w_encounter1,98,72962.4,45.7696,40.1127,36,64
w_encounter1,99,6827.2,40.2132,40.2132,35,64
w_encounter1,100,9027,47.598,46.7696,37,64
w_encounter1,101,8326.2,49.3848,47.7279,45,64
w_encounter1,102,7905.8,44.4264,44.4264,33,64
w_encounter1,103,7399.4,45.799,45.799,41,64
w_encounter1,104,6946.4,44.6569,44.6569,44,64
w_encounter1,105,8401.2,47.0416,47.0416,41,64
w_encounter1,106,7832.2,44.2132,44.2132,39,64
w_encounter1,107,6321.2,47.1421,46.3137,44,64
w_encounter1,108,8308.8,45.7696,45.7696,36,64
w_encounter1,109,7541.8,44.799,44.799,40,64
w_encounter1,110,20325.6,51.0122,51.0122,40,64
w_encounter1,111,9186.2,50.8284,50.8284,51,64
w_encounter1,112,7664.2,48.0416,48.0416,42,64
w_encounter1,113,8131.4,51.4558,49.799,45,64
w_encounter1,114,9400.6,50.0833,50.0833,37,64
w_encounter1,115,9165.4,49.8701,49.8701,43,64
w_encounter1,116,9432,50.7696,50.7696,41,64
w_encounter1,117,36865.4,50.6274,48.3848,45,64
w_encounter1,118,7701,52.2132,51.3848,47,64
w_encounter1,119,8811.8,50.2843,48.0416,43,64
w_encounter1,120,9347.6,56.4264,52.2843,45,64
w_encounter1,121,8505.2,53.3848,52.5563,49,64
w_encounter1,122,10979,53.598,53.598,43,64
w_encounter1,123,8992,53.8995,53.8995,52,64
w_encounter1,124,8368.4,57.4558,55.799,51,64
w_encounter1,125,8236.2,54.7696,54.7696,45,64
w_encounter1,126,10379,52.0122,52.0122,41,64
w_encounter1,127,8789.8,52.2548,52.2548,40,64
w_encounter1,128,9049.4,55.5269,55.5269,47,64
w_encounter1,129,9895.4,55.0416,55.0416,49,64
w_encounter1,130,11881,57.4975,57.4975,44,64
w_encounter1,131,9893.4,56.669,56.669,44,64
w_encounter1,132,140974,57.7696,57.7696,48,64
w_encounter1,133,10212.4,59.6274,57.9706,54,64
w_encounter1,134,29419.8,59.1838,59.1838,49,64
w_encounter1,135,18997.4,64.669,59.598,52,64
w_encounter1,136,10353.8,61.3848,59.7279,57,64
w_encounter1,137,55867.8,58.8701,58.8701,52,64
w_encounter1,138,13149.8,60.4558,59.8701,54,64
w_encounter1,139,11992.6,57.799,57.799,53,64
w_encounter1,140,11544.6,66.4264,63.9411,55,64
w_encounter1,141,12588.6,61.5269,61.5269,53,64
w_encounter1,142,25125,63.4558,63.4558,57,64
w_encounter1,143,11632.6,63.598,62.7696,53,64
w_encounter1,144,12714.6,66.4264,61.9411,55,64
w_encounter1,145,12388,63.9411,63.9411,55,64
w_encounter1,146,13300,67.0122,62.0416,56,64
w_encounter1,147,10469.6,64.1127,63.2843,56,64
w_encounter1,148,10758.6,60.9411,60.9411,52,64
w_encounter1,149,10949.4,60.8701,60.2843,54,64
w_encounter1,150,13702,66.598,66.598,56,64
w_encounter1,151,12094,66.8995,66.8995,65,64
w_encounter1,152,11241.8,66.2843,66.2843,59,64
w_encounter1,153,46039.8,65.6985,65.6985,58,64
w_encounter1,154,12454.2,67.3259,67.3259,53,64
w_encounter1,155,11722.4,66.1127,66.1127,58,64
w_encounter1,156,13631.6,66.8112,66.8112,50,64
w_encounter1,157,11835.2,66.2548,66.2548,54,64
w_encounter1,158,12176.4,66.6274,64.9706,61,64
w_encounter1,159,10569.2,64.8701,64.0416,58,64
w_encounter1,160,15210.4,71.4264,71.4264,60,64
w_encounter1,161,11820.4,68.4558,68.4558,62,64
w_encounter1,162,41136.6,95.8406,68.3259,84,64
w_encounter1,163,13763.8,71.5269,71.5269,63,64
w_encounter1,164,16816.8,71.0833,71.0833,58,64
w_encounter1,165,14396.2,71.8112,71.8112,55,64
w_encounter1,166,95846.4,73.4264,71.1838,62,64
w_encounter1,167,14486.6,70.7401,70.7401,56,64
w_encounter1,168,14433.8,73.6985,68.7279,66,64
w_encounter1,169,14154,68.8406,68.8406,57,64
w_encounter1,170,14405.2,75.5685,75.5685,60,64
w_encounter1,171,15317,72.0416,72.0416,66,64
w_encounter1,172,16546.6,79.7696,75.6274,70,64
w_encounter1,173,23047.4,74.5269,73.1127,66,64
w_encounter1,174,16548.8,74.3553,72.6985,65,64
w_encounter1,175,18181,73.8406,72.669,62,64
w_encounter1,176,34078.6,80.3259,75.8406,66,64
w_encounter1,177,97868.2,75.8701,75.8701,69,64
w_encounter1,178,154205,82.8112,73.598,66,64
w_encounter1,179,15020.2,77.5685,75.0833,62,64
w_encounter1,180,13905.2,76.6274,76.6274,71,64
w_encounter1,181,14279.8,81.7401,79.4975,67,64
w_encounter1,182,16528.4,78.7401,78.7401,64,64
w_encounter1,183,17829,79.1543,78.5685,64,64
w_encounter1,184,13871.8,80.4558,78.799,74,64
w_encounter1,185,16768,77.1543,77.1543,62,64
w_encounter1,186,15757.4,83.0538,79.1543,65,64
w_encounter1,187,13213.2,78.7696,77.1127,69,64
w_encounter1,188,15556.2,81.0538,77.7401,63,64
w_encounter1,189,17169,82.0416,79.5563,76,64
w_encounter1,190,17589,80.196,80.196,58,64
w_encounter1,191,287692,99.397,83.9411,83,64
w_encounter1,192,28586.8,87.669,80.598,75,64
w_encounter1,193,17799.2,82.3553,82.3553,73,64
w_encounter1,194,16948.4,82.9411,82.3553,74,64
w_encounter1,195,440180,82.0122,82.0122,71,64
w_encounter1,196,95331,104.083,80.5685,91,64
w_encounter1,197,22645.2,80.5685,80.5685,65,64
w_encounter1,198,86830.2,98.6396,83.1838,81,64
w_encounter1,199,15251.2,84.3137,82.6569,82,64
w_encounter1,200,302056,100.64,85.5269,83,64
w_encounter1,201,18290.8,85.7817,85.7817,64,64
w_encounter1,202,75847.8,100.012,85.5685,89,64
w_encounter1,203,20531.2,87.9533,87.9533,67,64
w_encounter1,204,26049.6,85.5685,85.5685,70,64
w_encounter1,205,20128.2,87.9117,87.9117,74,64
w_encounter1,206,694471,84.3259,84.3259,70,64
w_encounter1,207,18832.6,85.9533,85.9533,65,64
w_encounter1,208,21735.8,91.8406,86.5269,80,64
w_encounter1,209,42600.8,102.983,85.0833,87,64
w_encounter1,210,570224,92.3259,90.669,78,64
w_encounter1,211,110275,90.8406,90.8406,79,64
w_encounter1,212,21069,96.8406,91.2843,85,64
w_encounter1,213,133183,103.497,88.7696,90,64
w_encounter1,214,202650,95.8112,90.4975,79,64
w_encounter1,215,232621,102.296,90.2548,83,64
w_encounter1,216,19112.2,92.9117,91.2548,79,64
w_encounter1,217,43304.6,89.1543,88.3259,74,64
w_encounter1,218,26565.4,95.0122,90.1838,84,64
w_encounter1,219,45299.6,90.9411,90.1127,82,64
w_encounter1,220,630057,112.125,94.669,92,64
w_encounter1,221,18325.6,93.9411,93.3553,85,64
w_encounter1,222,21818.6,94.9533,92.468,74,64
w_encounter1,223,19588,100.083,95.9411,87,64
w_encounter1,224,28297.4,96.2965,95.7107,77,64
w_encounter1,225,32160.8,93.8112,93.8112,77,64
w_encounter1,226,19239.8,94.1421,94.1421,91,64
w_encounter1,227,24384,96.2548,94.4975,84,64
w_encounter1,228,22399.2,95.8701,94.4558,89,64
w_encounter1,229,20325.2,96.397,93.9117,80,64
w_encounter1,230,23297.8,98.0833,97.4975,85,64
w_encounter1,231,270976,99.5391,97.8822,79,64
w_encounter1,232,20836.4,99.0122,96.5269,88,64
w_encounter1,233,20697.8,98.8112,98.8112,82,64
w_encounter1,234,72158,110.782,97.5685,89,64
w_encounter1,235,25825.6,112.296,99.7696,93,64
