map,scenid,tcost,distance,expect,steps,r
w_encounter2_camp,0,2555.8,4.82843,4.82843,5,4
w_encounter2_camp,1,1993.4,7.65685,7.65685,7,4
w_encounter2_camp,2,1449.8,5,5,6,4
w_encounter2_camp,3,1747.6,7.65685,7.65685,7,4
w_encounter2_camp,4,2304.2,7.07107,7.07107,6,4
w_encounter2_camp,5,1526,7.24264,7.24264,7,4
w_encounter2_camp,6,2023,6,6,7,4
w_encounter2_camp,7,1490.4,7.24264,7.24264,7,4
w_encounter2_camp,8,1229.4,7.07107,7.07107,6,4
w_encounter2_camp,9,1153.4,4.41421,4.41421,5,4
w_encounter2_camp,10,2894.6,11.4142,11.4142,12,4
w_encounter2_camp,11,2107.6,10.4853,10.4853,9,4
w_encounter2_camp,12,2146.2,10.2426,10.2426,10,4
w_encounter2_camp,13,2440.8,11.4853,11.4853,10,4
w_encounter2_camp,14,2145.8,9.07107,9.07107,8,4
w_encounter2_camp,15,1871.4,9,9,10,4
w_encounter2_camp,16,2803,10.4853,10.4853,9,4
w_encounter2_camp,17,1757,8.65685,8.65685,8,4
w_encounter2_camp,18,1696.6,8.65685,8.65685,8,4
w_encounter2_camp,19,2089.6,9.24264,9.24264,9,4
w_encounter2_camp,20,2738.6,13.7279,13.7279,11,4
w_encounter2_camp,21,2907.8,14.6569,14.6569,14,4
w_encounter2_camp,22,2428.2,13.8284,13.8284,14,4
w_encounter2_camp,23,3034.2,14.0711,14.0711,13,4
w_encounter2_camp,24,2149,14,14,15,4
w_encounter2_camp,25,2400.2,15.4142,15.4142,16,4
w_encounter2_camp,26,3392.6,15.7279,15.7279,13,4
w_encounter2_camp,27,2787.2,14.4142,14.4142,15,4
w_encounter2_camp,28,2295.6,12.3137,12.3137,10,4
w_encounter2_camp,29,2955.8,13.4853,13.4853,12,4
w_encounter2_camp,30,3770,18.5563,18.5563,15,4
w_encounter2_camp,31,4143.4,18.4853,18.4853,17,4
w_encounter2_camp,32,3176.8,16.4142,16.4142,17,4
w_encounter2_camp,33,2778,16.1421,16.1421,13,4
w_encounter2_camp,34,3001.6,16.2426,16.2426,16,4
w_encounter2_camp,35,2885.8,18.3137,18.3137,16,4
w_encounter2_camp,36,3034.6,18.6569,18.6569,18,4
w_encounter2_camp,37,2641,18.2426,18.2426,18,4
w_encounter2_camp,38,3307,16.1421,16.1421,13,4
w_encounter2_camp,39,3617.8,19.7279,19.7279,17,4
w_encounter2_camp,40,3215.4,20.4853,20.4853,19,4
w_encounter2_camp,41,4158,23.6569,23.6569,23,4
w_encounter2_camp,42,3909,22.2426,22.2426,22,4
w_encounter2_camp,43,4929,23.9706,23.9706,20,4
w_encounter2_camp,44,4125.2,20.3848,20.3848,16,4
w_encounter2_camp,45,4413.4,21.799,21.799,17,4
w_encounter2_camp,46,4374,22.799,22.799,18,4
w_encounter2_camp,47,4453.4,23.0711,23.0711,22,4
w_encounter2_camp,48,4370.4,21.3848,21.3848,17,4
w_encounter2_camp,49,4808.8,23.0711,23.0711,22,4
w_encounter2_camp,50,7489.4,26.5563,24.3137,23,4
w_encounter2_camp,51,4680.8,25.6569,25.6569,25,4
w_encounter2_camp,52,7123.8,26.2132,26.2132,21,4
w_encounter2_camp,53,5200.4,27.7279,27.7279,25,4
w_encounter2_camp,54,6002.8,27.8995,27.8995,26,4
w_encounter2_camp,55,5208.8,27.4558,27.4558,21,4
w_encounter2_camp,56,4291,24.8995,24.8995,23,4
w_encounter2_camp,57,5444.8,27.799,27.799,23,4
w_encounter2_camp,58,5527.8,25.8995,25.8995,24,4
w_encounter2_camp,59,5490.6,27.5563,27.5563,24,4
w_encounter2_camp,60,5229.8,30.3848,30.3848,26,4
w_encounter2_camp,61,5334.2,29.3848,29.3848,25,4
w_encounter2_camp,62,6830.8,31.3848,31.3848,27,4
w_encounter2_camp,63,4700.6,29.4142,29.4142,30,4
w_encounter2_camp,64,5960.6,28.7279,28.7279,26,4
w_encounter2_camp,65,4327,29.2426,29.2426,29,4
w_encounter2_camp,66,6353,33.3848,31.7279,29,4
w_encounter2_camp,67,5011,29.0711,29.0711,28,4
w_encounter2_camp,68,4399.8,31.2426,31.2426,31,4
w_encounter2_camp,69,5024.2,30.4853,28.8284,29,4
w_encounter2_camp,70,5968.8,32.1421,32.1421,29,4
w_encounter2_camp,71,5775.6,33.4853,33.4853,32,4
w_encounter2_camp,72,7226.2,35.3848,35.3848,31,4
w_encounter2_camp,73,5401.8,35.8284,35.8284,36,4
w_encounter2_camp,74,7079.8,34.8701,34.8701,28,4
w_encounter2_camp,75,6118.2,33.0711,33.0711,32,4
w_encounter2_camp,76,6911.8,35.0416,35.0416,29,4
w_encounter2_camp,77,7353.2,35.2426,35.2426,35,4
w_encounter2_camp,78,5969.4,33.5563,33.5563,30,4
w_encounter2_camp,79,6381.2,32.8995,32.8995,31,4
w_encounter2_camp,80,7671.8,39.2132,39.2132,34,4
w_encounter2_camp,81,7674.8,39.9706,39.9706,36,4
w_encounter2_camp,82,7169,37.3553,37.3553,28,4
w_encounter2_camp,83,8504.4,36.799,36.799,32,4
w_encounter2_camp,84,7971.2,36.6985,36.6985,29,4
w_encounter2_camp,85,7434.8,36.1421,36.1421,33,4
w_encounter2_camp,86,6631.2,37.4853,37.4853,36,4
w_encounter2_camp,87,6985.2,36,36,37,4
w_encounter2_camp,88,8229,38.9706,38.9706,35,4
w_encounter2_camp,89,7779.4,39.7696,39.7696,30,4
w_encounter2_camp,90,9137.8,42.799,42.799,38,4
w_encounter2_camp,91,6430.4,41.0711,41.0711,40,4
w_encounter2_camp,92,9423.6,43.2843,43.2843,36,4
w_encounter2_camp,93,6612.6,40.0711,40.0711,39,4
w_encounter2_camp,94,8257.4,41.2843,41.2843,34,4
w_encounter2_camp,95,8543,41.799,41.799,37,4
w_encounter2_camp,96,7610.4,40.2132,40.2132,35,4
w_encounter2_camp,97,7498.6,41.3848,40.5563,37,4
w_encounter2_camp,98,8848.4,42.3137,42.3137,40,4
w_encounter2_camp,99,7943.8,43.0711,43.0711,42,4
