map,scenid,tcost,distance,expect,steps,r
w_sundermount,0,3103.6,6.82843,6.82843,7,8
w_sundermount,1,1677.4,5.24264,5.24264,5,8
w_sundermount,2,1307.4,4.82843,4.82843,5,8
w_sundermount,3,1643.6,6.41421,6.41421,7,8
w_sundermount,4,2005.4,7.65685,7.65685,7,8
w_sundermount,5,2088,4.82843,4.82843,5,8
w_sundermount,6,1331.6,4.24264,4.24264,4,8
w_sundermount,7,1978,7.65685,7.65685,7,8
w_sundermount,8,1524.6,5.82843,5.82843,6,8
w_sundermount,9,1355.6,5.41421,5.41421,6,8
w_sundermount,10,2001.4,10.8284,10.8284,11,8
w_sundermount,11,2290,10.0711,10.0711,9,8
w_sundermount,12,1803.4,8.41421,8.41421,9,8
w_sundermount,13,2397.6,11.2426,11.2426,11,8
w_sundermount,14,1835.6,8.07107,8.07107,7,8
w_sundermount,15,2921,10.4142,10.4142,11,8
w_sundermount,16,2571.8,10.8284,10.8284,11,8
w_sundermount,17,2850.6,9.48528,9.48528,8,8
w_sundermount,18,2250.2,9.24264,9.24264,9,8
w_sundermount,19,2200,8.24264,8.24264,8,8
w_sundermount,20,2464.4,12.8284,12.8284,13,8
w_sundermount,21,3832,15.1421,15.1421,12,8
w_sundermount,22,2905.4,14.6569,14.6569,14,8
w_sundermount,23,3808,14.4142,14.4142,15,8
w_sundermount,24,2278.2,12.8284,12.8284,13,8
w_sundermount,25,2506.8,12.0711,12.0711,11,8
w_sundermount,26,2612.6,13.6569,13.6569,13,8
w_sundermount,27,3296.8,13,13,14,8
w_sundermount,28,2693.8,12.8284,12.8284,13,8
w_sundermount,29,3010,14.8284,14.8284,15,8
w_sundermount,30,4216,17.9706,17.9706,14,8
w_sundermount,31,5119.2,19.799,19.799,15,8
w_sundermount,32,4901.4,16.6569,16.6569,16,8
w_sundermount,33,4454.6,18.1421,18.1421,15,8
w_sundermount,34,4591.8,16.4142,16.4142,17,8
w_sundermount,35,4101.6,18.4853,18.4853,17,8
w_sundermount,36,2753.8,16,16,17,8
w_sundermount,37,4718,18.1421,18.1421,15,8
w_sundermount,38,3800.8,17.9706,17.9706,14,8
w_sundermount,39,4598.8,20.0711,18.3137,19,8
w_sundermount,40,5306.2,20.1421,20.1421,17,8
w_sundermount,41,3634.2,23.8284,23.8284,24,8
w_sundermount,42,5918.8,22.8284,22.8284,23,8
w_sundermount,43,3860.8,20.4853,20.4853,19,8
w_sundermount,44,5129.6,20.2426,20.2426,20,8
w_sundermount,45,6301.4,22.9706,22.9706,19,8
w_sundermount,46,4695,22.0711,22.0711,21,8
w_sundermount,47,4699.2,21.8995,21.8995,20,8
w_sundermount,48,5720,23.6274,23.6274,18,8
w_sundermount,49,5169.6,23.8995,23.8995,22,8
w_sundermount,50,7004.8,25.6274,25.6274,20,8
w_sundermount,51,4840.6,27.4853,27.4853,26,8
w_sundermount,52,6042,24.2132,24.2132,19,8
w_sundermount,53,4838.2,25.3848,25.3848,21,8
w_sundermount,54,6022.8,27.0416,27.0416,21,8
w_sundermount,55,5948.4,24.799,24.799,20,8
w_sundermount,56,5377.4,26.4853,26.4853,25,8
w_sundermount,57,6424,26.5563,26.5563,23,8
w_sundermount,58,5013.4,24.9706,24.9706,21,8
w_sundermount,59,4903.8,24.8995,24.8995,23,8
w_sundermount,60,6193.2,29.2843,29.2843,22,8
w_sundermount,61,6526.2,31.8995,31.8995,30,8
w_sundermount,62,5713.4,29.0711,29.0711,28,8
w_sundermount,63,9243,28.3848,28.3848,24,8
w_sundermount,64,4849.8,31.8284,31.8284,32,8
w_sundermount,65,6711.8,28.2843,28.2843,21,8
w_sundermount,66,5376,28.3848,28.3848,24,8
w_sundermount,67,7094.8,29.0416,29.0416,23,8
w_sundermount,68,8982.6,32.9706,29.0711,29,8
w_sundermount,69,4628.8,28.8284,28.8284,29,8
w_sundermount,70,7501.8,37.0416,35.3848,31,8
w_sundermount,71,8003.6,36.6274,33.5563,31,8
w_sundermount,72,8572.6,33,33,34,8
w_sundermount,73,7564.6,34.5563,34.5563,31,8
w_sundermount,74,7312,35.0416,35.0416,29,8
w_sundermount,75,5213.2,32.4142,32.4142,33,8
w_sundermount,76,8059.2,37.5563,35.8995,34,8
w_sundermount,77,7533,34.6985,34.6985,27,8
w_sundermount,78,6153.2,35.8995,35.8995,34,8
w_sundermount,79,7194,35.9706,35.9706,32,8
w_sundermount,80,8355.4,39.0711,39.0711,38,8
w_sundermount,81,9618,36.799,36.799,32,8
w_sundermount,82,16379.2,42.5269,39.4558,34,8
w_sundermount,83,9107.8,37.1127,37.1127,29,8
w_sundermount,84,8765.2,36.4142,36.4142,37,8
w_sundermount,85,7596.4,37.9411,37.9411,29,8
w_sundermount,86,7084.4,38.7279,38.7279,36,8
w_sundermount,87,8171.8,38.5563,38.5563,35,8
w_sundermount,88,8978.4,39.0416,39.0416,33,8
w_sundermount,89,8484.8,39.6985,39.6985,32,8
w_sundermount,90,44742.6,43.4558,41.799,37,8
w_sundermount,91,10384.2,43.9411,43.9411,35,8
w_sundermount,92,10898.4,43.8284,43.8284,44,8
w_sundermount,93,8815.4,41.4558,40.6274,35,8
w_sundermount,94,10721.4,47.9706,42.6569,44,8
w_sundermount,95,10072.2,40.9411,40.9411,32,8
w_sundermount,96,10513.8,44.5563,40.0711,41,8
w_sundermount,97,8093.8,41.5563,41.5563,38,8
w_sundermount,98,9940.6,43.5269,43.5269,35,8
w_sundermount,99,13136.4,45.0416,40.5563,39,8
w_sundermount,100,10053.6,46.6569,46.6569,46,8
w_sundermount,101,211255,44.0416,44.0416,38,8
w_sundermount,102,10379,45.8701,45.8701,39,8
w_sundermount,103,17833.4,48.799,46.5563,44,8
w_sundermount,104,22424,48.3137,47.1421,46,8
w_sundermount,105,9277.4,44.8701,44.8701,38,8
w_sundermount,106,11850.4,46.0122,46.0122,35,8
w_sundermount,107,15830.6,48.3553,45.8701,39,8
