map,scenid,tcost,distance,expect,steps,r
w_woundedcoast,0,2695.4,5.41421,5.41421,6,8
w_woundedcoast,1,2405.2,4.82843,4.82843,5,8
w_woundedcoast,2,1964.4,6.41421,6.41421,7,8
w_woundedcoast,3,1684,5.82843,5.82843,6,8
w_woundedcoast,4,1422.6,6,6,7,8
w_woundedcoast,5,1454,6.82843,6.82843,7,8
w_woundedcoast,6,1655.2,6.24264,6.24264,6,8
w_woundedcoast,7,1073.8,4.41421,4.41421,5,8
w_woundedcoast,8,1228,5.24264,5.24264,5,8
w_woundedcoast,9,1382.8,5.65685,5.65685,5,8
w_woundedcoast,10,2438.8,9.07107,9.07107,8,8
w_woundedcoast,11,2259.2,10.8284,10.8284,11,8
w_woundedcoast,12,2091.4,11.2426,11.2426,11,8
w_woundedcoast,13,2453.4,9.07107,9.07107,8,8
w_woundedcoast,14,2394.4,10.2426,10.2426,10,8
w_woundedcoast,15,2770.4,11.4142,11.4142,12,8
w_woundedcoast,16,1916.4,8.65685,8.65685,8,8
w_woundedcoast,17,2545.8,11.0711,11.0711,10,8
w_woundedcoast,18,1555,9.41421,9.41421,10,8
w_woundedcoast,19,1881,8.07107,8.07107,7,8
w_woundedcoast,20,3519.6,15.7279,15.7279,13,8
w_woundedcoast,21,3930.4,13.8284,13.8284,14,8
w_woundedcoast,22,3517.6,14.6569,14.6569,14,8
w_woundedcoast,23,3365.2,14.0711,14.0711,13,8
w_woundedcoast,24,2706,14.4853,14.4853,13,8
w_woundedcoast,25,2247.2,13.6569,13.6569,13,8
w_woundedcoast,26,1997.6,13.4142,13.4142,14,8
w_woundedcoast,27,3021,13.4853,13.4853,12,8
w_woundedcoast,28,3446,15.4853,15.4853,14,8
w_woundedcoast,29,2897.2,14.3137,14.3137,12,8
w_woundedcoast,30,3728.8,19.8995,19.8995,18,8
w_woundedcoast,31,2878,16.1421,16.1421,13,8
w_woundedcoast,32,4308,17,17,18,8
w_woundedcoast,33,4628.8,17.3137,17.3137,15,8
w_woundedcoast,34,3966.6,19.3848,19.3848,15,8
w_woundedcoast,35,4446.4,17.9706,17.9706,14,8
w_woundedcoast,36,3777.8,17.7279,17.7279,15,8
w_woundedcoast,37,3709.2,16.4142,16.4142,17,8
w_woundedcoast,38,3176,18.4853,18.4853,17,8
w_woundedcoast,39,3701,19.7279,19.7279,17,8
w_woundedcoast,40,4377.2,21.8995,21.8995,20,8
w_woundedcoast,41,4326.8,21.0711,21.0711,20,8
w_woundedcoast,42,4308.2,22.5563,22.5563,19,8
w_woundedcoast,43,3985.4,20.8284,20.8284,21,8
w_woundedcoast,44,4637,21.7279,21.7279,19,8
w_woundedcoast,45,4040.8,21.0711,21.0711,20,8
w_woundedcoast,46,3481.2,21.8284,21.8284,22,8
w_woundedcoast,47,4390,20.9706,20.9706,17,8
w_woundedcoast,48,4613.2,21.9706,21.9706,18,8
w_woundedcoast,49,4024.4,20.3848,20.3848,16,8
w_woundedcoast,50,4472.6,25.5563,25.5563,22,8
w_woundedcoast,51,5347.2,25.9706,25.9706,22,8
w_woundedcoast,52,6598.6,25.7279,25.7279,23,8
w_woundedcoast,53,4088.6,26.3137,26.3137,24,8
w_woundedcoast,54,6590.4,25.2132,25.2132,20,8
w_woundedcoast,55,6145.4,26.8995,26.0711,25,8
w_woundedcoast,56,4364.8,24.0711,24.0711,23,8
w_woundedcoast,57,6449.6,27.4853,27.4853,26,8
w_woundedcoast,58,11063.8,28.7279,27.5563,26,8
w_woundedcoast,59,6680.6,25.4853,25.4853,24,8
w_woundedcoast,60,4603,29.8284,29.8284,30,8
w_woundedcoast,61,5971,29.5563,29.5563,26,8
w_woundedcoast,62,6136,30.2132,29.3848,25,8
w_woundedcoast,63,16244,31.8995,31.8995,30,8
w_woundedcoast,64,7015.8,28.2132,28.2132,23,8
w_woundedcoast,65,6046.8,33.0416,29.9706,27,8
w_woundedcoast,66,55919,31.5563,30.9706,28,8
w_woundedcoast,67,6455.4,29.0416,29.0416,23,8
w_woundedcoast,68,7322.8,31.8701,31.8701,25,8
w_woundedcoast,69,5094.6,30.4142,30.4142,31,8
w_woundedcoast,70,7123,33.6569,33.6569,33,8
w_woundedcoast,71,10851.8,32.9706,32.9706,29,8
