map,scenid,total,20move,distance,path_size,hLevel
lak100c,0,385,215,2,3,1
lak100c,1,444,384,3.82843,4,1
lak100c,2,334,265,3.82843,4,1
lak100c,3,412,333,3.41421,4,1
lak100c,4,208,168,1,2,1
lak100c,5,291,228,2.41421,3,1
lak100c,6,212,209,2,3,1
lak100c,7,477,397,3.82843,4,1
lak100c,8,249,184,1.41421,2,1
lak100c,9,509,338,2.41421,3,1
lak100c,10,265,253,6.65685,6,1
lak100c,11,240,189,4,5,1
lak100c,12,368,277,6.82843,7,1
lak100c,13,490,416,7.82843,8,1
lak100c,14,363,318,7.82843,8,1
lak100c,15,261,229,7.65685,7,1
lak100c,16,238,213,7.07107,6,1
lak100c,17,345,300,6.65685,6,1
lak100c,18,354,326,7.82843,8,1
lak100c,19,420,349,6.65685,6,1
lak100c,20,407,321,10.2426,10,1
lak100c,21,378,275,8.41421,9,1
lak100c,22,357,281,8.41421,9,1
lak100c,23,531,417,10.4853,9,1
lak100c,24,516,439,8.82843,9,1
lak100c,25,326,282,9.82843,10,1
lak100c,26,318,259,9.41421,10,1
lak100c,27,736,643,10.8995,9,1
lak100c,28,433,320,11.8284,12,1
lak100c,29,277,260,11.8284,12,1
lak100c,30,441,300,13,14,1
lak100c,31,429,289,15.4142,16,1
lak100c,32,288,244,13.8284,14,1
lak100c,33,335,344,13.2426,13,1
lak100c,34,471,420,12.4142,13,1
lak100c,35,324,286,13.8995,12,1
lak100c,36,414,387,15.2426,15,1
lak100c,37,403,331,13.2426,13,1
lak100c,38,186,166,15.5563,12,1
lak100c,39,416,368,15.7279,13,1
lak100c,40,255,221,16.0711,15,1
lak100c,41,508,445,16.8284,17,1
lak100c,42,312,306,16.0711,15,1
lak100c,43,683,447,16.0711,15,1
lak100c,44,370,297,16.4142,17,1
lak100c,45,370,328,17.4142,18,1
lak100c,46,912,788,16.8995,15,1
lak100c,47,469,445,16.2426,16,1
lak100c,48,593,550,17.0711,16,1
lak100c,49,441,385,18.2426,18,1
lak100c,50,1421,1176,22.1421,19,1
lak100c,51,315,288,21.8284,22,1
lak100c,52,195,139,23,24,1
lak100c,53,402,360,22.1421,19,1
lak100c,54,773,711,22.9706,19,1
lak100c,55,891,687,22.8995,21,1
lak100c,56,1074,832,22.3137,20,1
lak100c,57,804,672,23.7279,21,1
lak100c,58,582,519,20.6569,20,1
lak100c,59,749,633,21.8995,20,1
lak100c,60,1001,849,26.7279,24,1
lak100c,61,490,477,24.6274,19,1
lak100c,62,671,495,25.6274,20,1
lak100c,63,429,375,26.2426,26,1
lak100c,64,380,301,26.3137,24,1
lak100c,65,584,575,25.7279,23,1
lak100c,66,404,348,25.8284,26,1
lak100c,67,468,327,25.6569,25,1
lak100c,68,525,385,24.2426,24,1
lak100c,69,752,728,24.6274,19,1
lak100c,70,669,597,28.1421,25,1
lak100c,71,761,667,31.0711,30,1
lak100c,72,519,443,29.4853,28,1
lak100c,73,378,327,30.4853,29,1
lak100c,74,1688,1106,28.2132,23,1
lak100c,75,630,590,29.0416,23,1
lak100c,76,864,744,28.6274,23,1
lak100c,77,524,427,28.9706,25,1
lak100c,78,544,441,29.8995,28,1
lak100c,79,384,302,29.5563,26,1
lak100c,80,579,414,34.8995,33,1
lak100c,81,359,223,35.2843,28,1
lak100c,82,953,595,33.9706,30,1
lak100c,83,932,278,32.8995,31,1
lak100c,84,873,733,34.8701,28,1
lak100c,85,737,619,34.9706,31,1
lak100c,86,1014,768,35.6985,28,1
lak100c,87,1356,774,33.5269,25,1
lak100c,88,684,617,35.5563,32,1
lak100c,89,1361,881,33.799,29,1
lak100c,90,302,305,39.9706,36,1
lak100c,91,175,136,39,40,1
lak100c,92,634,174,38.7696,29,1
lak100c,93,1001,809,36.2843,29,1
lak100c,94,870,785,39.2132,34,1
lak100c,95,1228,625,36.8701,30,1
lak100c,96,527,482,39.2426,39,1
lak100c,97,670,251,38.799,34,1
lak100c,98,1228,1268,37.799,33,1
lak100c,99,529,492,36.4558,30,1
lak100c,100,681,598,43.0416,37,1
lak100c,101,1254,646,40.598,30,1
lak100c,102,652,450,41.2843,34,1
lak100c,103,387,333,41.9706,38,1
lak100c,104,948,716,42.2843,35,1
lak100c,105,480,458,40.9706,37,1
lak100c,106,2131,1090,43.0416,37,1
lak100c,107,973,418,40.9706,37,1
lak100c,108,676,548,43.9411,35,1
lak100c,109,1906,954,43.6274,38,1
lak100c,110,2211,1535,44.0416,38,1
lak100c,111,1714,974,47.1838,37,1
lak100c,112,1471,493,45.2843,38,1
lak100c,113,776,664,46.598,36,1
lak100c,114,1085,290,44.4853,43,1
lak100c,115,1096,704,47.598,37,1
lak100c,116,394,359,45.4142,46,1
lak100c,117,817,355,44.3848,40,1
lak100c,118,1361,346,47.7279,45,1
lak100c,119,850,682,45.8701,39,1
lak100c,120,1826,992,50.4558,44,1
lak100c,121,1504,826,51.9411,43,1
lak100c,122,1371,723,48.799,44,1
lak100c,123,645,561,50.4853,49,1
lak100c,124,562,338,51.5269,43,1
lak100c,125,289,276,49.2426,49,1
lak100c,126,1444,1108,50.2132,45,1
lak100c,127,1236,781,49.8701,43,1
lak100c,128,1168,625,51.669,39,1
lak100c,129,1446,441,49.6985,42,1
lak100c,130,514,435,55.9706,52,1
lak100c,131,819,676,54.4558,48,1
lak100c,132,1580,1024,54.9411,46,1
lak100c,133,1151,719,52.2843,45,1
lak100c,134,612,670,52.2426,52,1
lak100c,135,911,399,55.1421,52,1
lak100c,136,317,243,55.8284,56,1
lak100c,137,447,278,54.3553,45,1
lak100c,138,3187,1625,55.598,45,1
lak100c,139,796,378,55.8995,54,1
lak100c,140,822,395,59.7279,57,1
lak100c,141,722,536,59.2426,59,1
lak100c,142,647,177,59.4975,46,1
lak100c,143,1119,279,59.0416,53,1
lak100c,144,1083,622,56.8701,50,1
lak100c,145,863,234,58.9411,50,1
lak100c,146,1469,556,59.2843,52,1
lak100c,147,1729,729,58.7401,44,1
lak100c,148,478,367,58.2426,58,1
lak100c,149,1544,337,59.3137,57,1
lak100c,150,1286,534,63.4264,52,1
lak100c,151,969,776,60.8995,59,1
lak100c,152,775,236,63.4558,57,1
lak100c,153,857,553,63.1838,53,1
lak100c,154,711,340,60.6274,55,1
lak100c,155,1152,641,60.3259,46,1
lak100c,156,1754,936,63.8701,57,1
lak100c,157,1049,541,62.2548,50,1
lak100c,158,2606,1115,63.2843,56,1
