map,scenid,total,20move,distance,path_size,hLevel
lak515d,0,290,299,3.82843,4,0
lak515d,1,242,238,3.41421,4,0
lak515d,2,117,128,2,3,0
lak515d,3,152,132,1,2,0
lak515d,4,340,331,3.82843,4,0
lak515d,5,210,210,3.41421,4,0
lak515d,6,130,131,2,3,0
lak515d,7,235,220,3.82843,4,0
lak515d,8,147,138,1,2,0
lak515d,9,265,250,3.41421,4,0
lak515d,10,316,301,6.65685,6,0
lak515d,11,124,120,4,5,0
lak515d,12,237,222,7.41421,8,0
lak515d,13,219,220,7.82843,8,0
lak515d,14,277,276,7.82843,8,0
lak515d,15,228,232,4.41421,5,0
lak515d,16,382,368,7.82843,8,0
lak515d,17,152,156,4.24264,4,0
lak515d,18,159,154,5.65685,5,0
lak515d,19,301,292,7.24264,7,0
lak515d,20,291,256,8.24264,8,0
lak515d,21,298,281,10.6569,10,0
lak515d,22,462,458,11.0711,10,0
lak515d,23,223,214,10.2426,10,0
lak515d,24,238,205,11.4142,12,0
lak515d,25,212,206,9.48528,8,0
lak515d,26,210,218,10.4142,11,0
lak515d,27,206,201,10.8284,11,0
lak515d,28,306,258,11.0711,10,0
lak515d,29,228,196,11.8995,10,0
lak515d,30,412,350,15.0711,14,0
lak515d,31,199,197,12.8284,13,0
lak515d,32,274,273,12.4853,11,0
lak515d,33,209,211,14.8284,15,0
lak515d,34,235,234,13.0711,12,0
lak515d,35,300,292,14.8284,15,0
lak515d,36,302,273,12.4853,11,0
lak515d,37,454,451,14.3137,12,0
lak515d,38,199,215,13.3137,11,0
lak515d,39,278,268,12.6569,12,0
lak515d,40,399,369,16.7279,14,0
lak515d,41,227,213,18.8284,19,0
lak515d,42,189,193,16.6569,16,0
lak515d,43,422,421,19.4853,18,0
lak515d,44,425,442,16.7279,14,0
lak515d,45,178,183,17.1421,14,0
lak515d,46,385,376,16.8284,17,0
lak515d,47,435,424,17.3137,15,0
lak515d,48,310,315,18.5563,15,0
lak515d,49,564,564,16.7279,14,0
lak515d,50,346,320,20.5563,17,0
lak515d,51,121,127,22,23,0
lak515d,52,260,238,20.3848,16,0
lak515d,53,363,349,21.7279,19,0
lak515d,54,521,501,20.7279,18,0
lak515d,55,483,467,23.9706,20,0
lak515d,56,338,365,21.9706,18,0
