map,scenid,total,20move,distance,path_size,hLevel
lgt605d,0,303,273,3.82843,4,0
lgt605d,1,256,264,3.41421,4,0
lgt605d,2,230,220,3,4,0
lgt605d,3,55,55,0,0,0
lgt605d,4,126,119,3,4,0
lgt605d,5,165,154,1,2,0
lgt605d,6,226,225,2.41421,3,0
lgt605d,7,298,269,3.82843,4,0
lgt605d,8,241,241,2.41421,3,0
lgt605d,9,217,212,2.41421,3,0
lgt605d,10,241,249,5.24264,5,0
lgt605d,11,254,227,5.41421,6,0
lgt605d,12,261,220,6.41421,7,0
lgt605d,13,214,193,4.82843,5,0
lgt605d,14,147,146,6,7,0
lgt605d,15,279,274,5.41421,6,0
lgt605d,16,262,278,5.82843,6,0
lgt605d,17,227,236,5.82843,6,0
lgt605d,18,329,321,6.65685,6,0
lgt605d,19,340,327,4.41421,5,0
lgt605d,20,249,261,10.6569,10,0
lgt605d,21,246,240,10.4142,11,0
lgt605d,22,244,218,11.2426,11,0
lgt605d,23,309,310,10.8995,9,0
lgt605d,24,228,228,9.48528,8,0
lgt605d,25,446,416,11.8995,10,0
lgt605d,26,267,276,10.6569,10,0
lgt605d,27,250,230,9.82843,10,0
lgt605d,28,223,227,8.24264,8,0
lgt605d,29,224,203,8.65685,8,0
lgt605d,30,194,211,14.8284,15,0
lgt605d,31,221,228,13.4853,12,0
lgt605d,32,314,321,14.7279,12,0
lgt605d,33,266,238,15.0711,14,0
lgt605d,34,252,266,13.8284,14,0
lgt605d,35,238,232,12.8284,13,0
lgt605d,36,324,323,15.6569,15,0
lgt605d,37,246,238,12.0711,11,0
lgt605d,38,216,214,13.8995,12,0
lgt605d,39,362,361,12.3137,10,0
lgt605d,40,208,215,17.0711,16,0
lgt605d,41,209,205,16.4853,15,0
lgt605d,42,206,202,17.6569,17,0
lgt605d,43,192,211,19.4142,20,0
lgt605d,44,201,205,19.4853,18,0
lgt605d,45,130,128,17,18,0
lgt605d,46,242,240,18.4853,17,0
lgt605d,47,261,249,18.9706,15,0
lgt605d,48,242,227,16.2426,16,0
lgt605d,49,516,510,19.9706,16,0
lgt605d,50,230,211,22.3137,20,0
lgt605d,51,234,232,20.2426,20,0
lgt605d,52,211,200,20.799,16,0
lgt605d,53,198,194,23.5563,20,0
lgt605d,54,405,364,21.799,17,0
lgt605d,55,223,255,23.7279,21,0
lgt605d,56,222,215,20.6569,20,0
lgt605d,57,238,229,23.4853,22,0
lgt605d,58,230,221,22.8284,23,0
lgt605d,59,197,196,23.0711,22,0
lgt605d,60,243,244,26.8995,25,0
lgt605d,61,285,281,24.8995,23,0
lgt605d,62,129,123,24,25,0
lgt605d,63,311,304,24.4142,25,0
lgt605d,64,232,211,24.3137,22,0
