map,scenid,total,20move,distance,path_size,hLevel
orz601d,0,175,171,2.82843,3,0
orz601d,1,197,202,1.41421,2,0
orz601d,2,148,154,2.82843,3,0
orz601d,3,159,153,3,4,0
orz601d,4,265,255,3.41421,4,0
orz601d,5,138,148,1,2,0
orz601d,6,58,59,0,0,0
orz601d,7,138,147,1,2,0
orz601d,8,258,260,2.41421,3,0
orz601d,9,167,158,2.82843,3,0
orz601d,10,235,232,6.82843,7,0
orz601d,11,395,399,7.24264,7,0
orz601d,12,238,230,4.24264,4,0
orz601d,13,313,285,6.41421,7,0
orz601d,14,243,247,4,5,0
orz601d,15,148,150,4.24264,4,0
orz601d,16,124,124,6,7,0
orz601d,17,232,244,4.41421,5,0
orz601d,18,199,215,7,8,0
orz601d,19,244,270,4.41421,5,0
orz601d,20,485,458,9.65685,9,0
orz601d,21,375,378,9.07107,8,0
orz601d,22,237,240,11.8284,12,0
orz601d,23,308,306,11.6569,11,0
orz601d,24,235,255,11.8284,12,0
orz601d,25,281,293,11.0711,10,0
orz601d,26,211,221,10.4142,11,0
orz601d,27,143,135,11,12,0
orz601d,28,555,561,11.0711,10,0
orz601d,29,278,288,8.41421,9,0
orz601d,30,551,471,12.2426,12,0
orz601d,31,371,376,15.6569,15,0
orz601d,32,610,569,13.6569,13,0
orz601d,33,341,326,12.6569,12,0
orz601d,34,427,412,14.8284,15,0
orz601d,35,300,309,12.2426,12,0
orz601d,36,271,285,15.4142,16,0
orz601d,37,362,361,12.0711,11,0
orz601d,38,319,304,13.2426,13,0
orz601d,39,401,435,13.6569,13,0
orz601d,40,523,522,18.0711,17,0
orz601d,41,412,423,18.2426,18,0
orz601d,42,565,585,18.0711,17,0
orz601d,43,531,519,18.0711,17,0
orz601d,44,233,247,16.8284,17,0
orz601d,45,330,346,18.0711,17,0
orz601d,46,547,529,17.0711,16,0
orz601d,47,382,349,17.8284,18,0
orz601d,48,520,531,17.2426,17,0
orz601d,49,581,596,18.0711,17,0
orz601d,50,526,593,23.8995,22,0
orz601d,51,362,330,23.4853,22,0
orz601d,52,490,452,20.7279,18,0
orz601d,53,562,578,22.8995,21,0
orz601d,54,381,398,22.8995,21,0
orz601d,55,344,324,21.6569,21,0
orz601d,56,516,527,20.4853,19,0
orz601d,57,718,697,23.7279,21,0
orz601d,58,237,245,20.8284,21,0
orz601d,59,550,552,22.5563,19,0
orz601d,60,503,473,24.0711,23,0
orz601d,61,653,611,27.4853,26,0
orz601d,62,635,551,24.8995,23,0
orz601d,63,540,437,25.0711,24,0
orz601d,64,399,389,24.8995,23,0
orz601d,65,456,461,26.3137,24,0
orz601d,66,842,819,27.1421,24,0
orz601d,67,463,396,26.0711,25,0
orz601d,68,598,381,25.0711,24,0
orz601d,69,598,580,27.799,23,0
orz601d,70,835,657,29.9706,26,0
orz601d,71,149,126,30,31,0
orz601d,72,557,532,31.3848,27,0
orz601d,73,478,363,30.6569,30,0
orz601d,74,564,576,30.3137,28,0
orz601d,75,645,565,29.2132,24,0
orz601d,76,379,208,31.4853,30,0
orz601d,77,442,343,30.0711,29,0
orz601d,78,645,456,31.799,27,0
orz601d,79,286,206,30.4142,31,0
orz601d,80,848,642,32.799,28,0
orz601d,81,382,378,34.0711,33,0
orz601d,82,411,239,35.8284,36,0
orz601d,83,792,818,32.799,28,0
orz601d,84,344,181,34.4142,35,0
orz601d,85,707,472,33.1421,30,0
orz601d,86,711,463,33.3137,31,0
orz601d,87,797,663,32.3848,28,0
orz601d,88,680,562,35.3848,31,0
orz601d,89,244,230,34.8284,35,0
orz601d,90,827,495,37.3848,33,0
orz601d,91,255,247,39.2426,39,0
orz601d,92,280,280,39.8284,40,0
orz601d,93,598,459,39.7279,37,0
orz601d,94,233,224,36.2426,36,0
orz601d,95,432,409,38.8995,37,0
orz601d,96,694,284,38.2426,38,0
orz601d,97,455,415,37.4853,36,0
orz601d,98,601,407,39.3137,37,0
orz601d,99,942,722,36.2132,31,0
orz601d,100,221,221,40.6569,40,0
orz601d,101,510,228,40.4142,41,0
orz601d,102,576,606,40.3137,38,0
orz601d,103,727,346,42.0711,41,0
orz601d,104,334,227,43.4853,42,0
orz601d,105,657,662,41.5563,38,0
orz601d,106,608,492,42.0711,41,0
orz601d,107,629,352,43.6569,43,0
orz601d,108,520,535,43.3137,41,0
orz601d,109,843,561,43.2132,38,0
orz601d,110,532,539,45.7279,43,0
orz601d,111,643,401,45.8995,44,0
orz601d,112,629,408,47.8995,46,0
orz601d,113,593,348,46.3137,44,0
orz601d,114,796,400,46.9706,43,0
orz601d,115,382,377,47.4142,48,0
orz601d,116,699,596,46.9706,43,0
orz601d,117,669,457,44.7279,42,0
orz601d,118,659,539,44.5563,41,0
orz601d,119,356,338,47.2426,47,0
orz601d,120,559,523,51.4853,50,0
orz601d,121,469,499,51.4853,50,0
orz601d,122,861,425,48.0416,42,0
orz601d,123,679,449,50.4853,49,0
orz601d,124,755,376,48.0711,47,0
orz601d,125,675,415,49.3137,47,0
orz601d,126,626,179,50.8995,49,0
orz601d,127,621,429,49.3137,47,0
orz601d,128,366,205,48.2426,48,0
orz601d,129,502,528,49.5563,46,0
orz601d,130,1050,539,53.2843,46,0
orz601d,131,580,280,54.2426,54,0
orz601d,132,744,347,52.3137,50,0
orz601d,133,495,445,54.6569,54,0
orz601d,134,364,333,54.8284,55,0
orz601d,135,902,454,52.5269,44,0
orz601d,136,401,207,53.2426,53,0
orz601d,137,281,275,55.2426,55,0
orz601d,138,331,194,55.6569,55,0
orz601d,139,152,149,55,56,0
orz601d,140,438,376,56.6569,56,0
orz601d,141,615,494,57.2132,52,0
orz601d,142,665,267,57.0711,56,0
orz601d,143,552,520,56.3137,54,0
orz601d,144,427,413,57.6569,57,0
orz601d,145,744,379,59.7279,57,0
orz601d,146,402,249,58.8995,57,0
orz601d,147,484,454,58.2426,58,0
orz601d,148,598,328,56.2426,56,0
orz601d,149,669,300,58.1421,55,0
orz601d,150,433,413,62.7279,60,0
orz601d,151,1050,514,62.3848,58,0
orz601d,152,326,275,60,61,0
orz601d,153,583,409,63.8284,64,0
orz601d,154,265,217,63.4142,64,0
orz601d,155,604,269,60.8284,61,0
orz601d,156,438,340,62.8995,61,0
orz601d,157,528,473,62.3137,60,0
orz601d,158,800,526,63.6274,58,0
orz601d,159,283,260,61.8284,62,0
orz601d,160,963,593,66.6274,61,0
orz601d,161,1049,490,67.3137,65,0
