map,scenid,total,20move,distance,path_size,hLevel
ost001d,0,371,318,2.41421,3,0
ost001d,1,156,143,3,4,0
ost001d,2,142,166,1,2,0
ost001d,3,150,129,3,4,0
ost001d,4,265,213,3.41421,4,0
ost001d,5,307,268,3.41421,4,0
ost001d,6,154,158,1,2,0
ost001d,7,180,179,3,4,0
ost001d,8,170,153,1,2,0
ost001d,9,300,271,3.82843,4,0
ost001d,10,424,391,6.24264,6,0
ost001d,11,258,273,6.24264,6,0
ost001d,12,214,202,6.24264,6,0
ost001d,13,272,231,4.24264,4,0
ost001d,14,409,391,5.24264,5,0
ost001d,15,253,224,7.82843,8,0
ost001d,16,299,278,5.24264,5,0
ost001d,17,332,349,7.65685,7,0
ost001d,18,419,425,7.24264,7,0
ost001d,19,262,246,7.82843,8,0
ost001d,20,328,306,8.41421,9,0
ost001d,21,430,407,8.65685,8,0
ost001d,22,342,325,9.07107,8,0
ost001d,23,303,303,10.8284,11,0
ost001d,24,348,330,8.65685,8,0
ost001d,25,376,393,8.65685,8,0
ost001d,26,203,211,11.8284,12,0
ost001d,27,293,291,10.2426,10,0
ost001d,28,315,287,8.82843,9,0
ost001d,29,309,295,10.8284,11,0
ost001d,30,390,407,14.2426,14,0
ost001d,31,551,550,12.2426,12,0
ost001d,32,159,126,13,14,0
ost001d,33,501,449,15.2426,15,0
ost001d,34,278,279,15.2426,15,0
ost001d,35,374,346,13.0711,12,0
ost001d,36,251,262,12.4142,13,0
ost001d,37,234,228,14.8284,15,0
ost001d,38,357,347,15.8995,14,0
ost001d,39,410,372,12.2426,12,0
ost001d,40,277,250,17.2426,17,0
ost001d,41,225,219,17.6569,17,0
ost001d,42,490,463,17.1421,14,0
ost001d,43,607,596,18.2426,18,0
ost001d,44,568,591,18.4853,17,0
ost001d,45,245,235,17.4142,18,0
ost001d,46,153,149,17,18,0
ost001d,47,669,661,16.0711,15,0
ost001d,48,410,382,18.3848,14,0
ost001d,49,341,337,16.7279,14,0
ost001d,50,391,383,21.9706,18,0
ost001d,51,364,381,20.8995,19,0
ost001d,52,334,344,22.2426,22,0
ost001d,53,406,422,21.2132,16,0
ost001d,54,401,377,23.8284,24,0
ost001d,55,761,684,21.9706,18,0
ost001d,56,521,499,20.7279,18,0
ost001d,57,304,282,22.8995,21,0
ost001d,58,545,498,22.3137,20,0
ost001d,59,693,677,23.8995,22,0
ost001d,60,467,413,27.3137,25,0
ost001d,61,527,524,26.3848,22,0
ost001d,62,421,413,25.6569,25,0
ost001d,63,276,289,26.3848,22,0
ost001d,64,501,494,26.2426,26,0
ost001d,65,740,743,25.6569,25,0
ost001d,66,331,328,27.0711,26,0
ost001d,67,576,541,24.799,20,0
ost001d,68,675,670,27.7279,25,0
ost001d,69,392,414,26.5563,23,0
ost001d,70,531,506,30.8995,29,0
ost001d,71,665,494,28.0711,27,0
ost001d,72,633,581,31.4558,25,0
ost001d,73,300,286,31.3137,29,0
ost001d,74,332,323,31.8284,32,0
ost001d,75,394,312,31.8284,32,0
ost001d,76,539,408,31.2132,26,0
ost001d,77,459,320,29.2843,22,0
ost001d,78,606,538,29.4558,23,0
ost001d,79,293,302,28.2426,28,0
ost001d,80,711,590,34.8701,28,0
ost001d,81,681,562,34.6569,34,0
ost001d,82,916,910,32.0416,26,0
ost001d,83,574,471,32.0416,26,0
ost001d,84,1039,669,33.799,29,0
ost001d,85,612,604,33.4853,32,0
ost001d,86,378,284,35.4142,36,0
ost001d,87,586,546,34.8995,33,0
ost001d,88,746,509,34.6985,27,0
ost001d,89,442,173,33.8284,34,0
ost001d,90,904,625,36.6274,31,0
ost001d,91,1483,1070,39.0416,33,0
ost001d,92,738,388,37.9411,29,0
ost001d,93,563,521,36.6274,31,0
ost001d,94,777,702,36.3137,34,0
