map,scenid,total,20move,distance,path_size,hLevel
oth999d,0,228,230,2.41421,3,0
oth999d,1,214,217,3.82843,4,0
oth999d,2,116,134,1,2,0
oth999d,3,117,124,1,2,0
oth999d,4,163,151,1.41421,2,0
oth999d,5,124,130,2,3,0
oth999d,6,125,135,3,4,0
oth999d,7,203,210,2.41421,3,0
oth999d,8,214,211,3.41421,4,0
oth999d,9,127,136,1.41421,2,0
oth999d,10,191,198,5.41421,6,0
oth999d,11,221,236,4.41421,5,0
oth999d,12,187,194,6.24264,6,0
oth999d,13,115,121,4,5,0
oth999d,14,193,204,4.41421,5,0
oth999d,15,176,203,6.41421,7,0
oth999d,16,252,238,4.82843,5,0
oth999d,17,184,204,6.65685,6,0
oth999d,18,174,197,5.82843,6,0
oth999d,19,225,224,6.41421,7,0
oth999d,20,192,191,11.0711,10,0
oth999d,21,186,198,9.82843,10,0
oth999d,22,193,200,9.07107,8,0
oth999d,23,171,170,10.6569,10,0
oth999d,24,194,205,9.48528,8,0
oth999d,25,219,229,9.82843,10,0
oth999d,26,145,133,8.48528,7,0
oth999d,27,216,207,11.4853,10,0
oth999d,28,216,215,9.24264,9,0
oth999d,29,174,167,10.6569,10,0
oth999d,30,185,199,12.3137,10,0
oth999d,31,205,233,13.8995,12,0
oth999d,32,210,206,15.1421,12,0
oth999d,33,174,184,13.4853,12,0
oth999d,34,222,208,15.4853,14,0
oth999d,35,180,204,12.4853,11,0
oth999d,36,206,206,14.7279,12,0
oth999d,37,158,168,12.8995,11,0
oth999d,38,162,185,12.3137,10,0
oth999d,39,226,209,15.1421,12,0
oth999d,40,208,199,18.8995,17,0
oth999d,41,176,185,17.4853,16,0
oth999d,42,196,199,18.2426,18,0
oth999d,43,105,122,17,18,0
oth999d,44,201,188,17.4853,16,0
oth999d,45,201,213,17.4853,16,0
oth999d,46,210,199,16.3137,14,0
oth999d,47,214,198,18.0711,17,0
oth999d,48,188,235,16.7279,14,0
oth999d,49,160,183,19.3137,17,0
oth999d,50,189,214,22.799,18,0
oth999d,51,146,164,22.2132,17,0
oth999d,52,172,170,22.1421,19,0
oth999d,53,195,180,23.0711,22,0
oth999d,54,199,197,20.1421,17,0
oth999d,55,199,200,20.4142,21,0
oth999d,56,198,166,23.2426,23,0
oth999d,57,208,218,21.5563,18,0
oth999d,58,169,179,22.799,18,0
oth999d,59,189,223,21.5563,18,0
oth999d,60,196,210,24.5563,21,0
oth999d,61,191,190,26.6274,21,0
oth999d,62,178,186,27.5563,24,0
oth999d,63,201,198,26.6569,26,0
oth999d,64,174,167,24.3137,22,0
oth999d,65,162,168,26.8284,27,0
oth999d,66,185,200,27.6569,27,0
oth999d,67,157,152,24.0416,18,0
oth999d,68,153,154,27.4558,21,0
