map,scenid,tcost,distance,expect,steps,d,itype
Archipelago,0,3070.200000,219.372600,5.828430,157,-1,tree
Archipelago,1,353.000000,15.071000,6.242640,14,-1,tree
Archipelago,2,426.200000,19.899400,6.828430,18,-1,tree
Archipelago,3,726.800000,87.852000,4.414210,64,-1,tree
Archipelago,4,323.000000,9.828400,5.000000,10,-1,tree
Archipelago,5,326.000000,11.313600,5.656850,9,-1,tree
Archipelago,6,1133.000000,163.491000,6.656850,121,-1,tree
Archipelago,7,1340.000000,171.390400,6.414210,126,-1,tree
Archipelago,8,1190.600000,207.573800,5.828430,151,-1,tree
Archipelago,9,10847.600000,1038.798200,4.828430,824,-1,tree
Archipelago,10,5597.400000,770.798800,10.071100,766,-1,tree
Archipelago,11,1190.800000,194.260200,11.828400,141,-1,tree
Archipelago,12,329.200000,14.727800,9.071070,12,-1,tree
Archipelago,13,488.800000,47.011800,11.071100,36,-1,tree
Archipelago,14,756.000000,107.165600,8.414210,80,-1,tree
Archipelago,15,492.000000,49.769200,11.828400,40,-1,tree
Archipelago,16,871.400000,133.207000,10.071100,99,-1,tree
Archipelago,17,408.200000,24.899400,9.485280,23,-1,tree
Archipelago,18,518.000000,53.769200,8.414210,44,-1,tree
Archipelago,19,553.600000,65.739600,8.828430,51,-1,tree
Archipelago,20,981.800000,177.289800,14.656900,129,-1,tree
Archipelago,21,462.200000,40.355000,12.899500,31,-1,tree
Archipelago,22,549.400000,69.325400,13.242600,55,-1,tree
Archipelago,23,368.400000,15.556200,15.556300,12,-1,tree
Archipelago,24,479.800000,54.426000,14.828400,43,-1,tree
Archipelago,25,1619.000000,239.538400,15.313700,219,-1,tree
Archipelago,26,896.200000,151.278000,13.313700,115,-1,tree
Archipelago,27,1092.600000,140.964400,14.899500,108,-1,tree
Archipelago,28,914.600000,105.408200,15.727900,77,-1,tree
Archipelago,29,572.200000,56.597600,14.071100,46,-1,tree
Archipelago,30,401.400000,28.142000,16.142100,25,-1,tree
Archipelago,31,1248.000000,212.917000,17.071100,158,-1,tree
Archipelago,32,541.400000,58.668600,19.899500,46,-1,tree
Archipelago,33,883.800000,135.136000,19.414200,103,-1,tree
Archipelago,34,690.000000,71.082800,19.242600,58,-1,tree
Archipelago,35,394.200000,34.798800,19.384800,30,-1,tree
Archipelago,36,770.600000,93.668600,16.071100,81,-1,tree
Archipelago,37,961.000000,119.869800,19.485300,113,-1,tree
Archipelago,38,1930.000000,391.692000,16.727900,285,-1,tree
Archipelago,39,569.200000,57.082800,17.970600,44,-1,tree
Archipelago,40,1346.000000,266.485000,22.899500,195,-1,tree
Archipelago,41,1673.000000,352.337000,21.899500,256,-1,tree
Archipelago,42,774.000000,112.094600,23.242600,87,-1,tree
Archipelago,43,758.600000,108.751400,23.556300,82,-1,tree
Archipelago,44,710.000000,101.094600,22.727900,76,-1,tree
Archipelago,45,890.000000,160.976200,20.384800,116,-1,tree
Archipelago,46,896.600000,141.378600,21.071100,108,-1,tree
Archipelago,47,647.400000,77.982200,22.242600,62,-1,tree
Archipelago,48,645.000000,89.982200,23.899500,74,-1,tree
Archipelago,49,546.400000,55.355000,22.242600,46,-1,tree
Archipelago,50,725.600000,100.579800,27.870100,73,-1,tree
Archipelago,51,1430.000000,248.846000,26.455800,196,-1,tree
Archipelago,52,430.800000,43.112400,24.485300,35,-1,tree
Archipelago,53,494.200000,37.142000,27.485300,34,-1,tree
Archipelago,54,2315.000000,418.082800,26.000000,405,-1,tree
Archipelago,55,392.800000,33.112400,24.627400,25,-1,tree
Archipelago,56,341.600000,30.869800,26.041600,24,-1,tree
Archipelago,57,449.600000,30.485200,24.485300,29,-1,tree
Archipelago,58,1545.200000,297.970200,27.213200,224,-1,tree
Archipelago,59,1308.200000,241.473200,27.384800,182,-1,tree
Archipelago,60,2526.800000,502.200800,29.455800,369,-1,tree
Archipelago,61,1441.600000,288.283800,28.556300,211,-1,tree
Archipelago,62,1035.200000,178.047200,30.627400,131,-1,tree
Archipelago,63,918.800000,160.733600,30.627400,117,-1,tree
Archipelago,64,1771.000000,357.195000,29.970600,265,-1,tree
Archipelago,65,479.800000,45.011800,28.041600,34,-1,tree
Archipelago,66,818.200000,138.065000,30.242600,108,-1,tree
Archipelago,67,608.000000,62.254400,29.727900,50,-1,tree
Archipelago,68,1112.600000,185.065000,31.870100,155,-1,tree
Archipelago,69,448.400000,52.355000,30.213200,43,-1,tree
Archipelago,70,548.800000,63.769200,33.041600,54,-1,tree
Archipelago,71,1041.600000,187.218800,35.313700,141,-1,tree
Archipelago,72,537.600000,72.526600,33.556300,64,-1,tree
Archipelago,73,539.600000,44.798800,34.799000,40,-1,tree
Archipelago,74,647.200000,67.597600,32.485300,57,-1,tree
Archipelago,75,521.600000,54.798800,34.899500,50,-1,tree
Archipelago,76,1118.600000,207.360800,32.828400,157,-1,tree
Archipelago,77,650.800000,62.739600,33.870100,48,-1,tree
Archipelago,78,533.800000,63.668600,35.485300,51,-1,tree
Archipelago,79,613.600000,74.497000,32.656900,61,-1,tree
Archipelago,80,5032.000000,892.277800,37.799000,786,-1,tree
Archipelago,81,5840.000000,1157.117800,38.384800,968,-1,tree
Archipelago,82,1026.800000,160.307600,38.041600,129,-1,tree
Archipelago,83,1749.600000,371.650600,37.899500,272,-1,tree
Archipelago,84,1827.400000,315.911000,39.556300,232,-1,tree
Archipelago,85,1440.200000,208.289800,38.242600,160,-1,tree
Archipelago,86,578.600000,46.112400,37.627400,38,-1,tree
Archipelago,87,443.400000,36.769200,36.769600,27,-1,tree
Archipelago,88,738.400000,68.668600,36.727900,56,-1,tree
Archipelago,89,734.400000,76.254400,38.899500,64,-1,tree
Archipelago,90,2453.800000,405.307400,42.526900,304,-1,tree
Archipelago,91,1468.000000,317.810400,41.112700,231,-1,tree
Archipelago,92,1354.800000,214.479200,43.142100,184,-1,tree
Archipelago,93,1010.600000,154.763200,43.041600,116,-1,tree
Archipelago,94,805.600000,111.739600,43.112700,97,-1,tree
Archipelago,95,1200.600000,199.662600,40.142100,158,-1,tree
Archipelago,96,1567.800000,263.816400,43.284300,206,-1,tree
Archipelago,97,814.000000,108.994000,41.112700,81,-1,tree
Archipelago,98,585.200000,79.911200,42.213200,66,-1,tree
Archipelago,99,1259.000000,241.786800,43.799000,179,-1,tree
Archipelago,100,1125.600000,237.958400,47.284300,176,-1,tree
Archipelago,101,950.400000,142.751400,47.213200,116,-1,tree
Archipelago,102,1078.200000,188.603400,44.355300,137,-1,tree
Archipelago,103,2006.400000,380.023400,45.041600,287,-1,tree
Archipelago,104,606.600000,77.254400,44.727900,65,-1,tree
Archipelago,105,572.200000,74.668600,44.183800,62,-1,tree
Archipelago,106,1518.600000,258.982200,44.899500,243,-1,tree
Archipelago,107,1010.000000,124.124200,46.828400,104,-1,tree
Archipelago,108,903.200000,160.076800,45.769600,118,-1,tree
Archipelago,109,1119.400000,166.153800,44.556300,151,-1,tree
Archipelago,110,1108.600000,203.662600,49.556300,162,-1,tree
Archipelago,111,859.200000,128.792800,49.598000,95,-1,tree
Archipelago,112,1381.400000,241.189200,51.727900,190,-1,tree
Archipelago,113,658.200000,102.680400,49.769600,78,-1,tree
Archipelago,114,456.600000,56.455600,49.627400,50,-1,tree
Archipelago,115,827.600000,81.254400,50.970600,69,-1,tree
Archipelago,116,2293.200000,381.609200,51.213200,289,-1,tree
Archipelago,117,3821.000000,721.662600,50.384800,680,-1,tree
