map,scenid,tcost,distance,expect,steps,d,itype
BlastFurnace,0,792.200000,45.011800,5.414210,34,-1,tree
BlastFurnace,1,374.800000,45.355000,7.656850,36,-1,tree
BlastFurnace,2,296.000000,28.970400,7.656850,25,-1,tree
BlastFurnace,3,236.600000,17.313600,4.828430,15,-1,tree
BlastFurnace,4,730.000000,86.366800,7.656850,65,-1,tree
BlastFurnace,5,632.200000,95.195200,7.656850,73,-1,tree
BlastFurnace,6,405.400000,46.940800,6.656850,38,-1,tree
BlastFurnace,7,2373.400000,393.005600,7.656850,283,-1,tree
BlastFurnace,8,484.000000,93.094600,5.414210,68,-1,tree
BlastFurnace,9,1199.000000,219.159600,6.000000,163,-1,tree
BlastFurnace,10,505.400000,62.396400,8.071070,46,-1,tree
BlastFurnace,11,218.800000,22.313600,8.071070,20,-1,tree
BlastFurnace,12,1294.200000,347.993800,11.899500,250,-1,tree
BlastFurnace,13,161.800000,8.485200,8.485280,7,-1,tree
BlastFurnace,14,186.200000,9.899400,9.899490,8,-1,tree
BlastFurnace,15,894.000000,127.964400,10.828400,95,-1,tree
BlastFurnace,16,825.400000,147.449600,11.485300,112,-1,tree
BlastFurnace,17,850.800000,154.591600,8.828430,115,-1,tree
BlastFurnace,18,248.600000,28.455600,11.485300,22,-1,tree
BlastFurnace,19,473.200000,77.467400,10.071100,59,-1,tree
BlastFurnace,20,534.400000,85.952600,13.485300,65,-1,tree
BlastFurnace,21,442.000000,56.497000,14.313700,43,-1,tree
BlastFurnace,22,177.200000,12.727800,12.727900,10,-1,tree
BlastFurnace,23,566.400000,86.911200,12.485300,73,-1,tree
BlastFurnace,24,697.200000,120.479200,14.656900,90,-1,tree
BlastFurnace,25,720.200000,160.763200,15.485300,122,-1,tree
BlastFurnace,26,787.000000,141.934800,14.071100,104,-1,tree
BlastFurnace,27,1358.000000,297.668400,14.485300,215,-1,tree
BlastFurnace,28,273.800000,36.384600,14.242600,32,-1,tree
BlastFurnace,29,289.800000,39.041400,15.828400,33,-1,tree
BlastFurnace,30,777.800000,191.704000,18.485300,143,-1,tree
BlastFurnace,31,794.600000,141.449600,16.414200,106,-1,tree
BlastFurnace,32,996.800000,191.289800,17.727900,143,-1,tree
BlastFurnace,33,676.200000,119.508800,19.384800,94,-1,tree
BlastFurnace,34,1459.200000,342.922800,19.313700,247,-1,tree
BlastFurnace,35,363.600000,53.597600,17.313700,43,-1,tree
BlastFurnace,36,273.200000,36.727800,19.899500,34,-1,tree
BlastFurnace,37,516.000000,61.183400,18.313700,51,-1,tree
BlastFurnace,38,441.800000,85.467400,16.656900,67,-1,tree
BlastFurnace,39,222.600000,30.899400,17.242600,29,-1,tree
BlastFurnace,40,407.200000,50.698200,21.000000,43,-1,tree
BlastFurnace,41,734.400000,110.952600,23.414200,90,-1,tree
BlastFurnace,42,940.200000,209.603400,20.727900,158,-1,tree
BlastFurnace,43,625.800000,137.307600,21.142100,106,-1,tree
BlastFurnace,44,708.400000,168.177400,22.556300,129,-1,tree
BlastFurnace,45,1784.400000,373.479000,22.313700,273,-1,tree
BlastFurnace,46,571.800000,110.479200,22.799000,80,-1,tree
BlastFurnace,47,467.400000,70.011800,23.142100,59,-1,tree
BlastFurnace,48,592.600000,111.023600,20.414200,88,-1,tree
BlastFurnace,49,884.000000,124.035400,23.627400,89,-1,tree
BlastFurnace,50,1153.800000,229.301600,24.242600,169,-1,tree
BlastFurnace,51,453.200000,85.325400,25.828400,71,-1,tree
BlastFurnace,52,332.800000,54.284000,24.970600,47,-1,tree
BlastFurnace,53,1815.000000,422.177200,27.556300,313,-1,tree
BlastFurnace,54,566.000000,109.609400,27.000000,87,-1,tree
BlastFurnace,55,458.200000,88.437800,27.870100,65,-1,tree
BlastFurnace,56,640.200000,114.952600,24.041600,94,-1,tree
BlastFurnace,57,960.000000,213.887400,27.213200,154,-1,tree
BlastFurnace,58,2376.800000,436.668400,25.242600,354,-1,tree
BlastFurnace,59,1514.800000,388.106200,25.142100,281,-1,tree
BlastFurnace,60,2357.400000,608.822000,30.656900,440,-1,tree
BlastFurnace,61,645.600000,117.952600,30.455800,97,-1,tree
BlastFurnace,62,905.600000,152.479200,29.284300,122,-1,tree
BlastFurnace,63,761.800000,118.597600,30.213200,108,-1,tree
BlastFurnace,64,1362.000000,302.082600,28.556300,219,-1,tree
BlastFurnace,65,1963.600000,523.597200,29.455800,373,-1,tree
BlastFurnace,66,740.800000,164.076800,30.213200,122,-1,tree
BlastFurnace,67,441.600000,90.538400,31.627400,70,-1,tree
BlastFurnace,68,697.600000,121.852000,30.071100,98,-1,tree
BlastFurnace,69,1855.000000,436.804400,31.899500,321,-1,tree
BlastFurnace,70,263.000000,33.940800,33.941100,25,-1,tree
BlastFurnace,71,442.800000,87.710000,35.041600,68,-1,tree
BlastFurnace,72,596.800000,115.467400,33.041600,97,-1,tree
BlastFurnace,73,774.200000,173.177400,34.242600,134,-1,tree
BlastFurnace,74,865.800000,218.946600,34.656900,169,-1,tree
BlastFurnace,75,1245.400000,271.272000,35.384800,206,-1,tree
BlastFurnace,76,504.800000,90.396400,35.526900,74,-1,tree
BlastFurnace,77,775.800000,167.905200,34.970600,125,-1,tree
BlastFurnace,78,714.000000,134.035400,33.041600,99,-1,tree
BlastFurnace,79,1049.800000,181.449600,35.526900,146,-1,tree
BlastFurnace,80,839.200000,187.461400,37.556300,140,-1,tree
BlastFurnace,81,2221.800000,453.668400,38.970600,371,-1,tree
BlastFurnace,82,368.800000,59.526600,39.727900,51,-1,tree
BlastFurnace,83,540.800000,107.639000,37.556300,90,-1,tree
BlastFurnace,84,412.400000,69.840200,39.698500,58,-1,tree
BlastFurnace,85,648.000000,127.437800,39.112700,104,-1,tree
BlastFurnace,86,653.000000,143.165600,38.656900,116,-1,tree
BlastFurnace,87,771.400000,165.136000,37.112700,133,-1,tree
BlastFurnace,88,542.400000,79.769200,38.941100,70,-1,tree
BlastFurnace,89,931.000000,189.591600,37.727900,150,-1,tree
BlastFurnace,90,452.400000,89.982200,43.899500,74,-1,tree
BlastFurnace,91,403.400000,65.355000,40.384800,56,-1,tree
BlastFurnace,92,1090.000000,229.562000,41.313700,185,-1,tree
BlastFurnace,93,654.600000,150.550200,41.071100,118,-1,tree
BlastFurnace,94,325.600000,46.384600,42.384800,42,-1,tree
BlastFurnace,95,490.200000,83.739600,43.313700,69,-1,tree
BlastFurnace,96,1908.800000,354.224600,43.142100,267,-1,tree
BlastFurnace,97,1397.600000,366.035200,40.769600,261,-1,tree
BlastFurnace,98,465.800000,91.911200,40.414200,78,-1,tree
BlastFurnace,99,796.600000,199.118200,40.384800,150,-1,tree
BlastFurnace,100,435.000000,68.970400,46.384800,65,-1,tree
BlastFurnace,101,434.600000,75.284000,46.313700,68,-1,tree
BlastFurnace,102,498.600000,111.479200,46.426400,81,-1,tree
BlastFurnace,103,1122.200000,288.141800,47.384800,215,-1,tree
