map,scenid,tcost,distance,expect,steps,d,itype
BrokenSteppes,0,919.000000,46.769200,7.656850,37,-1,tree
BrokenSteppes,1,1063.000000,169.875600,4.414210,122,-1,tree
BrokenSteppes,2,275.600000,15.071000,4.242640,14,-1,tree
BrokenSteppes,3,453.400000,43.526600,7.828430,35,-1,tree
BrokenSteppes,4,368.800000,31.041400,5.000000,25,-1,tree
BrokenSteppes,5,268.000000,21.556200,5.414210,18,-1,tree
BrokenSteppes,6,322.800000,34.698200,6.414210,27,-1,tree
BrokenSteppes,7,493.200000,58.325400,6.242640,44,-1,tree
BrokenSteppes,8,287.200000,24.556200,5.828430,21,-1,tree
BrokenSteppes,9,552.400000,63.497000,7.414210,50,-1,tree
BrokenSteppes,10,736.800000,95.023600,10.656900,72,-1,tree
BrokenSteppes,11,638.200000,79.224800,10.071100,62,-1,tree
BrokenSteppes,12,961.200000,162.662600,11.485300,121,-1,tree
BrokenSteppes,13,263.000000,21.485200,11.828400,20,-1,tree
BrokenSteppes,14,260.000000,21.485200,11.000000,20,-1,tree
BrokenSteppes,15,611.000000,68.082800,11.656900,55,-1,tree
BrokenSteppes,16,778.600000,123.136000,8.828430,91,-1,tree
BrokenSteppes,17,413.400000,32.556200,11.485300,29,-1,tree
BrokenSteppes,18,256.000000,18.142000,10.828400,15,-1,tree
BrokenSteppes,19,224.200000,16.727800,9.414210,14,-1,tree
BrokenSteppes,20,748.600000,109.650800,12.071100,80,-1,tree
BrokenSteppes,21,804.000000,115.579800,13.071100,88,-1,tree
BrokenSteppes,22,1407.200000,215.816400,13.828400,158,-1,tree
BrokenSteppes,23,1131.200000,189.603400,14.242600,138,-1,tree
BrokenSteppes,24,836.800000,107.994000,12.656900,80,-1,tree
BrokenSteppes,25,467.200000,58.526600,15.556300,50,-1,tree
BrokenSteppes,26,310.200000,30.313600,14.313700,28,-1,tree
BrokenSteppes,27,546.200000,67.082800,14.071100,54,-1,tree
BrokenSteppes,28,2268.400000,401.248200,13.414200,290,-1,tree
BrokenSteppes,29,497.400000,86.609400,13.071100,64,-1,tree
BrokenSteppes,30,639.600000,90.224800,18.485300,73,-1,tree
BrokenSteppes,31,1398.600000,344.094400,16.485300,249,-1,tree
BrokenSteppes,32,222.000000,22.384600,16.727900,18,-1,tree
BrokenSteppes,33,299.400000,27.627200,18.899500,22,-1,tree
BrokenSteppes,34,437.800000,60.769200,17.656900,51,-1,tree
BrokenSteppes,35,262.400000,27.869800,19.000000,21,-1,tree
BrokenSteppes,36,319.200000,31.041400,19.142100,25,-1,tree
BrokenSteppes,37,464.600000,57.568000,16.556300,42,-1,tree
BrokenSteppes,38,6017.000000,880.555800,19.485300,737,-1,tree
BrokenSteppes,39,936.600000,163.177400,19.414200,124,-1,tree
BrokenSteppes,40,415.600000,35.455600,22.970600,29,-1,tree
BrokenSteppes,41,731.800000,108.366800,22.727900,87,-1,tree
BrokenSteppes,42,653.800000,94.224800,23.799000,77,-1,tree
BrokenSteppes,43,1507.800000,260.171400,23.071100,192,-1,tree
BrokenSteppes,44,451.800000,83.224800,21.000000,66,-1,tree
BrokenSteppes,45,2258.000000,477.058800,22.556300,348,-1,tree
BrokenSteppes,46,895.200000,167.763200,22.970600,129,-1,tree
BrokenSteppes,47,621.400000,94.881600,20.313700,76,-1,tree
BrokenSteppes,48,901.800000,172.005800,20.384800,132,-1,tree
BrokenSteppes,49,389.200000,39.698200,21.414200,32,-1,tree
BrokenSteppes,50,337.200000,40.769200,24.627400,31,-1,tree
BrokenSteppes,51,4343.400000,743.354600,26.727900,594,-1,tree
BrokenSteppes,52,753.800000,122.337200,25.242600,96,-1,tree
BrokenSteppes,53,560.400000,116.236600,27.142100,87,-1,tree
BrokenSteppes,54,619.000000,101.467400,24.313700,83,-1,tree
BrokenSteppes,55,788.800000,169.390400,26.213200,124,-1,tree
BrokenSteppes,56,1130.800000,212.745400,25.727900,157,-1,tree
BrokenSteppes,57,553.800000,46.485200,26.485300,45,-1,tree
BrokenSteppes,58,666.400000,101.710000,25.485300,82,-1,tree
BrokenSteppes,59,466.200000,54.526600,26.727900,46,-1,tree
BrokenSteppes,60,1351.200000,295.212800,31.242600,220,-1,tree
BrokenSteppes,61,733.400000,144.065000,29.213200,114,-1,tree
BrokenSteppes,62,1179.600000,156.005800,31.556300,116,-1,tree
BrokenSteppes,63,429.400000,72.639000,30.455800,55,-1,tree
BrokenSteppes,64,5737.600000,838.674200,31.284300,715,-1,tree
BrokenSteppes,65,753.200000,152.550200,31.899500,120,-1,tree
BrokenSteppes,66,387.800000,56.183400,31.213200,46,-1,tree
BrokenSteppes,67,1103.400000,245.928800,28.970600,179,-1,tree
BrokenSteppes,68,669.400000,104.881600,28.213200,86,-1,tree
BrokenSteppes,69,726.000000,117.366800,28.799000,96,-1,tree
BrokenSteppes,70,462.000000,66.082800,35.656900,53,-1,tree
BrokenSteppes,71,705.600000,101.680400,34.284300,77,-1,tree
BrokenSteppes,72,731.000000,122.195200,32.213200,100,-1,tree
BrokenSteppes,73,976.200000,112.366800,35.799000,91,-1,tree
BrokenSteppes,74,587.200000,70.011800,35.828400,59,-1,tree
BrokenSteppes,75,442.600000,60.426000,32.485300,49,-1,tree
BrokenSteppes,76,1718.600000,281.852000,33.485300,258,-1,tree
BrokenSteppes,77,313.000000,38.242600,34.242600,38,-1,tree
BrokenSteppes,78,1479.800000,256.786800,33.828400,194,-1,tree
BrokenSteppes,79,492.400000,59.668600,32.656900,47,-1,tree
BrokenSteppes,80,782.200000,115.479200,36.284300,85,-1,tree
BrokenSteppes,81,1209.600000,200.662600,37.526900,159,-1,tree
BrokenSteppes,82,349.600000,52.627200,39.799000,47,-1,tree
BrokenSteppes,83,560.600000,101.337200,37.941100,75,-1,tree
BrokenSteppes,84,1777.000000,343.378600,38.284300,310,-1,tree
BrokenSteppes,85,507.800000,84.526600,38.526900,76,-1,tree
BrokenSteppes,86,502.600000,76.526600,38.526900,68,-1,tree
BrokenSteppes,87,708.000000,133.165600,36.656900,106,-1,tree
BrokenSteppes,88,386.200000,47.970400,39.970600,44,-1,tree
BrokenSteppes,89,1450.200000,313.526400,38.000000,235,-1,tree
BrokenSteppes,90,1769.200000,297.112200,40.941100,219,-1,tree
BrokenSteppes,91,417.000000,62.041400,41.213200,56,-1,tree
BrokenSteppes,92,2013.200000,321.698000,41.384800,244,-1,tree
BrokenSteppes,93,7375.400000,1207.833600,42.284300,957,-1,tree
BrokenSteppes,94,877.000000,184.106400,40.970600,147,-1,tree
BrokenSteppes,95,594.800000,82.284000,40.284300,75,-1,tree
BrokenSteppes,96,834.000000,183.633000,41.627400,137,-1,tree
BrokenSteppes,97,871.800000,143.437800,43.598000,120,-1,tree
BrokenSteppes,98,550.400000,69.911200,41.627400,56,-1,tree
BrokenSteppes,99,356.600000,54.213000,42.213200,49,-1,tree
BrokenSteppes,100,1080.200000,221.775000,46.899500,171,-1,tree
BrokenSteppes,101,699.000000,148.662600,46.254800,107,-1,tree
BrokenSteppes,102,3722.200000,603.171400,47.970600,535,-1,tree
BrokenSteppes,103,548.400000,116.497000,47.426400,103,-1,tree
BrokenSteppes,104,351.600000,57.082800,45.183800,44,-1,tree
BrokenSteppes,105,3192.200000,628.810200,45.656900,472,-1,tree
BrokenSteppes,106,3685.800000,740.372400,44.071100,608,-1,tree
BrokenSteppes,107,505.000000,58.899400,44.071100,57,-1,tree
BrokenSteppes,108,512.400000,95.053200,46.970600,77,-1,tree
BrokenSteppes,109,597.400000,122.337200,45.970600,96,-1,tree
BrokenSteppes,110,1012.600000,179.721800,51.598000,148,-1,tree
BrokenSteppes,111,811.800000,170.893400,50.870100,140,-1,tree
BrokenSteppes,112,927.400000,182.792800,49.941100,149,-1,tree
BrokenSteppes,113,1791.800000,369.195000,48.414200,277,-1,tree
BrokenSteppes,114,591.800000,97.568000,51.142100,82,-1,tree
BrokenSteppes,115,492.800000,81.597600,49.598000,71,-1,tree
BrokenSteppes,116,733.800000,145.680400,48.485300,121,-1,tree
BrokenSteppes,117,5237.800000,795.597400,50.213200,715,-1,tree
BrokenSteppes,118,727.400000,147.177400,51.012200,108,-1,tree
BrokenSteppes,119,497.400000,70.384600,51.899500,66,-1,tree
BrokenSteppes,120,451.000000,63.556200,55.556300,60,-1,tree
BrokenSteppes,121,411.400000,65.840200,52.526900,54,-1,tree
BrokenSteppes,122,977.200000,176.076800,54.941100,134,-1,tree
BrokenSteppes,123,3792.800000,613.928800,54.083300,547,-1,tree
BrokenSteppes,124,1352.200000,275.928800,53.012200,209,-1,tree
BrokenSteppes,125,494.800000,87.295800,55.213200,68,-1,tree
BrokenSteppes,126,1340.800000,243.147800,53.970600,199,-1,tree
BrokenSteppes,127,1092.000000,203.289800,53.183800,155,-1,tree
BrokenSteppes,128,1754.000000,345.911000,52.669000,262,-1,tree
BrokenSteppes,129,765.200000,120.266200,52.041600,96,-1,tree
BrokenSteppes,130,553.000000,93.254400,57.254800,81,-1,tree
BrokenSteppes,131,719.000000,119.053200,57.598000,101,-1,tree
BrokenSteppes,132,1059.600000,201.248400,59.142100,160,-1,tree
BrokenSteppes,133,1380.400000,255.076800,57.556300,213,-1,tree
