map,scenid,tcost,distance,expect,steps,d,itype
Brushfire,0,722.400000,87.366800,5.828430,66,-1,tree
Brushfire,1,199.400000,36.112400,6.656850,28,-1,tree
Brushfire,2,210.200000,27.384600,7.828430,23,-1,tree
Brushfire,3,307.800000,50.183400,5.414210,40,-1,tree
Brushfire,4,369.400000,51.254400,4.828430,39,-1,tree
Brushfire,5,276.600000,48.011800,6.414210,37,-1,tree
Brushfire,6,155.800000,22.142000,4.828430,19,-1,tree
Brushfire,7,352.800000,85.366800,7.828430,64,-1,tree
Brushfire,8,590.800000,129.621200,4.828430,95,-1,tree
Brushfire,9,112.000000,7.071000,7.071070,6,-1,tree
Brushfire,10,1343.200000,282.609400,9.899490,260,-1,tree
Brushfire,11,10357.400000,139.378600,11.071100,106,-1,tree
Brushfire,12,367.000000,95.023600,10.071100,72,-1,tree
Brushfire,13,363.200000,49.526600,10.414200,41,-1,tree
Brushfire,14,259.600000,66.911200,10.000000,53,-1,tree
Brushfire,15,1827.600000,448.443600,10.656900,384,-1,tree
Brushfire,16,257.800000,47.940800,10.828400,39,-1,tree
Brushfire,17,534.200000,154.834200,9.071070,114,-1,tree
Brushfire,18,375.000000,64.911200,11.414200,51,-1,tree
Brushfire,19,434.200000,122.721800,11.000000,91,-1,tree
Brushfire,20,187.400000,33.384600,15.485300,29,-1,tree
Brushfire,21,596.600000,152.934800,14.142100,115,-1,tree
Brushfire,22,234.800000,30.142000,13.414200,27,-1,tree
Brushfire,23,211.400000,33.313600,13.656900,31,-1,tree
Brushfire,24,211.600000,28.485200,12.000000,27,-1,tree
Brushfire,25,324.200000,83.053200,15.656900,65,-1,tree
Brushfire,26,228.400000,43.011800,14.727900,32,-1,tree
Brushfire,27,231.800000,49.940800,12.485300,41,-1,tree
Brushfire,28,329.000000,78.810600,13.899500,62,-1,tree
Brushfire,29,353.600000,82.455600,15.242600,76,-1,tree
Brushfire,30,318.800000,98.751400,19.556300,72,-1,tree
Brushfire,31,216.400000,46.355000,16.313700,37,-1,tree
Brushfire,32,228.800000,55.698200,19.414200,48,-1,tree
Brushfire,33,230.200000,52.112400,16.414200,44,-1,tree
Brushfire,34,495.800000,159.076800,17.656900,117,-1,tree
Brushfire,35,557.200000,170.520600,17.000000,133,-1,tree
Brushfire,36,397.000000,87.467400,17.000000,69,-1,tree
Brushfire,37,593.600000,156.952600,19.556300,136,-1,tree
Brushfire,38,257.400000,57.284000,17.142100,50,-1,tree
Brushfire,39,233.600000,48.112400,16.414200,40,-1,tree
Brushfire,40,320.200000,64.597600,21.828400,54,-1,tree
Brushfire,41,205.600000,48.213000,21.242600,43,-1,tree
Brushfire,42,567.200000,178.633000,20.242600,132,-1,tree
Brushfire,43,186.000000,40.869800,20.242600,34,-1,tree
Brushfire,44,233.600000,65.355000,20.384800,56,-1,tree
Brushfire,45,217.600000,53.455600,23.313700,47,-1,tree
Brushfire,46,195.000000,34.798800,23.970600,30,-1,tree
Brushfire,47,248.800000,49.284000,23.727900,42,-1,tree
Brushfire,48,272.800000,36.556200,22.556300,33,-1,tree
Brushfire,49,202.000000,39.284000,22.071100,32,-1,tree
Brushfire,50,425.400000,108.710000,27.455800,89,-1,tree
Brushfire,51,196.600000,24.556200,24.556300,21,-1,tree
Brushfire,52,1488.600000,342.745400,26.656900,287,-1,tree
Brushfire,53,252.200000,59.082800,25.384800,46,-1,tree
Brushfire,54,215.200000,36.556200,25.727900,33,-1,tree
Brushfire,55,395.200000,126.378600,26.455800,93,-1,tree
Brushfire,56,660.200000,198.047200,25.313700,151,-1,tree
Brushfire,57,282.400000,71.426000,26.414200,60,-1,tree
Brushfire,58,1212.600000,343.502800,27.799000,289,-1,tree
Brushfire,59,678.400000,172.905200,27.485300,130,-1,tree
Brushfire,60,517.400000,155.792800,29.970600,122,-1,tree
Brushfire,61,369.200000,97.082800,31.870100,84,-1,tree
Brushfire,62,398.800000,121.609400,30.556300,99,-1,tree
Brushfire,63,715.200000,181.491000,29.485300,139,-1,tree
Brushfire,64,462.400000,134.236600,29.242600,105,-1,tree
Brushfire,65,486.600000,134.923000,31.142100,109,-1,tree
Brushfire,66,205.800000,48.970400,30.828400,45,-1,tree
Brushfire,67,802.800000,251.366800,30.414200,230,-1,tree
Brushfire,68,213.800000,35.869800,29.870100,29,-1,tree
Brushfire,69,175.000000,38.142000,28.142100,35,-1,tree
Brushfire,70,223.000000,60.769200,34.284300,51,-1,tree
Brushfire,71,367.800000,112.710000,33.799000,93,-1,tree
Brushfire,72,1178.800000,343.396200,35.627400,257,-1,tree
Brushfire,73,256.200000,54.355000,34.941100,45,-1,tree
Brushfire,74,286.800000,64.911200,34.627400,51,-1,tree
Brushfire,75,1863.000000,556.721600,34.142100,455,-1,tree
Brushfire,76,266.000000,48.556200,34.556300,45,-1,tree
Brushfire,77,370.000000,93.911200,32.656900,80,-1,tree
Brushfire,78,273.000000,55.011800,34.828400,44,-1,tree
Brushfire,79,205.800000,50.769200,33.455800,41,-1,tree
Brushfire,80,238.000000,44.627200,36.627400,39,-1,tree
Brushfire,81,231.400000,54.254400,37.384800,42,-1,tree
Brushfire,82,272.600000,56.313600,39.000000,54,-1,tree
Brushfire,83,709.600000,211.781000,38.870100,190,-1,tree
Brushfire,84,343.200000,80.911200,36.828400,67,-1,tree
Brushfire,85,263.800000,55.284000,39.284300,48,-1,tree
