map,scenid,tcost,distance,expect,steps,d,itype
ca_cave,0,507.200000,13.828400,5.242640,14,-1,tree
ca_cave,1,361.200000,52.183400,7.071070,42,-1,tree
ca_cave,2,241.600000,29.556200,7.414210,26,-1,tree
ca_cave,3,225.200000,21.899400,6.000000,20,-1,tree
ca_cave,4,168.200000,35.041400,5.828430,29,-1,tree
ca_cave,5,100.400000,9.242600,7.242640,9,-1,tree
ca_cave,6,296.200000,57.597600,7.656850,47,-1,tree
ca_cave,7,217.200000,36.041400,7.414210,30,-1,tree
ca_cave,8,181.000000,38.355000,7.242640,29,-1,tree
ca_cave,9,195.600000,44.597600,6.656850,34,-1,tree
ca_cave,10,311.400000,59.011800,10.485300,48,-1,tree
ca_cave,11,159.600000,24.313600,11.485300,22,-1,tree
ca_cave,12,148.600000,20.656800,10.656900,20,-1,tree
ca_cave,13,138.800000,21.485200,9.485280,20,-1,tree
ca_cave,14,275.200000,64.982200,11.242600,49,-1,tree
ca_cave,15,223.000000,52.011800,8.414210,41,-1,tree
ca_cave,16,237.200000,52.426000,10.485300,41,-1,tree
ca_cave,17,449.400000,106.153800,10.899500,91,-1,tree
ca_cave,18,158.400000,17.656800,9.656850,17,-1,tree
ca_cave,19,175.000000,19.970400,11.485300,16,-1,tree
ca_cave,20,351.800000,74.597600,13.727900,64,-1,tree
ca_cave,21,152.600000,24.556200,12.899500,21,-1,tree
ca_cave,22,143.400000,25.970400,13.242600,22,-1,tree
ca_cave,23,170.600000,36.112400,13.485300,28,-1,tree
ca_cave,24,267.200000,65.840200,12.242600,54,-1,tree
ca_cave,25,409.400000,117.053200,15.656900,99,-1,tree
ca_cave,26,356.200000,96.609400,14.242600,74,-1,tree
ca_cave,27,284.600000,74.739600,14.899500,60,-1,tree
ca_cave,28,675.400000,142.011800,14.414200,131,-1,tree
ca_cave,29,581.800000,139.355000,13.656900,130,-1,tree
ca_cave,30,167.600000,33.384600,16.313700,29,-1,tree
ca_cave,31,174.800000,36.627200,17.656900,31,-1,tree
ca_cave,32,142.800000,25.656800,17.656900,25,-1,tree
ca_cave,33,283.400000,73.810600,16.313700,57,-1,tree
ca_cave,34,168.000000,34.727800,19.071100,32,-1,tree
ca_cave,35,203.000000,37.142000,16.313700,34,-1,tree
ca_cave,36,293.800000,80.982200,17.142100,65,-1,tree
ca_cave,37,165.400000,25.313600,18.242600,23,-1,tree
ca_cave,38,335.800000,76.810600,19.071100,60,-1,tree
ca_cave,39,130.600000,27.414200,19.414200,28,-1,tree
ca_cave,40,205.200000,39.869800,23.627400,33,-1,tree
ca_cave,41,330.400000,101.680400,23.899500,77,-1,tree
ca_cave,42,223.800000,65.224800,21.384800,48,-1,tree
ca_cave,43,181.600000,46.526600,23.556300,38,-1,tree
ca_cave,44,135.000000,28.828400,20.242600,29,-1,tree
ca_cave,45,327.200000,95.710000,21.485300,76,-1,tree
ca_cave,46,211.600000,32.242600,21.414200,32,-1,tree
ca_cave,47,334.600000,103.781000,23.071100,82,-1,tree
ca_cave,48,396.000000,107.568000,22.313700,92,-1,tree
ca_cave,49,373.000000,79.668600,21.384800,67,-1,tree
ca_cave,50,174.800000,29.071000,24.242600,28,-1,tree
ca_cave,51,229.200000,55.940800,25.313700,47,-1,tree
ca_cave,52,445.200000,111.053200,27.799000,93,-1,tree
ca_cave,53,253.000000,66.355000,25.142100,57,-1,tree
ca_cave,54,187.200000,44.112400,27.384800,36,-1,tree
ca_cave,55,263.600000,55.041400,27.970600,49,-1,tree
ca_cave,56,245.000000,69.355000,25.899500,60,-1,tree
ca_cave,57,193.000000,50.183400,25.556300,40,-1,tree
ca_cave,58,244.000000,55.698200,26.242600,48,-1,tree
ca_cave,59,338.000000,99.710000,27.242600,80,-1,tree
ca_cave,60,248.800000,58.940800,31.485300,50,-1,tree
ca_cave,61,163.800000,40.940800,30.455800,32,-1,tree
ca_cave,62,254.800000,61.455600,29.455800,55,-1,tree
ca_cave,63,429.400000,123.366800,29.041600,102,-1,tree
ca_cave,64,238.200000,65.810600,29.041600,49,-1,tree
ca_cave,65,219.000000,53.526600,28.799000,45,-1,tree
ca_cave,66,158.600000,37.485200,29.485300,36,-1,tree
ca_cave,67,218.600000,71.183400,28.313700,61,-1,tree
ca_cave,68,236.000000,61.455600,28.142100,55,-1,tree
ca_cave,69,391.200000,86.112400,29.284300,78,-1,tree
ca_cave,70,308.400000,70.798800,34.112700,66,-1,tree
ca_cave,71,518.800000,126.639000,32.556300,109,-1,tree
ca_cave,72,258.000000,62.940800,32.698500,54,-1,tree
ca_cave,73,253.800000,60.254400,34.941100,48,-1,tree
ca_cave,74,231.200000,41.041400,32.799000,35,-1,tree
ca_cave,75,151.400000,42.627200,32.142100,37,-1,tree
ca_cave,76,315.600000,85.011800,32.870100,74,-1,tree
ca_cave,77,237.200000,42.970400,34.970600,39,-1,tree
ca_cave,78,492.200000,150.508800,32.485300,125,-1,tree
ca_cave,79,212.000000,66.739600,35.870100,52,-1,tree
ca_cave,80,265.800000,69.112400,39.071100,61,-1,tree
ca_cave,81,438.800000,131.680400,38.284300,107,-1,tree
ca_cave,82,250.200000,57.798800,36.242600,53,-1,tree
ca_cave,83,421.400000,95.840200,38.627400,84,-1,tree
ca_cave,84,306.600000,88.124200,37.213200,68,-1,tree
ca_cave,85,458.800000,116.668600,37.455800,104,-1,tree
ca_cave,86,217.000000,46.112400,39.769600,38,-1,tree
