map,scenid,tcost,distance,expect,steps,d,itype
ca_caverns1,0,568.200000,36.112400,7.828430,28,-1,tree
ca_caverns1,1,461.600000,65.568000,5.242640,50,-1,tree
ca_caverns1,2,126.800000,12.828400,4.000000,13,-1,tree
ca_caverns1,3,181.600000,15.899400,7.414210,14,-1,tree
ca_caverns1,4,285.600000,37.284000,5.828430,30,-1,tree
ca_caverns1,5,280.000000,44.355000,5.000000,35,-1,tree
ca_caverns1,6,238.800000,20.142000,7.656850,17,-1,tree
ca_caverns1,7,260.400000,40.112400,4.414210,32,-1,tree
ca_caverns1,8,179.000000,27.627200,6.414210,22,-1,tree
ca_caverns1,9,338.000000,66.568000,6.000000,51,-1,tree
ca_caverns1,10,140.600000,17.828400,11.000000,18,-1,tree
ca_caverns1,11,193.600000,23.899400,8.000000,22,-1,tree
ca_caverns1,12,431.600000,51.011800,9.414210,40,-1,tree
ca_caverns1,13,296.800000,34.384600,9.414210,30,-1,tree
ca_caverns1,14,188.400000,29.213000,9.071070,24,-1,tree
ca_caverns1,15,183.400000,21.727800,8.414210,19,-1,tree
ca_caverns1,16,326.800000,37.284000,10.414200,30,-1,tree
ca_caverns1,17,310.800000,42.698200,9.828430,35,-1,tree
ca_caverns1,18,202.400000,28.798800,8.414210,24,-1,tree
ca_caverns1,19,119.000000,10.899400,8.656850,9,-1,tree
ca_caverns1,20,377.800000,50.698200,13.828400,43,-1,tree
ca_caverns1,21,230.400000,43.769200,13.485300,34,-1,tree
ca_caverns1,22,308.400000,44.869800,12.000000,38,-1,tree
ca_caverns1,23,325.200000,49.597600,12.828400,39,-1,tree
ca_caverns1,24,261.600000,45.284000,12.656900,38,-1,tree
ca_caverns1,25,183.800000,21.828400,15.828400,22,-1,tree
ca_caverns1,26,567.600000,92.710000,14.485300,73,-1,tree
ca_caverns1,27,130.200000,13.313600,13.313700,11,-1,tree
ca_caverns1,28,292.200000,37.556200,13.071100,34,-1,tree
ca_caverns1,29,274.200000,62.568000,15.899500,47,-1,tree
ca_caverns1,30,219.000000,31.041400,18.414200,25,-1,tree
ca_caverns1,31,220.400000,32.041400,18.000000,26,-1,tree
ca_caverns1,32,292.600000,54.497000,17.727900,41,-1,tree
ca_caverns1,33,311.800000,34.869800,16.485300,28,-1,tree
ca_caverns1,34,308.400000,44.455600,17.485300,38,-1,tree
ca_caverns1,35,187.600000,39.183400,19.384800,29,-1,tree
ca_caverns1,36,284.400000,20.242600,17.414200,20,-1,tree
ca_caverns1,37,223.000000,37.727800,17.727900,35,-1,tree
ca_caverns1,38,270.800000,37.384600,16.313700,33,-1,tree
ca_caverns1,39,255.400000,32.798800,16.899500,28,-1,tree
ca_caverns1,40,324.800000,45.384600,22.071100,41,-1,tree
ca_caverns1,41,243.600000,31.556200,22.727900,28,-1,tree
ca_caverns1,42,256.600000,27.242600,20.414200,27,-1,tree
ca_caverns1,43,194.000000,30.970400,22.142100,27,-1,tree
ca_caverns1,44,250.800000,37.284000,23.727900,30,-1,tree
ca_caverns1,45,508.600000,97.295800,22.485300,78,-1,tree
ca_caverns1,46,149.200000,20.798800,20.799000,16,-1,tree
ca_caverns1,47,260.400000,37.899400,22.727900,36,-1,tree
ca_caverns1,48,340.600000,51.112400,23.556300,43,-1,tree
ca_caverns1,49,204.600000,36.284000,23.313700,29,-1,tree
ca_caverns1,50,286.600000,48.940800,26.313700,40,-1,tree
ca_caverns1,51,460.200000,67.011800,26.970600,56,-1,tree
ca_caverns1,52,592.000000,92.124200,26.828400,72,-1,tree
ca_caverns1,53,2037.000000,318.023600,24.142100,295,-1,tree
ca_caverns1,54,272.800000,36.727800,27.071100,34,-1,tree
ca_caverns1,55,244.000000,39.213000,27.213200,34,-1,tree
ca_caverns1,56,475.600000,77.668600,24.899500,65,-1,tree
ca_caverns1,57,185.800000,24.970400,24.970600,21,-1,tree
ca_caverns1,58,484.600000,107.195200,24.485300,85,-1,tree
ca_caverns1,59,250.000000,31.656800,24.000000,31,-1,tree
ca_caverns1,60,218.200000,35.656800,28.828400,35,-1,tree
ca_caverns1,61,246.200000,42.041400,30.384800,36,-1,tree
ca_caverns1,62,278.600000,51.355000,29.899500,42,-1,tree
ca_caverns1,63,343.800000,62.284000,29.213200,55,-1,tree
ca_caverns1,64,432.600000,76.568000,28.970600,61,-1,tree
ca_caverns1,65,233.600000,42.698200,29.627400,35,-1,tree
ca_caverns1,66,248.200000,36.727800,30.485300,34,-1,tree
ca_caverns1,67,289.600000,41.656800,28.828400,41,-1,tree
ca_caverns1,68,389.600000,65.597600,30.485300,55,-1,tree
