map,scenid,tcost,distance,expect,steps,d,itype
dr_dungeon,0,678.000000,64.082800,7.414210,51,-1,tree
dr_dungeon,1,496.800000,75.982200,7.414210,60,-1,tree
dr_dungeon,2,350.200000,55.082800,5.828430,42,-1,tree
dr_dungeon,3,363.000000,56.597600,6.414210,46,-1,tree
dr_dungeon,4,166.800000,20.071000,5.828430,19,-1,tree
dr_dungeon,5,2004.600000,395.165600,6.414210,368,-1,tree
dr_dungeon,6,174.600000,29.798800,7.656850,25,-1,tree
dr_dungeon,7,224.600000,46.426000,7.656850,35,-1,tree
dr_dungeon,8,129.200000,18.242600,6.242640,18,-1,tree
dr_dungeon,9,114.600000,14.656800,6.656850,14,-1,tree
dr_dungeon,10,205.600000,38.970400,11.656900,35,-1,tree
dr_dungeon,11,133.000000,27.556200,10.242600,24,-1,tree
dr_dungeon,12,105.200000,12.899400,9.485280,11,-1,tree
dr_dungeon,13,190.800000,26.727800,8.242640,24,-1,tree
dr_dungeon,14,378.000000,71.224800,8.071070,54,-1,tree
dr_dungeon,15,290.600000,60.082800,10.000000,47,-1,tree
dr_dungeon,16,132.000000,17.727800,10.656900,15,-1,tree
dr_dungeon,17,220.800000,37.213000,11.899500,32,-1,tree
dr_dungeon,18,195.600000,41.627200,9.828430,36,-1,tree
dr_dungeon,19,153.600000,20.899400,10.071100,19,-1,tree
dr_dungeon,20,225.200000,45.627200,13.242600,40,-1,tree
dr_dungeon,21,142.600000,22.656800,15.000000,22,-1,tree
dr_dungeon,22,117.800000,12.727800,12.727900,10,-1,tree
dr_dungeon,23,345.800000,53.384600,15.142100,49,-1,tree
dr_dungeon,24,426.400000,35.213000,14.000000,30,-1,tree
dr_dungeon,25,473.400000,39.556200,13.071100,36,-1,tree
dr_dungeon,26,1663.200000,380.094600,15.485300,355,-1,tree
dr_dungeon,27,189.800000,41.213000,15.414200,36,-1,tree
dr_dungeon,28,678.400000,26.313600,15.828400,24,-1,tree
dr_dungeon,29,161.400000,26.071000,12.313700,25,-1,tree
dr_dungeon,30,354.400000,76.698200,19.970600,69,-1,tree
dr_dungeon,31,163.800000,31.071000,19.071100,30,-1,tree
dr_dungeon,32,149.800000,28.627200,19.313700,23,-1,tree
dr_dungeon,33,169.600000,26.899400,17.242600,25,-1,tree
