map,scenid,tcost,distance,expect,steps,d,itype
ht_bartrand_n,0,686.000000,43.355000,6.242640,34,-1,tree
ht_bartrand_n,1,202.800000,27.556200,5.414210,24,-1,tree
ht_bartrand_n,2,264.200000,42.183400,6.828430,32,-1,tree
ht_bartrand_n,3,173.000000,23.313600,7.414210,21,-1,tree
ht_bartrand_n,4,282.000000,55.840200,5.414210,44,-1,tree
ht_bartrand_n,5,135.800000,14.071000,5.242640,13,-1,tree
ht_bartrand_n,6,235.400000,38.112400,5.242640,30,-1,tree
ht_bartrand_n,7,210.000000,41.112400,6.828430,33,-1,tree
ht_bartrand_n,8,83.800000,7.071000,7.071070,6,-1,tree
ht_bartrand_n,9,152.200000,21.485200,6.656850,20,-1,tree
ht_bartrand_n,10,198.400000,23.899400,9.414210,22,-1,tree
ht_bartrand_n,11,148.200000,23.556200,8.242640,20,-1,tree
ht_bartrand_n,12,156.600000,20.899400,9.242640,19,-1,tree
ht_bartrand_n,13,137.400000,16.656800,8.656850,16,-1,tree
ht_bartrand_n,14,160.600000,29.869800,8.071070,23,-1,tree
ht_bartrand_n,15,196.000000,38.526600,10.242600,30,-1,tree
ht_bartrand_n,16,166.800000,33.142000,9.485280,30,-1,tree
ht_bartrand_n,17,149.000000,23.899400,9.071070,22,-1,tree
ht_bartrand_n,18,790.800000,169.366800,10.414200,148,-1,tree
ht_bartrand_n,19,188.600000,20.142000,9.656850,17,-1,tree
ht_bartrand_n,20,207.000000,33.727800,12.313700,31,-1,tree
ht_bartrand_n,21,230.400000,39.041400,14.414200,33,-1,tree
ht_bartrand_n,22,203.200000,39.798800,14.485300,35,-1,tree
ht_bartrand_n,23,164.600000,29.798800,15.656900,25,-1,tree
ht_bartrand_n,24,162.800000,29.798800,15.656900,25,-1,tree
ht_bartrand_n,25,174.800000,39.384600,13.485300,35,-1,tree
ht_bartrand_n,26,227.200000,37.798800,13.313700,33,-1,tree
ht_bartrand_n,27,219.400000,44.284000,14.242600,37,-1,tree
ht_bartrand_n,28,122.400000,20.656800,13.000000,20,-1,tree
ht_bartrand_n,29,198.000000,33.384600,13.242600,29,-1,tree
ht_bartrand_n,30,185.000000,29.627200,19.727900,24,-1,tree
ht_bartrand_n,31,299.600000,59.526600,18.556300,51,-1,tree
ht_bartrand_n,32,295.200000,70.911200,17.071100,57,-1,tree
ht_bartrand_n,33,359.600000,81.698200,17.071100,74,-1,tree
ht_bartrand_n,34,239.600000,48.384600,19.556300,44,-1,tree
ht_bartrand_n,35,268.600000,58.112400,19.828400,50,-1,tree
ht_bartrand_n,36,640.200000,174.295800,16.071100,155,-1,tree
ht_bartrand_n,37,178.400000,32.313600,18.656900,30,-1,tree
ht_bartrand_n,38,261.200000,62.668600,16.828400,50,-1,tree
ht_bartrand_n,39,123.200000,22.485200,19.656900,21,-1,tree
ht_bartrand_n,40,144.400000,21.899400,21.899500,20,-1,tree
ht_bartrand_n,41,168.200000,28.828400,22.828400,29,-1,tree
ht_bartrand_n,42,234.800000,54.455600,21.727900,48,-1,tree
ht_bartrand_n,43,594.000000,184.751400,20.000000,158,-1,tree
ht_bartrand_n,44,130.200000,22.656800,20.656900,22,-1,tree
ht_bartrand_n,45,164.800000,28.213000,21.485300,23,-1,tree
ht_bartrand_n,46,162.200000,28.828400,22.000000,29,-1,tree
ht_bartrand_n,47,212.000000,36.556200,23.828400,33,-1,tree
ht_bartrand_n,48,241.800000,50.213000,22.899500,45,-1,tree
ht_bartrand_n,49,186.400000,33.384600,21.384800,29,-1,tree
ht_bartrand_n,50,559.400000,161.153800,27.799000,146,-1,tree
ht_bartrand_n,51,242.600000,55.284000,27.485300,48,-1,tree
ht_bartrand_n,52,282.800000,65.526600,25.828400,57,-1,tree
ht_bartrand_n,53,641.400000,161.609400,25.828400,139,-1,tree
ht_bartrand_n,54,182.000000,34.627200,24.970600,29,-1,tree
ht_bartrand_n,55,299.000000,66.597600,26.071100,56,-1,tree
ht_bartrand_n,56,249.200000,54.183400,25.313700,44,-1,tree
ht_bartrand_n,57,178.800000,27.970400,27.970600,24,-1,tree
