map,scenid,tcost,distance,expect,steps,d,itype
lt_undercityencounter,0,345.800000,9.828400,5.828430,10,-1,tree
lt_undercityencounter,1,293.400000,34.213000,5.242640,29,-1,tree
lt_undercityencounter,2,136.200000,11.485200,6.414210,10,-1,tree
lt_undercityencounter,3,170.800000,21.384600,5.242640,17,-1,tree
lt_undercityencounter,4,214.600000,34.041400,5.414210,28,-1,tree
lt_undercityencounter,5,302.400000,43.727800,6.656850,41,-1,tree
lt_undercityencounter,6,344.400000,56.355000,7.828430,47,-1,tree
lt_undercityencounter,7,260.400000,47.526600,7.000000,39,-1,tree
lt_undercityencounter,8,154.400000,22.384600,5.414210,18,-1,tree
lt_undercityencounter,9,148.400000,16.899400,4.414210,15,-1,tree
lt_undercityencounter,10,280.200000,44.769200,10.485300,35,-1,tree
lt_undercityencounter,11,262.200000,46.840200,9.485280,35,-1,tree
lt_undercityencounter,12,150.600000,19.313600,8.000000,17,-1,tree
lt_undercityencounter,13,281.400000,53.041400,11.000000,47,-1,tree
lt_undercityencounter,14,253.000000,44.183400,10.242600,34,-1,tree
lt_undercityencounter,15,321.800000,49.142000,10.414200,46,-1,tree
lt_undercityencounter,16,169.600000,19.485200,8.656850,18,-1,tree
lt_undercityencounter,17,203.200000,32.970400,10.828400,29,-1,tree
lt_undercityencounter,18,273.400000,30.485200,11.656900,29,-1,tree
lt_undercityencounter,19,286.000000,47.597600,9.414210,37,-1,tree
lt_undercityencounter,20,344.600000,49.970400,14.899500,46,-1,tree
lt_undercityencounter,21,246.600000,38.213000,15.242600,33,-1,tree
lt_undercityencounter,22,159.800000,19.556200,15.556300,16,-1,tree
lt_undercityencounter,23,220.000000,33.384600,14.899500,29,-1,tree
lt_undercityencounter,24,213.600000,29.727800,14.071100,27,-1,tree
lt_undercityencounter,25,364.200000,66.284000,13.656900,59,-1,tree
lt_undercityencounter,26,169.000000,22.970400,12.828400,19,-1,tree
lt_undercityencounter,27,156.000000,15.071000,13.071100,14,-1,tree
lt_undercityencounter,28,152.800000,19.828400,13.828400,20,-1,tree
lt_undercityencounter,29,241.600000,36.041400,12.242600,30,-1,tree
lt_undercityencounter,30,174.800000,26.384600,16.727900,22,-1,tree
lt_undercityencounter,31,252.200000,46.213000,17.828400,41,-1,tree
lt_undercityencounter,32,257.200000,55.325400,19.970600,41,-1,tree
lt_undercityencounter,33,324.600000,63.627200,19.485300,58,-1,tree
lt_undercityencounter,34,196.000000,28.071000,18.414200,27,-1,tree
lt_undercityencounter,35,348.200000,61.627200,17.828400,56,-1,tree
lt_undercityencounter,36,411.800000,90.781000,17.485300,69,-1,tree
lt_undercityencounter,37,268.000000,39.313600,17.313700,37,-1,tree
lt_undercityencounter,38,287.800000,57.668600,16.071100,45,-1,tree
lt_undercityencounter,39,141.600000,25.627200,17.142100,20,-1,tree
lt_undercityencounter,40,266.800000,44.526600,23.313700,36,-1,tree
lt_undercityencounter,41,376.400000,67.556200,22.242600,64,-1,tree
lt_undercityencounter,42,234.600000,47.142000,23.828400,44,-1,tree
lt_undercityencounter,43,178.200000,21.000000,21.000000,22,-1,tree
lt_undercityencounter,44,289.400000,55.769200,20.313700,46,-1,tree
lt_undercityencounter,45,215.400000,39.970400,20.313700,36,-1,tree
lt_undercityencounter,46,191.200000,27.242600,21.242600,27,-1,tree
lt_undercityencounter,47,245.600000,45.213000,21.414200,40,-1,tree
lt_undercityencounter,48,204.600000,41.284000,22.899500,34,-1,tree
lt_undercityencounter,49,312.000000,58.355000,20.414200,49,-1,tree
lt_undercityencounter,50,273.200000,48.455600,24.213200,42,-1,tree
lt_undercityencounter,51,209.200000,36.556200,26.071100,33,-1,tree
lt_undercityencounter,52,220.800000,35.698200,24.727900,28,-1,tree
lt_undercityencounter,53,282.600000,55.455600,26.041600,49,-1,tree
lt_undercityencounter,54,285.400000,54.142000,25.556300,51,-1,tree
lt_undercityencounter,55,314.400000,59.869800,24.414200,53,-1,tree
lt_undercityencounter,56,284.800000,47.556200,25.656900,44,-1,tree
lt_undercityencounter,57,320.200000,56.041400,26.828400,50,-1,tree
lt_undercityencounter,58,237.800000,31.142000,24.899500,28,-1,tree
lt_undercityencounter,59,304.600000,63.355000,26.727900,54,-1,tree
lt_undercityencounter,60,247.800000,48.284000,31.556300,41,-1,tree
lt_undercityencounter,61,363.800000,65.627200,28.455800,60,-1,tree
lt_undercityencounter,62,409.200000,81.355000,30.000000,72,-1,tree
lt_undercityencounter,63,241.600000,38.899400,28.414200,37,-1,tree
lt_undercityencounter,64,324.800000,76.183400,30.485300,66,-1,tree
lt_undercityencounter,65,397.200000,78.355000,28.414200,69,-1,tree
lt_undercityencounter,66,228.200000,41.970400,29.970600,38,-1,tree
lt_undercityencounter,67,341.600000,60.940800,31.727900,52,-1,tree
lt_undercityencounter,68,280.600000,42.556200,30.313700,39,-1,tree
lt_undercityencounter,69,266.400000,61.911200,31.627400,48,-1,tree
lt_undercityencounter,70,281.600000,48.313600,33.242600,46,-1,tree
lt_undercityencounter,71,246.800000,45.899400,35.656900,44,-1,tree
lt_undercityencounter,72,272.400000,43.556200,33.556300,40,-1,tree
lt_undercityencounter,73,415.000000,97.952600,34.556300,77,-1,tree
lt_undercityencounter,74,275.200000,49.455600,34.142100,43,-1,tree
lt_undercityencounter,75,235.200000,48.213000,34.556300,43,-1,tree
lt_undercityencounter,76,261.600000,49.698200,32.727900,42,-1,tree
lt_undercityencounter,77,211.200000,44.041400,33.556300,38,-1,tree
lt_undercityencounter,78,239.000000,38.384600,32.727900,34,-1,tree
lt_undercityencounter,79,361.400000,75.668600,33.000000,63,-1,tree
lt_undercityencounter,80,249.200000,40.384600,37.556300,36,-1,tree
lt_undercityencounter,81,411.400000,82.940800,37.970600,74,-1,tree
lt_undercityencounter,82,363.800000,63.355000,39.213200,54,-1,tree
lt_undercityencounter,83,218.000000,48.656800,39.828400,48,-1,tree
lt_undercityencounter,84,282.800000,54.455600,38.556300,48,-1,tree
lt_undercityencounter,85,197.400000,38.970400,36.485300,35,-1,tree
lt_undercityencounter,86,565.200000,112.437800,38.556300,89,-1,tree
lt_undercityencounter,87,411.400000,73.041400,38.313700,67,-1,tree
lt_undercityencounter,88,331.000000,51.384600,38.799000,47,-1,tree
lt_undercityencounter,89,325.800000,69.254400,36.970600,57,-1,tree
lt_undercityencounter,90,290.200000,59.869800,43.384800,53,-1,tree
lt_undercityencounter,91,204.000000,44.970400,40.970600,41,-1,tree
lt_undercityencounter,92,330.400000,60.597600,40.598000,50,-1,tree
lt_undercityencounter,93,417.400000,81.840200,42.384800,70,-1,tree
lt_undercityencounter,94,431.200000,76.769200,41.414200,67,-1,tree
lt_undercityencounter,95,353.400000,60.769200,42.627400,51,-1,tree
lt_undercityencounter,96,373.600000,73.183400,43.242600,63,-1,tree
lt_undercityencounter,97,336.600000,60.041400,42.384800,54,-1,tree
lt_undercityencounter,98,538.600000,121.266200,43.041600,97,-1,tree
lt_undercityencounter,99,365.400000,48.869800,40.384800,42,-1,tree
lt_undercityencounter,100,576.000000,83.497000,46.284300,70,-1,tree
lt_undercityencounter,101,630.000000,84.769200,46.828400,75,-1,tree
lt_undercityencounter,102,352.400000,59.698200,45.698500,52,-1,tree
lt_undercityencounter,103,604.200000,87.183400,44.213200,77,-1,tree
lt_undercityencounter,104,285.600000,45.769200,45.769600,36,-1,tree
lt_undercityencounter,105,397.800000,56.526600,44.485300,48,-1,tree
