map,scenid,tcost,distance,expect,steps,d,itype
maze-100-1,0,358.600000,5.000000,5.000000,6,-1,tree
maze-100-1,1,155.600000,8.000000,6.000000,9,-1,tree
maze-100-1,2,131.800000,5.000000,5.000000,6,-1,tree
maze-100-1,3,133.000000,6.000000,6.000000,7,-1,tree
maze-100-1,4,183.200000,14.000000,6.000000,15,-1,tree
maze-100-1,5,122.000000,4.000000,4.000000,5,-1,tree
maze-100-1,6,173.800000,6.000000,6.000000,7,-1,tree
maze-100-1,7,179.400000,12.000000,6.000000,13,-1,tree
maze-100-1,8,127.200000,7.000000,7.000000,8,-1,tree
maze-100-1,9,109.800000,5.000000,5.000000,6,-1,tree
maze-100-1,10,172.000000,12.000000,8.000000,13,-1,tree
maze-100-1,11,152.200000,9.000000,9.000000,10,-1,tree
maze-100-1,12,186.800000,15.000000,9.000000,16,-1,tree
maze-100-1,13,223.400000,19.000000,11.000000,20,-1,tree
maze-100-1,14,166.600000,11.000000,11.000000,12,-1,tree
maze-100-1,15,155.600000,10.000000,10.000000,11,-1,tree
maze-100-1,16,148.000000,8.000000,8.000000,9,-1,tree
maze-100-1,17,148.800000,10.000000,10.000000,11,-1,tree
maze-100-1,18,175.200000,15.000000,11.000000,16,-1,tree
maze-100-1,19,149.800000,12.000000,10.000000,13,-1,tree
maze-100-1,20,179.800000,22.000000,14.000000,23,-1,tree
maze-100-1,21,205.600000,18.000000,12.000000,19,-1,tree
maze-100-1,22,178.800000,13.000000,13.000000,14,-1,tree
maze-100-1,23,190.800000,15.000000,15.000000,16,-1,tree
maze-100-1,24,157.800000,12.000000,12.000000,13,-1,tree
maze-100-1,25,190.600000,15.000000,15.000000,16,-1,tree
maze-100-1,26,155.400000,12.000000,12.000000,13,-1,tree
maze-100-1,27,196.200000,15.000000,15.000000,16,-1,tree
maze-100-1,28,185.400000,16.000000,14.000000,17,-1,tree
maze-100-1,29,179.600000,15.000000,15.000000,16,-1,tree
maze-100-1,30,193.200000,18.000000,18.000000,19,-1,tree
maze-100-1,31,218.400000,17.000000,17.000000,18,-1,tree
maze-100-1,32,254.600000,26.000000,18.000000,27,-1,tree
maze-100-1,33,200.800000,18.000000,18.000000,19,-1,tree
maze-100-1,34,184.400000,17.000000,17.000000,18,-1,tree
maze-100-1,35,180.600000,16.000000,16.000000,17,-1,tree
maze-100-1,36,202.200000,19.000000,19.000000,20,-1,tree
maze-100-1,37,247.200000,23.000000,17.000000,24,-1,tree
maze-100-1,38,275.600000,25.000000,19.000000,26,-1,tree
maze-100-1,39,164.000000,16.000000,16.000000,17,-1,tree
maze-100-1,40,235.200000,27.000000,21.000000,28,-1,tree
maze-100-1,41,237.600000,23.000000,23.000000,24,-1,tree
maze-100-1,42,208.800000,23.000000,23.000000,24,-1,tree
maze-100-1,43,244.600000,22.000000,22.000000,23,-1,tree
maze-100-1,44,225.600000,20.000000,20.000000,21,-1,tree
maze-100-1,45,214.400000,23.000000,23.000000,24,-1,tree
maze-100-1,46,240.600000,22.000000,22.000000,23,-1,tree
maze-100-1,47,218.200000,20.000000,20.000000,21,-1,tree
maze-100-1,48,265.200000,22.000000,22.000000,23,-1,tree
maze-100-1,49,241.600000,20.000000,20.000000,21,-1,tree
maze-100-1,50,317.600000,33.000000,25.000000,34,-1,tree
maze-100-1,51,289.600000,32.000000,24.000000,33,-1,tree
maze-100-1,52,236.600000,26.000000,26.000000,27,-1,tree
maze-100-1,53,269.200000,28.000000,24.000000,29,-1,tree
maze-100-1,54,271.800000,27.000000,27.000000,28,-1,tree
maze-100-1,55,268.200000,30.000000,26.000000,31,-1,tree
maze-100-1,56,264.200000,30.000000,26.000000,31,-1,tree
maze-100-1,57,291.800000,30.000000,26.000000,31,-1,tree
maze-100-1,58,332.800000,30.000000,24.000000,31,-1,tree
maze-100-1,59,253.000000,28.000000,26.000000,29,-1,tree
maze-100-1,60,336.400000,39.000000,31.000000,40,-1,tree
maze-100-1,61,332.000000,30.000000,30.000000,31,-1,tree
maze-100-1,62,280.000000,30.000000,30.000000,31,-1,tree
maze-100-1,63,263.200000,30.000000,30.000000,31,-1,tree
