map,scenid,tcost,distance,expect,steps,d,itype
orz302d,0,463.600000,15.242600,3.828430,15,-1,tree
orz302d,1,122.400000,14.656800,2.414210,14,-1,tree
orz302d,2,153.600000,15.485200,2.414210,14,-1,tree
orz302d,3,193.400000,21.142000,2.414210,18,-1,tree
orz302d,4,157.000000,22.970400,2.000000,19,-1,tree
orz302d,5,124.600000,17.727800,2.414210,15,-1,tree
orz302d,6,113.800000,8.242600,3.414210,8,-1,tree
orz302d,7,78.200000,4.828400,2.828430,5,-1,tree
orz302d,8,96.800000,4.242600,1.414210,4,-1,tree
orz302d,9,62.400000,1.414200,1.414210,2,-1,tree
orz302d,10,91.200000,6.242600,6.242640,6,-1,tree
orz302d,11,130.600000,15.071000,6.242640,14,-1,tree
orz302d,12,202.400000,33.798800,6.828430,29,-1,tree
orz302d,13,196.600000,31.970400,5.242640,28,-1,tree
orz302d,14,196.000000,30.798800,7.828430,26,-1,tree
orz302d,15,130.800000,21.727800,5.000000,19,-1,tree
orz302d,16,186.400000,35.041400,5.000000,29,-1,tree
orz302d,17,116.000000,18.142000,6.828430,15,-1,tree
orz302d,18,152.000000,24.798800,4.414210,20,-1,tree
orz302d,19,128.600000,19.142000,5.242640,16,-1,tree
orz302d,20,151.600000,12.828400,10.000000,13,-1,tree
orz302d,21,161.200000,19.242600,10.656900,19,-1,tree
orz302d,22,116.400000,11.242600,11.242600,11,-1,tree
orz302d,23,230.800000,39.627200,10.071100,34,-1,tree
orz302d,24,105.800000,15.313600,9.656850,13,-1,tree
orz302d,25,147.200000,21.556200,10.242600,18,-1,tree
orz302d,26,141.600000,28.213000,10.899500,23,-1,tree
orz302d,27,98.200000,15.556200,9.899490,12,-1,tree
orz302d,28,235.600000,46.526600,10.242600,38,-1,tree
orz302d,29,195.000000,44.869800,9.414210,38,-1,tree
orz302d,30,244.000000,42.627200,14.485300,37,-1,tree
orz302d,31,166.600000,36.798800,13.000000,32,-1,tree
orz302d,32,228.800000,41.869800,12.414200,35,-1,tree
orz302d,33,153.600000,21.313600,13.313700,19,-1,tree
orz302d,34,389.200000,90.881600,15.485300,72,-1,tree
orz302d,35,157.800000,23.142000,13.485300,20,-1,tree
orz302d,36,118.400000,12.485200,12.485300,11,-1,tree
orz302d,37,169.000000,30.727800,14.000000,28,-1,tree
orz302d,38,132.000000,24.798800,12.313700,20,-1,tree
orz302d,39,152.000000,33.213000,15.071100,28,-1,tree
orz302d,40,165.200000,28.384600,16.485300,24,-1,tree
orz302d,41,175.800000,28.656800,16.656900,28,-1,tree
orz302d,42,114.000000,19.142000,16.899500,16,-1,tree
orz302d,43,121.000000,20.556200,17.485300,17,-1,tree
orz302d,44,137.200000,21.242600,19.242600,21,-1,tree
orz302d,45,190.800000,29.485200,17.828400,28,-1,tree
orz302d,46,165.000000,30.313600,17.485300,28,-1,tree
orz302d,47,139.400000,19.485200,19.485300,18,-1,tree
orz302d,48,180.400000,32.556200,17.242600,29,-1,tree
orz302d,49,172.800000,28.313600,19.242600,26,-1,tree
orz302d,50,180.800000,32.041400,22.970600,26,-1,tree
orz302d,51,168.400000,31.970400,21.142100,28,-1,tree
orz302d,52,164.200000,33.970400,21.142100,30,-1,tree
orz302d,53,188.400000,37.727800,20.071100,35,-1,tree
orz302d,54,222.200000,52.455600,23.727900,46,-1,tree
orz302d,55,177.600000,33.556200,20.000000,30,-1,tree
orz302d,56,212.000000,47.869800,21.142100,41,-1,tree
orz302d,57,155.600000,32.798800,22.313700,28,-1,tree
orz302d,58,205.200000,40.970400,23.071100,37,-1,tree
orz302d,59,177.000000,41.284000,23.384800,34,-1,tree
orz302d,60,232.400000,38.727800,26.727900,36,-1,tree
orz302d,61,206.200000,39.798800,27.799000,35,-1,tree
orz302d,62,182.000000,38.213000,26.213200,33,-1,tree
orz302d,63,186.000000,34.142000,26.242600,31,-1,tree
orz302d,64,200.200000,38.142000,26.142100,35,-1,tree
orz302d,65,163.400000,28.556200,24.556300,25,-1,tree
orz302d,66,151.400000,26.313600,26.313700,24,-1,tree
orz302d,67,164.400000,27.485200,24.656900,26,-1,tree
orz302d,68,166.200000,29.142000,26.313700,26,-1,tree
orz302d,69,205.000000,43.284000,27.970600,36,-1,tree
orz302d,70,231.200000,40.727800,28.727900,38,-1,tree
orz302d,71,196.000000,40.556200,28.556300,37,-1,tree
orz302d,72,208.600000,40.455600,29.041600,34,-1,tree
orz302d,73,220.400000,44.455600,29.142100,38,-1,tree
orz302d,74,253.000000,58.869800,31.313700,52,-1,tree
orz302d,75,267.600000,49.213000,31.799000,44,-1,tree
orz302d,76,244.000000,56.698200,29.142100,49,-1,tree
orz302d,77,243.000000,49.384600,31.384800,45,-1,tree
orz302d,78,232.800000,57.769200,29.041600,48,-1,tree
orz302d,79,240.400000,48.556200,28.799000,45,-1,tree
