map,scenid,tcost,distance,expect,steps,d,itype
random-100-33,0,319.800000,6.828400,6.828430,7,-1,tree
random-100-33,1,172.800000,15.656800,6.000000,15,-1,tree
random-100-33,2,149.200000,14.485200,4.828430,13,-1,tree
random-100-33,3,121.600000,6.414200,6.414210,7,-1,tree
random-100-33,4,184.400000,17.656800,4.242640,17,-1,tree
random-100-33,5,124.400000,12.656800,7.828430,12,-1,tree
random-100-33,6,443.800000,63.970400,7.828430,60,-1,tree
random-100-33,7,136.600000,16.828400,7.414210,17,-1,tree
random-100-33,8,237.400000,37.656800,7.414210,37,-1,tree
random-100-33,9,107.000000,9.828400,5.828430,10,-1,tree
random-100-33,10,163.400000,20.485200,11.414200,19,-1,tree
random-100-33,11,198.200000,30.071000,9.242640,29,-1,tree
random-100-33,12,271.800000,44.313600,9.000000,42,-1,tree
random-100-33,13,116.000000,10.414200,10.414200,11,-1,tree
random-100-33,14,121.200000,11.242600,10.656900,11,-1,tree
random-100-33,15,159.200000,13.414200,8.000000,14,-1,tree
random-100-33,16,119.400000,10.000000,8.000000,11,-1,tree
random-100-33,17,629.400000,104.384600,9.414210,100,-1,tree
random-100-33,18,475.000000,74.142000,11.414200,71,-1,tree
random-100-33,19,318.000000,56.384600,9.656850,52,-1,tree
random-100-33,20,122.800000,16.414200,12.414200,17,-1,tree
random-100-33,21,361.400000,59.313600,13.414200,57,-1,tree
random-100-33,22,600.400000,120.869800,14.000000,114,-1,tree
random-100-33,23,173.800000,19.242600,15.242600,19,-1,tree
random-100-33,24,202.600000,34.485200,15.414200,33,-1,tree
random-100-33,25,201.400000,35.656800,14.828400,35,-1,tree
random-100-33,26,135.200000,14.656800,14.656900,14,-1,tree
random-100-33,27,540.200000,108.869800,15.414200,102,-1,tree
random-100-33,28,188.400000,24.828400,14.828400,25,-1,tree
random-100-33,29,193.400000,35.656800,14.242600,35,-1,tree
random-100-33,30,401.000000,81.970400,17.242600,78,-1,tree
random-100-33,31,420.600000,79.142000,18.071100,76,-1,tree
random-100-33,32,225.400000,29.656800,19.414200,29,-1,tree
random-100-33,33,161.200000,22.071000,19.485300,21,-1,tree
random-100-33,34,155.000000,27.828400,18.656900,28,-1,tree
random-100-33,35,285.400000,43.656800,17.071100,43,-1,tree
random-100-33,36,272.800000,55.485200,17.828400,54,-1,tree
random-100-33,37,174.600000,24.071000,18.414200,23,-1,tree
random-100-33,38,152.600000,26.242600,18.242600,26,-1,tree
random-100-33,39,271.800000,71.627200,19.242600,66,-1,tree
random-100-33,40,622.400000,128.869800,21.414200,122,-1,tree
random-100-33,41,210.200000,28.656800,20.414200,28,-1,tree
random-100-33,42,742.000000,164.597600,23.242600,154,-1,tree
random-100-33,43,175.400000,24.828400,20.828400,25,-1,tree
random-100-33,44,926.600000,183.183400,22.656900,173,-1,tree
random-100-33,45,290.000000,61.313600,22.242600,59,-1,tree
random-100-33,46,164.000000,24.656800,23.242600,24,-1,tree
random-100-33,47,434.800000,89.213000,22.242600,84,-1,tree
random-100-33,48,502.200000,110.041400,23.656900,104,-1,tree
random-100-33,49,246.000000,38.485200,20.828400,37,-1,tree
random-100-33,50,476.200000,92.041400,27.656900,86,-1,tree
random-100-33,51,367.600000,81.142000,27.485300,78,-1,tree
random-100-33,52,211.400000,31.242600,27.242600,31,-1,tree
random-100-33,53,607.200000,122.869800,27.899500,116,-1,tree
random-100-33,54,1961.000000,322.639000,27.828400,305,-1,tree
random-100-33,55,208.200000,28.071000,24.656900,27,-1,tree
random-100-33,56,173.000000,24.828400,24.828400,25,-1,tree
random-100-33,57,217.600000,30.656800,25.242600,30,-1,tree
random-100-33,58,231.200000,40.899400,25.242600,39,-1,tree
random-100-33,59,189.600000,33.485200,27.485300,32,-1,tree
random-100-33,60,490.200000,104.041400,29.071100,98,-1,tree
random-100-33,61,520.200000,102.798800,31.485300,98,-1,tree
random-100-33,62,259.200000,46.485200,28.485300,45,-1,tree
random-100-33,63,687.600000,152.769200,30.828400,143,-1,tree
random-100-33,64,227.400000,40.656800,29.485300,40,-1,tree
random-100-33,65,275.600000,42.727800,30.242600,40,-1,tree
random-100-33,66,365.800000,68.727800,28.485300,66,-1,tree
random-100-33,67,308.000000,48.727800,31.556300,46,-1,tree
random-100-33,68,402.800000,72.798800,28.071100,68,-1,tree
random-100-33,69,419.200000,80.970400,31.556300,77,-1,tree
random-100-33,70,221.400000,37.313600,35.899500,35,-1,tree
random-100-33,71,329.400000,66.556200,35.727900,63,-1,tree
random-100-33,72,339.400000,67.313600,33.071100,65,-1,tree
random-100-33,73,371.800000,75.142000,32.656900,72,-1,tree
random-100-33,74,295.600000,56.384600,35.899500,52,-1,tree
random-100-33,75,367.800000,65.313600,34.485300,63,-1,tree
random-100-33,76,454.600000,80.798800,32.656900,76,-1,tree
random-100-33,77,538.200000,70.556200,32.899500,67,-1,tree
random-100-33,78,412.000000,69.313600,34.485300,67,-1,tree
random-100-33,79,222.800000,41.313600,35.899500,39,-1,tree
random-100-33,80,213.400000,44.485200,37.899500,43,-1,tree
random-100-33,81,402.600000,79.798800,37.071100,75,-1,tree
random-100-33,82,341.600000,65.970400,39.485300,62,-1,tree
random-100-33,83,309.200000,66.142000,38.485300,63,-1,tree
random-100-33,84,563.800000,102.798800,38.071100,98,-1,tree
random-100-33,85,436.200000,44.071000,36.414200,43,-1,tree
random-100-33,86,252.800000,55.313600,37.656900,53,-1,tree
random-100-33,87,296.800000,56.313600,36.313700,54,-1,tree
random-100-33,88,897.000000,185.597600,38.727900,175,-1,tree
random-100-33,89,271.000000,40.071000,36.071100,39,-1,tree
random-100-33,90,358.400000,76.556200,43.485300,73,-1,tree
random-100-33,91,372.200000,61.727800,43.485300,59,-1,tree
random-100-33,92,359.400000,69.970400,43.485300,66,-1,tree
random-100-33,93,294.400000,40.485200,40.485300,39,-1,tree
random-100-33,94,608.200000,164.284000,41.899500,157,-1,tree
random-100-33,95,320.400000,61.313600,41.656900,59,-1,tree
random-100-33,96,326.800000,63.556200,42.727900,60,-1,tree
random-100-33,97,237.400000,48.970400,43.313700,45,-1,tree
random-100-33,98,546.000000,112.213000,41.142100,107,-1,tree
random-100-33,99,233.600000,45.727800,41.485300,43,-1,tree
random-100-33,100,462.400000,99.627200,47.142100,94,-1,tree
random-100-33,101,286.800000,63.556200,45.313700,60,-1,tree
random-100-33,102,319.200000,54.899400,44.071100,53,-1,tree
random-100-33,103,330.400000,55.142000,44.313700,52,-1,tree
random-100-33,104,319.200000,48.899400,47.485300,47,-1,tree
random-100-33,105,701.600000,147.112400,47.656900,139,-1,tree
random-100-33,106,651.200000,115.869800,47.485300,109,-1,tree
random-100-33,107,508.000000,58.313600,44.556300,56,-1,tree
random-100-33,108,364.400000,73.727800,46.071100,71,-1,tree
random-100-33,109,634.400000,122.455600,46.899500,116,-1,tree
random-100-33,110,1168.800000,238.497000,50.899500,225,-1,tree
random-100-33,111,408.600000,84.556200,50.071100,81,-1,tree
random-100-33,112,672.200000,181.426000,50.313700,170,-1,tree
random-100-33,113,419.600000,99.384600,49.485300,95,-1,tree
random-100-33,114,1123.400000,258.497000,50.313700,245,-1,tree
random-100-33,115,322.600000,59.242600,49.727900,59,-1,tree
random-100-33,116,942.600000,258.254400,50.656900,246,-1,tree
random-100-33,117,467.200000,93.556200,50.142100,90,-1,tree
random-100-33,118,586.200000,170.112400,51.384800,162,-1,tree
random-100-33,119,253.600000,56.071000,51.828400,55,-1,tree
random-100-33,120,393.400000,68.041400,54.627400,62,-1,tree
random-100-33,121,552.400000,123.284000,52.656900,116,-1,tree
random-100-33,122,286.400000,72.313600,55.727900,70,-1,tree
random-100-33,123,375.000000,64.142000,55.313700,61,-1,tree
random-100-33,124,284.800000,62.313600,53.727900,60,-1,tree
random-100-33,125,395.800000,85.798800,54.727900,81,-1,tree
random-100-33,126,334.000000,54.313600,52.313700,52,-1,tree
random-100-33,127,780.000000,171.597600,53.213200,161,-1,tree
random-100-33,128,889.600000,208.668600,52.727900,196,-1,tree
random-100-33,129,521.000000,90.142000,55.899500,87,-1,tree
random-100-33,130,308.400000,65.485200,56.899500,64,-1,tree
random-100-33,131,375.400000,56.556200,56.556300,53,-1,tree
random-100-33,132,661.800000,141.455600,58.384800,135,-1,tree
random-100-33,133,328.000000,65.485200,56.899500,64,-1,tree
random-100-33,134,413.200000,77.798800,56.142100,73,-1,tree
random-100-33,135,323.400000,72.970400,58.970600,69,-1,tree
random-100-33,136,760.800000,170.011800,57.727900,159,-1,tree
random-100-33,137,351.400000,65.798800,56.970600,61,-1,tree
random-100-33,138,330.400000,71.384600,58.556300,67,-1,tree
random-100-33,139,365.400000,70.213000,57.384800,65,-1,tree
random-100-33,140,742.000000,167.355000,62.384800,158,-1,tree
random-100-33,141,744.200000,195.911200,62.313700,182,-1,tree
random-100-33,142,581.000000,116.041400,63.313700,110,-1,tree
random-100-33,143,394.400000,72.727800,63.556300,70,-1,tree
random-100-33,144,902.000000,188.940800,61.384800,180,-1,tree
random-100-33,145,714.000000,159.597600,62.142100,149,-1,tree
