map,scenid,tcost,distance,expect,steps,d,itype
w_bonepit,0,454.000000,18.899400,6.414210,17,-1,tree
w_bonepit,1,173.000000,15.071000,7.071070,14,-1,tree
w_bonepit,2,244.400000,36.112400,5.242640,28,-1,tree
w_bonepit,3,78.000000,6.656800,6.656850,6,-1,tree
w_bonepit,4,141.200000,7.656800,4.000000,7,-1,tree
w_bonepit,5,199.600000,28.313600,6.656850,26,-1,tree
w_bonepit,6,282.200000,40.384600,5.414210,36,-1,tree
w_bonepit,7,198.800000,27.455600,4.828430,21,-1,tree
w_bonepit,8,214.600000,26.384600,7.414210,22,-1,tree
w_bonepit,9,436.400000,81.153800,5.414210,66,-1,tree
w_bonepit,10,165.600000,31.213000,10.242600,26,-1,tree
w_bonepit,11,191.800000,34.213000,8.414210,29,-1,tree
w_bonepit,12,108.400000,13.899400,9.071070,12,-1,tree
w_bonepit,13,242.400000,27.384600,10.071100,23,-1,tree
w_bonepit,14,194.200000,38.869800,10.242600,32,-1,tree
w_bonepit,15,238.400000,57.668600,10.414200,45,-1,tree
w_bonepit,16,158.800000,28.142000,8.828430,25,-1,tree
w_bonepit,17,161.600000,22.485200,8.485280,21,-1,tree
w_bonepit,18,118.200000,8.485200,8.485280,7,-1,tree
w_bonepit,19,330.600000,70.224800,8.828430,53,-1,tree
w_bonepit,20,280.000000,46.011800,15.142100,35,-1,tree
w_bonepit,21,339.000000,69.739600,15.414200,55,-1,tree
w_bonepit,22,183.200000,36.213000,12.656900,31,-1,tree
w_bonepit,23,246.000000,30.313600,12.313700,28,-1,tree
w_bonepit,24,218.800000,39.384600,14.071100,35,-1,tree
w_bonepit,25,240.800000,39.627200,12.071100,34,-1,tree
w_bonepit,26,238.800000,51.840200,13.071100,40,-1,tree
w_bonepit,27,170.600000,25.556200,13.071100,22,-1,tree
w_bonepit,28,192.000000,29.313600,14.727900,27,-1,tree
w_bonepit,29,426.400000,93.183400,15.142100,83,-1,tree
w_bonepit,30,258.000000,52.355000,16.414200,43,-1,tree
w_bonepit,31,251.400000,48.940800,16.556300,40,-1,tree
w_bonepit,32,331.400000,57.769200,19.142100,48,-1,tree
w_bonepit,33,226.800000,28.213000,16.899500,23,-1,tree
w_bonepit,34,475.200000,124.236600,17.485300,95,-1,tree
w_bonepit,35,386.000000,97.751400,19.384800,71,-1,tree
w_bonepit,36,305.200000,58.497000,18.899500,45,-1,tree
w_bonepit,37,324.800000,73.355000,17.071100,64,-1,tree
w_bonepit,38,370.000000,97.426000,19.142100,86,-1,tree
w_bonepit,39,127.600000,23.384600,16.313700,19,-1,tree
w_bonepit,40,295.400000,74.254400,22.414200,62,-1,tree
w_bonepit,41,300.400000,69.911200,20.414200,56,-1,tree
w_bonepit,42,322.200000,63.869800,22.799000,57,-1,tree
w_bonepit,43,161.200000,25.313600,20.485300,23,-1,tree
w_bonepit,44,236.400000,57.426000,23.970600,46,-1,tree
w_bonepit,45,585.400000,151.520600,22.970600,114,-1,tree
w_bonepit,46,267.200000,46.769200,22.142100,37,-1,tree
w_bonepit,47,366.800000,92.810600,23.213200,76,-1,tree
w_bonepit,48,174.400000,23.142000,23.142100,20,-1,tree
w_bonepit,49,207.800000,36.112400,22.414200,28,-1,tree
w_bonepit,50,185.400000,35.899400,27.899500,34,-1,tree
w_bonepit,51,233.000000,49.940800,27.313700,41,-1,tree
w_bonepit,52,224.200000,37.869800,24.071100,31,-1,tree
w_bonepit,53,298.200000,66.112400,26.556300,58,-1,tree
w_bonepit,54,423.800000,115.195200,27.656900,93,-1,tree
w_bonepit,55,266.000000,51.526600,27.142100,43,-1,tree
w_bonepit,56,393.600000,118.609400,25.656900,96,-1,tree
w_bonepit,57,205.600000,36.112400,26.313700,28,-1,tree
w_bonepit,58,428.200000,92.840200,27.485300,81,-1,tree
w_bonepit,59,390.600000,92.710000,26.242600,73,-1,tree
w_bonepit,60,257.800000,60.769200,30.142100,51,-1,tree
w_bonepit,61,229.600000,56.940800,30.213200,48,-1,tree
w_bonepit,62,347.000000,66.627200,31.455800,61,-1,tree
w_bonepit,63,326.200000,79.355000,29.213200,70,-1,tree
w_bonepit,64,246.800000,45.798800,31.656900,41,-1,tree
w_bonepit,65,217.200000,41.940800,30.627400,33,-1,tree
w_bonepit,66,251.400000,62.940800,28.556300,54,-1,tree
w_bonepit,67,274.400000,60.011800,31.485300,49,-1,tree
w_bonepit,68,229.000000,52.869800,28.828400,46,-1,tree
w_bonepit,69,283.000000,62.284000,31.656900,55,-1,tree
w_bonepit,70,256.200000,49.698200,34.970600,42,-1,tree
w_bonepit,71,301.400000,78.053200,34.112700,60,-1,tree
w_bonepit,72,266.200000,58.355000,33.384800,49,-1,tree
w_bonepit,73,324.800000,99.325400,35.284300,85,-1,tree
w_bonepit,74,334.800000,87.396400,35.313700,71,-1,tree
w_bonepit,75,156.000000,40.242600,32.242600,40,-1,tree
w_bonepit,76,273.600000,64.840200,34.656900,53,-1,tree
w_bonepit,77,324.600000,81.325400,34.656900,67,-1,tree
w_bonepit,78,491.600000,121.668600,32.899500,109,-1,tree
w_bonepit,79,264.800000,44.727800,34.727900,42,-1,tree
