map,scenid,tcost,distance,expect,steps,d,itype
w_sundermount,0,384.600000,18.828400,6.828430,19,-1,tree
w_sundermount,1,365.600000,77.710000,5.242640,58,-1,tree
w_sundermount,2,161.800000,16.828400,4.828430,17,-1,tree
w_sundermount,3,297.000000,69.810600,6.414210,53,-1,tree
w_sundermount,4,108.400000,18.970400,7.656850,15,-1,tree
w_sundermount,5,153.400000,20.142000,4.828430,17,-1,tree
w_sundermount,6,316.600000,60.183400,4.242640,50,-1,tree
w_sundermount,7,199.400000,34.970400,7.656850,31,-1,tree
w_sundermount,8,202.600000,35.869800,5.828430,29,-1,tree
w_sundermount,9,260.200000,49.254400,5.414210,37,-1,tree
w_sundermount,10,650.600000,179.704000,10.828400,131,-1,tree
w_sundermount,11,364.400000,118.964400,10.071100,86,-1,tree
w_sundermount,12,489.600000,133.449600,8.414210,98,-1,tree
w_sundermount,13,349.000000,55.183400,11.242600,45,-1,tree
w_sundermount,14,722.600000,220.301600,8.071070,160,-1,tree
w_sundermount,15,338.600000,82.881600,10.414200,64,-1,tree
w_sundermount,16,150.200000,21.656800,10.828400,21,-1,tree
w_sundermount,17,298.600000,61.082800,9.485280,48,-1,tree
w_sundermount,18,150.600000,25.970400,9.242640,22,-1,tree
w_sundermount,19,153.800000,19.899400,8.242640,18,-1,tree
w_sundermount,20,186.400000,36.627200,12.828400,31,-1,tree
w_sundermount,21,238.200000,44.355000,15.142100,35,-1,tree
w_sundermount,22,305.400000,66.982200,14.656900,51,-1,tree
w_sundermount,23,348.800000,70.254400,14.414200,58,-1,tree
w_sundermount,24,187.200000,30.970400,12.828400,27,-1,tree
w_sundermount,25,373.400000,97.023600,12.071100,74,-1,tree
w_sundermount,26,581.000000,201.502800,13.656900,147,-1,tree
w_sundermount,27,191.800000,29.485200,13.000000,28,-1,tree
w_sundermount,28,188.600000,30.970400,12.828400,27,-1,tree
w_sundermount,29,156.600000,29.798800,14.828400,25,-1,tree
w_sundermount,30,262.400000,65.224800,17.970600,48,-1,tree
w_sundermount,31,161.400000,25.798800,19.799000,21,-1,tree
w_sundermount,32,669.000000,223.473200,16.656900,164,-1,tree
w_sundermount,33,214.800000,43.597600,18.142100,33,-1,tree
w_sundermount,34,418.600000,115.751400,16.414200,89,-1,tree
w_sundermount,35,268.600000,48.627200,18.485300,43,-1,tree
w_sundermount,36,180.200000,33.698200,16.000000,26,-1,tree
w_sundermount,37,142.200000,26.627200,18.142100,21,-1,tree
w_sundermount,38,114.200000,17.970400,17.970600,14,-1,tree
w_sundermount,39,366.200000,92.295800,18.313700,73,-1,tree
w_sundermount,40,209.600000,33.798800,20.142100,29,-1,tree
w_sundermount,41,712.000000,220.159600,23.828400,164,-1,tree
w_sundermount,42,255.600000,45.455600,22.828400,39,-1,tree
w_sundermount,43,161.800000,34.970400,20.485300,31,-1,tree
w_sundermount,44,537.800000,162.349000,20.242600,124,-1,tree
w_sundermount,45,198.400000,36.627200,22.970600,31,-1,tree
w_sundermount,46,321.400000,75.568000,22.071100,60,-1,tree
w_sundermount,47,371.600000,96.710000,21.899500,77,-1,tree
w_sundermount,48,349.000000,87.668600,23.627400,75,-1,tree
w_sundermount,49,240.600000,50.526600,23.899500,42,-1,tree
w_sundermount,50,295.600000,96.337200,25.627400,70,-1,tree
w_sundermount,51,232.400000,52.455600,27.485300,46,-1,tree
w_sundermount,52,339.400000,95.266200,24.213200,71,-1,tree
w_sundermount,53,314.400000,74.639000,25.384800,57,-1,tree
w_sundermount,54,209.200000,49.668600,27.041600,37,-1,tree
w_sundermount,55,266.800000,53.284000,24.799000,46,-1,tree
w_sundermount,56,873.400000,259.100400,26.485300,193,-1,tree
w_sundermount,57,318.800000,70.112400,26.556300,62,-1,tree
w_sundermount,58,246.200000,62.284000,24.970600,55,-1,tree
w_sundermount,59,168.800000,37.384600,24.899500,33,-1,tree
w_sundermount,60,349.400000,115.550200,29.284300,83,-1,tree
w_sundermount,61,395.400000,103.881600,31.899500,85,-1,tree
w_sundermount,62,553.800000,127.781000,29.071100,106,-1,tree
w_sundermount,63,262.600000,50.384600,28.384800,46,-1,tree
w_sundermount,64,434.200000,108.295800,31.828400,89,-1,tree
w_sundermount,65,411.800000,99.053200,28.284300,81,-1,tree
w_sundermount,66,181.200000,30.384600,28.384800,26,-1,tree
w_sundermount,67,224.200000,33.869800,29.041600,27,-1,tree
w_sundermount,68,523.000000,135.822400,29.071100,107,-1,tree
w_sundermount,69,862.000000,263.343000,28.828400,196,-1,tree
w_sundermount,70,234.000000,53.627200,35.384800,48,-1,tree
w_sundermount,71,1079.200000,332.496800,33.556300,249,-1,tree
w_sundermount,72,393.600000,83.911200,33.000000,70,-1,tree
w_sundermount,73,711.200000,195.005800,34.556300,155,-1,tree
w_sundermount,74,252.400000,54.313600,35.041600,52,-1,tree
w_sundermount,75,528.000000,145.550200,32.414200,113,-1,tree
w_sundermount,76,289.000000,64.183400,35.899500,54,-1,tree
w_sundermount,77,173.800000,44.698200,34.698500,37,-1,tree
w_sundermount,78,290.400000,66.627200,35.899500,61,-1,tree
w_sundermount,79,254.400000,70.798800,35.970600,66,-1,tree
w_sundermount,80,215.400000,52.727800,39.071100,50,-1,tree
w_sundermount,81,417.000000,112.881600,36.799000,94,-1,tree
w_sundermount,82,456.200000,100.568000,39.455800,85,-1,tree
w_sundermount,83,228.600000,52.183400,37.112700,42,-1,tree
w_sundermount,84,367.000000,72.940800,36.414200,64,-1,tree
w_sundermount,85,294.000000,85.538400,37.941100,65,-1,tree
w_sundermount,86,312.000000,76.183400,38.727900,66,-1,tree
w_sundermount,87,330.200000,75.082800,38.556300,62,-1,tree
w_sundermount,88,327.000000,69.325400,39.041600,55,-1,tree
w_sundermount,89,370.000000,84.911200,39.698500,71,-1,tree
w_sundermount,90,419.000000,104.325400,41.799000,90,-1,tree
w_sundermount,91,296.600000,83.881600,43.941100,65,-1,tree
w_sundermount,92,384.600000,83.810600,43.828400,67,-1,tree
w_sundermount,93,246.000000,48.284000,40.627400,41,-1,tree
w_sundermount,94,316.400000,83.668600,42.656900,71,-1,tree
w_sundermount,95,274.800000,67.426000,40.941100,56,-1,tree
w_sundermount,96,662.800000,202.704000,40.071100,154,-1,tree
w_sundermount,97,311.600000,70.526600,41.556300,62,-1,tree
w_sundermount,98,263.600000,69.082800,43.526900,56,-1,tree
w_sundermount,99,213.000000,47.869800,40.556300,41,-1,tree
w_sundermount,100,428.200000,100.982200,46.656900,85,-1,tree
w_sundermount,101,477.600000,115.295800,44.041600,96,-1,tree
w_sundermount,102,252.200000,51.526600,45.870100,43,-1,tree
w_sundermount,103,512.600000,133.366800,46.556300,112,-1,tree
w_sundermount,104,329.200000,85.467400,47.142100,67,-1,tree
w_sundermount,105,684.600000,213.159600,44.870100,157,-1,tree
w_sundermount,106,1800.400000,272.343000,46.012200,205,-1,tree
w_sundermount,107,389.800000,96.497000,45.870100,83,-1,tree
w_sundermount,108,327.600000,83.881600,45.698500,65,-1,tree
w_sundermount,109,402.200000,94.840200,46.213200,83,-1,tree
w_sundermount,110,310.400000,61.071000,49.071100,60,-1,tree
w_sundermount,111,865.200000,252.130000,48.485300,191,-1,tree
w_sundermount,112,529.000000,126.295800,49.769600,107,-1,tree
w_sundermount,113,371.200000,68.011800,51.041600,57,-1,tree
w_sundermount,114,333.800000,84.639000,50.455800,67,-1,tree
