map,s,t,expect,cost,diff,path_size
NY,227066,208862,578694,579481,787,442
NY,54104,42841,294687,294832,145,259
NY,85055,19964,877838,879178,1340,555
NY,124116,77419,394284,395412,1128,261
NY,69358,1423,952334,953495,1161,746
NY,40954,21013,184508,184558,50,179
NY,21211,17248,89167,89319,152,100
NY,225242,75981,944684,945084,400,635
NY,67800,52953,274713,274713,0,243
NY,12155,9060,189614,189646,32,157
NY,76267,60151,253257,253257,0,186
NY,72251,31925,597882,598414,532,440
NY,224518,107452,512960,512980,20,414
NY,89285,58439,351098,351352,254,255
NY,29713,19272,241723,241723,0,191
NY,100718,409,1003331,1005957,2626,765
NY,62341,57457,131026,131026,0,40
NY,48351,34917,382221,382427,206,295
NY,258210,93835,701917,702099,182,475
NY,200686,66759,755983,756714,731,660
NY,137450,133151,63257,63433,176,73
NY,207175,122438,523260,523729,469,502
NY,74224,44410,335120,335181,61,272
NY,478,448,14469,14469,0,14
NY,88192,38961,452518,452630,112,322
NY,35762,4228,1004339,1005583,1244,574
NY,107526,77033,471988,471988,0,322
NY,194871,192928,915470,916031,561,558
NY,194176,76865,927900,928424,524,648
NY,110810,23107,147955,147968,13,139
NY,262369,201011,680142,682396,2254,321
NY,214076,125482,585424,586427,1003,513
NY,27936,27687,29909,29909,0,23
NY,25713,11569,101629,101629,0,111
NY,23905,6163,572766,573038,272,439
NY,6567,5737,660096,660278,182,346
NY,125584,37222,175594,175594,0,153
NY,126354,29931,567220,567752,532,388
NY,214307,65268,671673,672010,337,633
NY,195542,8667,412138,412147,9,339
NY,97947,10184,490730,491042,312,395
NY,130619,105820,324188,324344,156,233
NY,152762,94072,733209,733755,546,670
NY,48867,2613,716471,717016,545,542
NY,82995,27327,680613,682666,2053,356
NY,152928,77827,854872,855912,1040,851
NY,131426,109731,319137,319137,0,263
NY,262530,115890,792077,793203,1126,352
NY,162696,135725,248818,248818,0,168
NY,73037,64759,126444,126719,275,70
NY,191168,148955,987210,988439,1229,674
NY,247061,211192,396551,396551,0,309
NY,237617,26983,507986,508160,174,432
NY,240002,78710,1063411,1066400,2989,590
NY,138401,96094,632674,632913,239,511
NY,75075,13927,569462,569531,69,279
NY,198807,101870,566641,566853,212,487
NY,146612,111420,418709,419003,294,409
NY,74417,33506,583883,584347,464,413
NY,129527,78501,155456,155456,0,115
NY,37897,2014,728020,728283,263,548
NY,106107,51486,452646,452646,0,354
NY,110026,16515,234619,234747,128,230
NY,190049,93220,445254,445744,490,357
NY,143033,123979,367963,369591,1628,262
NY,180412,157660,230333,230452,119,243
NY,237297,167561,742500,745122,2622,524
NY,188824,159289,366527,366706,179,440
NY,198573,185996,271415,271658,243,267
NY,178132,56700,552570,552941,371,482
NY,171365,12458,539609,539817,208,500
NY,97007,37271,289987,290024,37,201
NY,40697,16366,212841,212852,11,212
NY,117822,1044,1047262,1047677,415,759
NY,234231,51613,529383,529584,201,347
NY,40142,15017,218234,218331,97,171
NY,162105,118825,1065664,1066293,629,749
NY,110718,35830,138273,138367,94,71
NY,53653,33754,245637,245764,127,210
NY,148427,148404,13568,13568,0,13
NY,187500,60853,559523,559913,390,394
NY,26752,11084,238948,239096,148,260
NY,50047,44099,96804,97742,938,53
NY,226955,18972,293418,293484,66,220
NY,1833,1812,9497,9497,0,8
NY,138775,13050,256481,256807,326,184
NY,82528,46532,610500,611461,961,438
NY,82,3,65257,65421,164,56
NY,44212,9799,369238,369565,327,270
NY,155660,11478,484241,484241,0,356
NY,29103,22539,207632,207711,79,225
NY,168354,113931,530471,530985,514,516
NY,191300,54917,799537,799791,254,526
NY,222278,123741,269367,269367,0,222
NY,199893,63683,694300,695508,1208,660
NY,253702,141296,269776,269797,21,204
NY,46415,11685,351086,351086,0,397
NY,232955,218053,751310,751849,539,584
NY,221169,130685,206918,207016,98,125
NY,17457,4972,527459,527459,0,397
