map,scenid,total-src,20move-src,distance,path_size,hLevel
16room_000,0,795,1130,0,0,0
16room_000,1,970,694,0,0,0
16room_000,2,416,416,0,0,0
16room_000,3,401,378,0,0,0
16room_000,4,479,599,0,0,0
16room_000,5,860,875,0,0,0
16room_000,6,706,645,0,0,0
16room_000,7,328,338,0,0,0
16room_000,8,542,567,0,0,0
16room_000,9,999,1005,0,0,0
16room_000,10,1164,877,0,0,0
16room_000,11,1586,2047,0,0,0
16room_000,12,1424,1271,0,0,0
16room_000,13,1120,1042,0,0,0
16room_000,14,1635,1799,0,0,0
16room_000,15,1220,1442,0,0,0
16room_000,16,1324,1489,0,0,0
16room_000,17,1465,1349,0,0,0
16room_000,18,1502,1755,0,0,0
16room_000,19,1131,1186,0,0,0
16room_000,20,2224,2441,0,0,0
16room_000,21,1723,2125,0,0,0
16room_000,22,1823,1585,0,0,0
16room_000,23,1852,1891,0,0,0
16room_000,24,1951,1970,0,0,0
16room_000,25,2406,2627,0,0,0
16room_000,26,2596,2952,0,0,0
16room_000,27,1793,1519,0,0,0
16room_000,28,1327,1282,0,0,0
16room_000,29,2259,2221,0,0,0
16room_000,30,2797,3332,0,0,0
16room_000,31,3252,3212,0,0,0
16room_000,32,3065,3328,0,0,0
16room_000,33,2785,2923,0,0,0
16room_000,34,3050,2945,0,0,0
16room_000,35,3565,3476,0,0,0
16room_000,36,1887,1902,0,0,0
16room_000,37,2636,2767,0,0,0
16room_000,38,3128,3884,0,0,0
16room_000,39,2689,2629,0,0,0
16room_000,40,2243,2886,0,0,0
16room_000,41,3851,3847,0,0,0
16room_000,42,4147,4832,0,0,0
16room_000,43,4489,4963,0,0,0
16room_000,44,4772,4764,0,0,0
16room_000,45,2889,2406,0,0,0
16room_000,46,3307,3441,0,0,0
16room_000,47,3188,3725,0,0,0
16room_000,48,2271,2552,0,0,0
16room_000,49,2302,2261,0,0,0
16room_000,50,4624,5140,0,0,0
16room_000,51,4400,4336,0,0,0
16room_000,52,3133,4242,0,0,0
16room_000,53,4229,5012,0,0,0
16room_000,54,4593,4764,0,0,0
16room_000,55,5053,5159,0,0,0
16room_000,56,3136,2955,0,0,0
16room_000,57,3688,3995,0,0,0
16room_000,58,3681,3853,0,0,0
16room_000,59,4600,4562,0,0,0
16room_000,60,3479,2674,0,0,0
16room_000,61,4526,4345,0,0,0
16room_000,62,7383,6211,0,0,0
16room_000,63,3488,4320,0,0,0
16room_000,64,2469,2384,0,0,0
16room_000,65,5967,5513,0,0,0
16room_000,66,5331,4701,0,0,0
16room_000,67,4254,4326,0,0,0
16room_000,68,5154,4735,0,0,0
16room_000,69,3768,4021,0,0,0
16room_000,70,4585,4009,0,0,0
16room_000,71,7293,5329,0,0,0
16room_000,72,5524,4060,0,0,0
16room_000,73,5535,4733,0,0,0
16room_000,74,4714,3127,0,0,0
16room_000,75,3478,2318,0,0,0
16room_000,76,5300,5161,0,0,0
16room_000,77,5803,4950,0,0,0
16room_000,78,4002,4084,0,0,0
16room_000,79,4525,3262,0,0,0
16room_000,80,6536,5608,0,0,0
16room_000,81,6782,4841,0,0,0
16room_000,82,6118,5236,0,0,0
16room_000,83,4480,2564,0,0,0
16room_000,84,3889,3277,0,0,0
16room_000,85,4433,3095,0,0,0
16room_000,86,6711,4678,0,0,0
16room_000,87,5579,5269,0,0,0
16room_000,88,7193,5752,0,0,0
16room_000,89,5412,4399,0,0,0
16room_000,90,5775,4026,0,0,0
16room_000,91,6114,4217,0,0,0
16room_000,92,7176,5299,0,0,0
16room_000,93,4529,2718,0,0,0
16room_000,94,6894,4952,0,0,0
16room_000,95,6119,4018,0,0,0
16room_000,96,6682,4408,0,0,0
16room_000,97,5285,3903,0,0,0
16room_000,98,3613,2061,0,0,0
16room_000,99,8534,5675,0,0,0
16room_000,100,8043,5814,0,0,0
16room_000,101,7474,5507,0,0,0
16room_000,102,7890,3740,0,0,0
16room_000,103,6124,2585,0,0,0
16room_000,104,8568,4734,0,0,0
16room_000,105,8868,5573,0,0,0
16room_000,106,8392,5418,0,0,0
16room_000,107,7212,6093,0,0,0
16room_000,108,7622,4874,0,0,0
16room_000,109,9020,5620,0,0,0
16room_000,110,8161,5366,0,0,0
16room_000,111,7638,3306,0,0,0
16room_000,112,5264,3591,0,0,0
16room_000,113,7328,4547,0,0,0
16room_000,114,8782,5348,0,0,0
16room_000,115,8753,5270,0,0,0
