map,scenid,total-src,20move-src,distance,path_size,hLevel
arena2,0,385,384,0,0,2
arena2,1,259,242,0,0,2
arena2,2,259,290,0,0,2
arena2,3,260,288,0,0,2
arena2,4,180,192,0,0,2
arena2,5,266,272,0,0,2
arena2,6,149,139,0,0,2
arena2,7,152,156,0,0,2
arena2,8,199,211,0,0,2
arena2,9,305,329,0,0,2
arena2,10,509,479,0,0,2
arena2,11,429,458,0,0,2
arena2,12,372,362,0,0,2
arena2,13,453,457,0,0,2
arena2,14,429,472,0,0,2
arena2,15,358,379,0,0,2
arena2,16,292,314,0,0,2
arena2,17,306,304,0,0,2
arena2,18,405,433,0,0,2
arena2,19,364,364,0,0,2
arena2,20,426,385,0,0,2
arena2,21,278,299,0,0,2
arena2,22,604,631,0,0,2
arena2,23,618,641,0,0,2
arena2,24,611,598,0,0,2
arena2,25,587,585,0,0,2
arena2,26,471,469,0,0,2
arena2,27,545,563,0,0,2
arena2,28,533,513,0,0,2
arena2,29,498,477,0,0,2
arena2,30,774,785,0,0,2
arena2,31,585,594,0,0,2
arena2,32,794,802,0,0,2
arena2,33,648,720,0,0,2
arena2,34,596,624,0,0,2
arena2,35,879,937,0,0,2
arena2,36,601,631,0,0,2
arena2,37,669,724,0,0,2
arena2,38,787,784,0,0,2
arena2,39,430,522,0,0,2
arena2,40,756,880,0,0,2
arena2,41,764,806,0,0,2
arena2,42,791,821,0,0,2
arena2,43,1137,1121,0,0,2
arena2,44,1042,1073,0,0,2
arena2,45,972,998,0,0,2
arena2,46,1097,1082,0,0,2
arena2,47,994,1097,0,0,2
arena2,48,837,818,0,0,2
arena2,49,1008,911,0,0,2
arena2,50,703,746,0,0,2
arena2,51,1122,1168,0,0,2
arena2,52,1229,1262,0,0,2
arena2,53,1122,1036,0,0,2
arena2,54,946,1036,0,0,2
arena2,55,1135,1127,0,0,2
arena2,56,1018,1083,0,0,2
arena2,57,1140,1127,0,0,2
arena2,58,1102,1132,0,0,2
