map,scenid,total-src,20move-src,distance,path_size,hLevel
brc202d,0,149,250,0,0,0
brc202d,1,230,188,0,0,0
brc202d,2,422,559,0,0,0
brc202d,3,190,253,0,0,0
brc202d,4,354,348,0,0,0
brc202d,5,223,281,0,0,0
brc202d,6,155,131,0,0,0
brc202d,7,116,124,0,0,0
brc202d,8,147,177,0,0,0
brc202d,9,77,97,0,0,0
brc202d,10,479,587,0,0,0
brc202d,11,753,866,0,0,0
brc202d,12,388,1201,0,0,0
brc202d,13,441,471,0,0,0
brc202d,14,408,425,0,0,0
brc202d,15,461,672,0,0,0
brc202d,16,399,431,0,0,0
brc202d,17,610,963,0,0,0
brc202d,18,412,590,0,0,0
brc202d,19,280,455,0,0,0
brc202d,20,732,1250,0,0,0
brc202d,21,890,922,0,0,0
brc202d,22,900,1436,0,0,0
brc202d,23,759,836,0,0,0
brc202d,24,804,1117,0,0,0
brc202d,25,664,966,0,0,0
brc202d,26,694,1059,0,0,0
brc202d,27,856,906,0,0,0
brc202d,28,991,1251,0,0,0
brc202d,29,964,1710,0,0,0
brc202d,30,1275,1384,0,0,0
brc202d,31,858,1434,0,0,0
brc202d,32,1136,2049,0,0,0
brc202d,33,1239,1435,0,0,0
brc202d,34,1318,1502,0,0,0
brc202d,35,1032,983,0,0,0
brc202d,36,1135,1423,0,0,0
brc202d,37,1286,1853,0,0,0
brc202d,38,589,658,0,0,0
brc202d,39,709,1243,0,0,0
brc202d,40,1467,2276,0,0,0
brc202d,41,1569,2502,0,0,0
brc202d,42,1473,2532,0,0,0
brc202d,43,1352,2044,0,0,0
brc202d,44,1243,2130,0,0,0
brc202d,45,1238,1467,0,0,0
brc202d,46,1306,1591,0,0,0
brc202d,47,1421,1923,0,0,0
brc202d,48,867,769,0,0,0
brc202d,49,1161,1529,0,0,0
brc202d,50,1753,1405,0,0,0
brc202d,51,1338,1157,0,0,0
brc202d,52,1834,2217,0,0,0
brc202d,53,1318,2643,0,0,0
brc202d,54,2380,3002,0,0,0
brc202d,55,1677,2258,0,0,0
brc202d,56,1314,2223,0,0,0
brc202d,57,934,1209,0,0,0
brc202d,58,1288,1599,0,0,0
brc202d,59,1486,2013,0,0,0
brc202d,60,1372,1543,0,0,0
brc202d,61,2015,2478,0,0,0
brc202d,62,1173,1523,0,0,0
brc202d,63,1776,1873,0,0,0
brc202d,64,1957,1602,0,0,0
brc202d,65,2018,2241,0,0,0
brc202d,66,1394,1645,0,0,0
brc202d,67,1065,1030,0,0,0
brc202d,68,2016,2229,0,0,0
brc202d,69,1390,1087,0,0,0
brc202d,70,1560,2047,0,0,0
brc202d,71,1864,1241,0,0,0
brc202d,72,2619,2601,0,0,0
brc202d,73,2421,2431,0,0,0
brc202d,74,2369,2287,0,0,0
brc202d,75,2642,3429,0,0,0
brc202d,76,2456,3284,0,0,0
brc202d,77,2519,2943,0,0,0
brc202d,78,1193,723,0,0,0
brc202d,79,1608,1127,0,0,0
brc202d,80,1056,540,0,0,0
brc202d,81,1632,1261,0,0,0
brc202d,82,2874,2235,0,0,0
brc202d,83,1757,1486,0,0,0
brc202d,84,1794,1958,0,0,0
brc202d,85,2171,1710,0,0,0
brc202d,86,1937,1889,0,0,0
brc202d,87,2289,1564,0,0,0
brc202d,88,2726,1658,0,0,0
brc202d,89,1545,816,0,0,0
brc202d,90,2364,2145,0,0,0
brc202d,91,2338,1911,0,0,0
brc202d,92,2941,1997,0,0,0
brc202d,93,2101,1083,0,0,0
brc202d,94,2805,2322,0,0,0
brc202d,95,2594,1520,0,0,0
brc202d,96,1451,775,0,0,0
brc202d,97,2881,2433,0,0,0
brc202d,98,2556,2577,0,0,0
brc202d,99,2740,1519,0,0,0
brc202d,100,2628,1880,0,0,0
brc202d,101,2691,2038,0,0,0
brc202d,102,3621,2789,0,0,0
brc202d,103,3217,2847,0,0,0
brc202d,104,2048,906,0,0,0
brc202d,105,2683,1308,0,0,0
brc202d,106,2019,854,0,0,0
brc202d,107,2975,1968,0,0,0
brc202d,108,2209,1330,0,0,0
brc202d,109,1855,1048,0,0,0
brc202d,110,2869,2097,0,0,0
brc202d,111,2164,776,0,0,0
brc202d,112,3416,1971,0,0,0
brc202d,113,2718,1848,0,0,0
brc202d,114,3249,1560,0,0,0
brc202d,115,3926,1611,0,0,0
brc202d,116,2699,2161,0,0,0
brc202d,117,2290,1548,0,0,0
brc202d,118,3961,1702,0,0,0
brc202d,119,3613,3591,0,0,0
brc202d,120,3534,2622,0,0,0
brc202d,121,3282,2238,0,0,0
brc202d,122,3029,1626,0,0,0
brc202d,123,2528,708,0,0,0
brc202d,124,3021,1375,0,0,0
brc202d,125,3121,1886,0,0,0
brc202d,126,2430,1705,0,0,0
brc202d,127,4376,1968,0,0,0
brc202d,128,3076,1975,0,0,0
brc202d,129,2338,1128,0,0,0
brc202d,130,2133,662,0,0,0
brc202d,131,2951,763,0,0,0
brc202d,132,2387,880,0,0,0
brc202d,133,2446,1057,0,0,0
brc202d,134,3589,1120,0,0,0
brc202d,135,4723,2869,0,0,0
brc202d,136,3753,2671,0,0,0
brc202d,137,2362,1303,0,0,0
