map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
brc502d,0,278,269,237,241,3.41421,4,1
brc502d,1,150,119,130,109,1,2,1
brc502d,2,188,160,122,109,1,2,1
brc502d,3,361,327,228,232,2.82843,3,1
brc502d,4,142,131,90,93,1,2,1
brc502d,5,171,167,95,109,1.41421,2,1
brc502d,6,311,263,203,185,2.41421,3,1
brc502d,7,252,227,144,130,2.41421,3,1
brc502d,8,211,191,143,129,2.41421,3,1
brc502d,9,243,231,179,189,3.41421,4,1
brc502d,10,315,269,430,462,6.82843,7,1
brc502d,11,338,291,356,329,5.41421,6,1
brc502d,12,130,137,395,341,6,7,1
brc502d,13,214,212,170,190,4.82843,5,1
brc502d,14,265,272,225,221,4.24264,4,1
brc502d,15,205,192,191,206,6.41421,7,1
brc502d,16,421,377,278,299,5.24264,5,1
brc502d,17,212,210,216,236,4.41421,5,1
brc502d,18,281,251,275,267,5.41421,6,1
brc502d,19,366,350,298,298,4.82843,5,1
brc502d,20,261,259,398,397,9.24264,9,1
brc502d,21,204,198,384,377,8.41421,9,1
brc502d,22,337,325,291,265,9.65685,9,1
brc502d,23,398,404,489,469,11.8995,10,1
brc502d,24,130,137,451,417,10,11,1
brc502d,25,461,402,520,548,11.4853,10,1
brc502d,26,198,206,353,344,8.82843,9,1
brc502d,27,346,340,441,478,9.82843,10,1
brc502d,28,244,228,456,472,11.2426,11,1
brc502d,29,395,339,388,358,9.89949,8,1
brc502d,30,293,279,596,638,14.4142,15,1
brc502d,31,657,609,591,512,13.4853,12,1
brc502d,32,256,227,535,559,13.6569,13,1
brc502d,33,401,368,512,525,12.8995,11,1
brc502d,34,311,327,478,459,12.4853,11,1
brc502d,35,350,330,593,637,14.4853,13,1
brc502d,36,280,286,601,583,14.0711,13,1
brc502d,37,536,534,578,599,13.4853,12,1
brc502d,38,354,314,476,412,12.2426,12,1
brc502d,39,325,316,537,618,15.4853,14,1
brc502d,40,242,216,762,725,19.4142,20,1
brc502d,41,214,208,577,584,16,17,1
brc502d,42,399,371,719,761,17.4853,16,1
brc502d,43,356,312,646,717,18.3137,16,1
brc502d,44,319,304,491,528,16.8995,15,1
brc502d,45,125,111,562,594,18,19,1
brc502d,46,259,237,469,470,19.4142,20,1
brc502d,47,507,487,447,456,17.4853,16,1
brc502d,48,335,312,719,760,19.8995,18,1
brc502d,49,451,421,593,570,19.0711,18,1
brc502d,50,568,528,697,685,21.5563,18,1
brc502d,51,123,117,657,685,22,23,1
brc502d,52,629,630,784,762,22.4853,21,1
brc502d,53,373,341,697,740,23.0711,22,1
brc502d,54,574,559,570,561,22.4853,21,1
brc502d,55,272,278,645,643,20.2426,20,1
brc502d,56,375,375,694,542,20.0711,19,1
brc502d,57,306,307,699,711,20.5563,17,1
brc502d,58,441,409,895,937,21.4853,20,1
brc502d,59,292,279,529,573,20.8284,21,1
brc502d,60,295,291,959,825,24.8284,25,1
brc502d,61,831,756,1082,1078,25.799,21,1
brc502d,62,223,215,688,638,25.4853,24,1
brc502d,63,500,492,880,876,26.9706,23,1
brc502d,64,399,364,827,653,27.3137,25,1
brc502d,65,527,433,1222,894,26.8995,25,1
brc502d,66,680,653,927,959,24.5563,21,1
brc502d,67,405,307,792,765,25.3137,23,1
brc502d,68,803,743,932,832,27.3848,23,1
brc502d,69,405,425,753,779,26.0416,20,1
brc502d,70,435,403,987,882,31.7279,29,1
brc502d,71,582,548,1237,923,28.8995,27,1
brc502d,72,531,409,1327,945,30.1421,27,1
brc502d,73,302,279,698,621,28.9706,25,1
brc502d,74,714,443,668,473,29.5563,26,1
brc502d,75,210,204,919,636,30.4142,31,1
brc502d,76,357,347,828,742,28.1421,25,1
brc502d,77,372,363,894,796,29.799,25,1
brc502d,78,837,751,784,720,31.2132,26,1
brc502d,79,334,325,1086,992,28.4853,27,1
