map,scenid,total,20move,distance,path_size,hLevel
brc999d,0,295,279,3.82843,4,1
brc999d,1,175,162,3,4,1
brc999d,2,170,161,2,3,1
brc999d,3,258,252,3.82843,4,1
brc999d,4,397,362,3.41421,4,1
brc999d,5,136,132,3,4,1
brc999d,6,128,130,2,3,1
brc999d,7,312,336,2.41421,3,1
brc999d,8,168,171,1.41421,2,1
brc999d,9,253,277,3.82843,4,1
brc999d,10,264,265,4.41421,5,1
brc999d,11,462,425,5.24264,5,1
brc999d,12,180,172,5.65685,5,1
brc999d,13,221,246,6.65685,6,1
brc999d,14,479,512,7.82843,8,1
brc999d,15,302,289,6.24264,6,1
brc999d,16,243,260,7.82843,8,1
brc999d,17,372,347,6.65685,6,1
brc999d,18,275,242,5.41421,6,1
brc999d,19,311,294,4.24264,4,1
brc999d,20,256,236,8.41421,9,1
brc999d,21,271,272,9.48528,8,1
brc999d,22,263,264,11.4142,12,1
brc999d,23,261,222,8.65685,8,1
brc999d,24,346,350,8.07107,7,1
brc999d,25,209,221,9.82843,10,1
brc999d,26,301,276,8.24264,8,1
brc999d,27,224,234,11.2426,11,1
brc999d,28,540,498,10.0711,9,1
brc999d,29,270,234,9.65685,9,1
brc999d,30,369,365,13.4142,14,1
brc999d,31,209,201,12.4142,13,1
brc999d,32,525,538,15.1421,12,1
brc999d,33,249,242,12.6569,12,1
brc999d,34,449,454,15.0711,14,1
brc999d,35,283,252,12.6569,12,1
brc999d,36,247,245,15.2426,15,1
brc999d,37,221,211,13,14,1
brc999d,38,319,334,14.7279,12,1
brc999d,39,343,338,15.3137,13,1
brc999d,40,309,274,18.6569,18,1
brc999d,41,253,241,16.7279,14,1
brc999d,42,734,654,18.4853,17,1
brc999d,43,229,210,19,20,1
brc999d,44,367,357,17.7279,15,1
brc999d,45,391,374,18.5563,15,1
brc999d,46,259,253,19.0711,18,1
brc999d,47,248,240,18.8995,17,1
brc999d,48,207,202,16.0711,15,1
brc999d,49,461,457,17.9706,14,1
brc999d,50,517,452,22.5563,19,1
brc999d,51,576,561,20.799,16,1
brc999d,52,688,612,21.3848,17,1
