map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
den005d,0,258,230,149,152,2.41421,3,1
den005d,1,184,180,153,150,1,2,1
den005d,2,199,191,246,242,3,4,1
den005d,3,285,262,139,119,2.41421,3,1
den005d,4,205,182,136,127,1.41421,2,1
den005d,5,124,135,132,125,2,3,1
den005d,6,140,144,126,126,2,3,1
den005d,7,130,122,182,167,3,4,1
den005d,8,72,64,66,71,0,0,1
den005d,9,178,164,250,227,3,4,1
den005d,10,154,137,301,242,4,5,1
den005d,11,266,262,249,252,5.24264,5,1
den005d,12,128,128,218,223,7,8,1
den005d,13,243,237,280,259,5.41421,6,1
den005d,14,362,335,337,282,6.65685,6,1
den005d,15,320,238,249,235,6.41421,7,1
den005d,16,253,229,202,213,5.41421,6,1
den005d,17,230,236,315,314,4.41421,5,1
den005d,18,374,367,242,281,6.24264,6,1
den005d,19,116,129,167,169,5,6,1
den005d,20,263,270,331,338,9.65685,9,1
den005d,21,265,248,360,356,9.65685,9,1
den005d,22,335,281,398,380,11.4142,12,1
den005d,23,284,283,532,476,9.82843,10,1
den005d,24,388,382,365,360,11.4853,10,1
den005d,25,299,288,226,227,10.6569,10,1
den005d,26,152,152,460,439,11,12,1
den005d,27,353,396,428,376,8.65685,8,1
den005d,28,436,412,341,390,10.0711,9,1
den005d,29,424,377,292,303,8.07107,7,1
den005d,30,234,221,359,413,12.8284,13,1
den005d,31,116,130,499,457,14,15,1
den005d,32,420,401,432,459,13.7279,11,1
den005d,33,535,476,531,542,12.4142,13,1
den005d,34,311,309,465,449,14.8995,13,1
den005d,35,446,441,662,605,15.2426,15,1
den005d,36,437,440,386,438,12.2426,12,1
den005d,37,420,373,588,586,13.2426,13,1
den005d,38,237,240,443,421,12.4853,11,1
den005d,39,125,122,445,474,14,15,1
den005d,40,323,332,779,726,19.0711,18,1
den005d,41,604,605,653,661,17.2426,17,1
den005d,42,389,383,533,544,18.9706,15,1
den005d,43,406,449,755,728,19.7279,17,1
den005d,44,228,242,496,518,19.4853,18,1
den005d,45,506,529,796,744,19.4853,18,1
den005d,46,330,325,641,619,18.6569,18,1
den005d,47,603,615,990,913,18.4853,17,1
den005d,48,236,227,723,641,19.2426,19,1
den005d,49,613,598,667,653,18.0711,17,1
den005d,50,474,419,901,777,21.8284,22,1
den005d,51,554,535,916,936,22.8995,21,1
den005d,52,599,553,795,845,22.4853,21,1
den005d,53,354,336,893,743,20.0711,19,1
den005d,54,230,203,693,649,23.8995,22,1
den005d,55,659,640,617,594,20.3137,18,1
den005d,56,551,566,730,688,23.8995,22,1
den005d,57,891,838,861,904,22.3137,20,1
den005d,58,433,451,592,624,20.2426,20,1
den005d,59,614,652,1050,968,22.4853,21,1
den005d,60,782,782,1072,1100,24.3848,20,1
den005d,61,555,350,1011,764,26.0711,25,1
den005d,62,426,439,953,705,26.0711,25,1
den005d,63,327,325,840,711,27.0711,26,1
den005d,64,541,510,911,737,25.7279,23,1
den005d,65,882,901,968,905,25.799,21,1
den005d,66,565,516,835,862,26.9706,23,1
den005d,67,375,233,917,765,24.8284,25,1
den005d,68,670,469,733,538,27.8995,26,1
den005d,69,681,597,854,688,24.8995,23,1
den005d,70,918,636,957,832,30.799,26,1
den005d,71,212,214,940,597,29.8284,30,1
den005d,72,599,472,1059,916,30.3848,26,1
den005d,73,695,694,896,807,29.3848,25,1
den005d,74,605,425,1191,922,28.6569,28,1
den005d,75,762,699,1086,916,29.1421,26,1
den005d,76,459,404,840,700,31.6985,24,1
den005d,77,418,413,978,853,31.2426,31,1
den005d,78,473,482,959,850,28.1421,25,1
den005d,79,421,401,782,681,30.2426,30,1
den005d,80,960,915,1305,998,33.0711,32,1
den005d,81,529,387,1526,1044,34.7279,32,1
den005d,82,631,632,1062,749,32.4853,31,1
den005d,83,710,364,983,468,34.8995,33,1
den005d,84,631,406,790,535,35.0416,29,1
den005d,85,562,401,898,681,34.799,30,1
den005d,86,1277,572,978,555,35.3848,31,1
den005d,87,475,431,796,763,34.6985,27,1
den005d,88,1013,664,1380,1109,34.5563,31,1
den005d,89,895,638,1123,802,33.3137,31,1
den005d,90,732,431,1328,894,36.2132,31,1
den005d,91,407,432,959,684,38.4853,37,1
den005d,92,388,402,1181,748,38.7279,36,1
den005d,93,457,199,1057,476,36.4142,37,1
den005d,94,678,375,967,580,36.7279,34,1
den005d,95,271,269,898,497,37.4142,38,1
den005d,96,478,292,579,442,37.5563,34,1
den005d,97,553,302,1138,839,36.7279,34,1
den005d,98,413,430,810,652,36.1421,33,1
den005d,99,653,384,1164,645,38.3137,36,1
den005d,100,483,449,1012,590,41.8995,40,1
den005d,101,407,242,1032,533,43.4853,42,1
den005d,102,570,338,1197,480,40.8995,39,1
den005d,103,1180,698,1333,721,41.9706,38,1
den005d,104,928,755,1112,674,42.0416,36,1
den005d,105,695,572,1182,723,43.3848,39,1
den005d,106,645,363,1154,750,41.9706,38,1
den005d,107,751,444,1276,918,42.2843,35,1
den005d,108,638,395,1560,927,40.2426,40,1
den005d,109,1036,407,1219,677,42.799,38,1
den005d,110,1174,457,1563,835,44.6274,39,1
den005d,111,432,224,1057,553,44.3137,42,1
den005d,112,893,355,1584,861,44.8995,43,1
den005d,113,920,600,1118,445,46.3848,42,1
den005d,114,461,301,1073,569,44.6274,39,1
den005d,115,1187,720,1356,761,46.8701,40,1
den005d,116,490,460,1311,720,45.6274,40,1
den005d,117,617,413,915,520,46.7279,44,1
den005d,118,838,243,1046,465,44.4853,43,1
den005d,119,815,546,1672,845,45.8995,44,1
den005d,120,829,233,1233,564,50.9706,47,1
den005d,121,430,186,1033,443,51.0711,50,1
den005d,122,507,478,1290,560,50.6569,50,1
den005d,123,1019,650,1329,723,48.2132,43,1
den005d,124,1245,725,1444,822,48.4558,42,1
den005d,125,749,525,1008,522,48.1421,45,1
den005d,126,663,209,1238,514,51.2132,46,1
den005d,127,1138,438,2078,1042,48.9706,45,1
den005d,128,928,438,1286,581,50.799,46,1
den005d,129,360,226,936,556,50.8284,51,1
den005d,130,839,516,1688,996,52.3848,48,1
den005d,131,635,208,1201,576,54.3137,52,1
den005d,132,656,382,1817,664,52.0711,51,1
den005d,133,717,537,1245,721,53.4264,42,1
den005d,134,1048,259,2199,656,55.1421,52,1
den005d,135,322,249,1349,606,55.3137,53,1
den005d,136,1019,603,1735,938,55.5563,52,1
den005d,137,1167,626,1404,657,54.6274,49,1
den005d,138,785,569,1283,826,53.2132,48,1
den005d,139,940,416,1141,540,52.4558,46,1
den005d,140,1353,528,1728,773,59.8701,53,1
den005d,141,585,280,1364,577,56.3137,54,1
den005d,142,1041,527,1316,658,56.0416,50,1
den005d,143,1139,606,1350,715,59.0416,53,1
den005d,144,1073,628,2010,1041,56.2843,49,1
den005d,145,1070,649,1261,759,58.1127,50,1
den005d,146,1160,626,1874,997,57.6985,50,1
den005d,147,996,714,1540,759,57.799,53,1
den005d,148,836,408,1426,716,58.9706,55,1
den005d,149,1062,676,1732,789,56.5269,48,1
den005d,150,424,428,1348,539,60.7279,58,1
den005d,151,518,375,1444,684,63.3137,61,1
den005d,152,1561,361,1920,612,60.6274,55,1
den005d,153,638,345,1202,541,60.1421,57,1
den005d,154,757,333,1286,567,62.6274,57,1
den005d,155,619,601,1617,872,63.1421,60,1
den005d,156,513,437,1595,719,60.7279,58,1
den005d,157,474,340,1780,812,63.3137,61,1
den005d,158,645,401,2527,903,62.7279,60,1
den005d,159,1139,461,1717,1057,62.6274,57,1
den005d,160,747,586,1959,823,66.2132,61,1
den005d,161,768,371,2318,669,64.9706,61,1
den005d,162,1587,587,2581,927,67.5269,59,1
den005d,163,817,485,1627,709,65.8995,64,1
den005d,164,730,239,1797,750,66.9706,63,1
den005d,165,1085,295,1700,573,65.5563,62,1
den005d,166,1076,478,1745,506,65.2843,58,1
den005d,167,1205,400,2087,813,65.3553,56,1
den005d,168,1009,420,2463,922,64.1421,61,1
den005d,169,280,199,1448,425,67,68,1
