map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
den200n,0,400,341,297,282,3.82843,4,1
den200n,1,158,125,196,197,2,3,1
den200n,2,195,195,194,191,2.82843,3,1
den200n,3,179,162,114,104,1.41421,2,1
den200n,4,170,138,127,97,1,2,1
den200n,5,228,215,203,201,3.41421,4,1
den200n,6,166,149,226,226,3,4,1
den200n,7,131,140,158,142,2,3,1
den200n,8,258,261,265,227,3.41421,4,1
den200n,9,160,142,173,181,3,4,1
den200n,10,161,155,241,225,4,5,1
den200n,11,240,238,397,403,6.41421,7,1
den200n,12,327,327,239,231,4.82843,5,1
den200n,13,392,337,311,287,6.65685,6,1
den200n,14,146,147,329,320,7,8,1
den200n,15,245,200,200,209,6.65685,6,1
den200n,16,278,270,231,192,4.82843,5,1
den200n,17,303,297,236,227,7.41421,8,1
den200n,18,320,308,336,297,7.24264,7,1
den200n,19,181,191,201,214,5.24264,5,1
den200n,20,277,278,369,357,11.2426,11,1
den200n,21,279,266,410,395,8.48528,7,1
den200n,22,141,135,336,347,8,9,1
den200n,23,180,170,323,275,8.41421,9,1
den200n,24,211,227,312,263,9.24264,9,1
den200n,25,282,286,298,286,8.07107,7,1
den200n,26,237,237,506,458,11.8284,12,1
den200n,27,229,235,344,302,9.07107,8,1
den200n,28,233,219,391,397,8.41421,9,1
den200n,29,259,247,349,372,9.24264,9,1
den200n,30,215,223,566,603,12.8995,11,1
den200n,31,601,549,639,647,14.8995,13,1
den200n,32,234,228,347,333,12.3137,10,1
den200n,33,366,371,422,391,13.4853,12,1
den200n,34,356,377,895,837,15.8995,14,1
den200n,35,325,332,587,567,14.0711,13,1
den200n,36,239,243,768,766,14.8284,15,1
den200n,37,468,442,673,698,15.8995,14,1
den200n,38,228,239,502,464,14.2426,14,1
den200n,39,461,445,743,675,15.7279,13,1
den200n,40,277,257,576,512,16.9706,13,1
den200n,41,596,602,741,708,17.4853,16,1
den200n,42,257,255,738,725,18.3137,16,1
den200n,43,398,391,514,488,19.799,15,1
den200n,44,212,213,523,492,16.2426,16,1
den200n,45,727,754,746,692,19.5563,16,1
den200n,46,610,630,762,791,18.3137,16,1
den200n,47,140,148,498,500,17,18,1
den200n,48,596,545,835,811,17.8995,16,1
den200n,49,176,191,564,518,17.8995,16,1
den200n,50,353,363,497,490,22.3137,20,1
den200n,51,378,351,616,531,22.8995,21,1
den200n,52,592,590,599,588,21.8995,20,1
den200n,53,216,216,466,442,20.5563,17,1
den200n,54,534,542,780,787,20.0711,19,1
den200n,55,536,506,796,828,21.7279,19,1
den200n,56,213,239,674,688,22.4853,21,1
den200n,57,505,475,928,988,20.0711,19,1
den200n,58,461,471,857,915,23.1421,20,1
den200n,59,409,381,923,963,22.2426,22,1
den200n,60,643,692,1024,1048,27.0416,21,1
den200n,61,182,172,668,591,26.3137,24,1
den200n,62,768,771,939,918,24.3848,20,1
den200n,63,436,397,963,831,27.4142,28,1
den200n,64,527,518,958,910,26.1421,23,1
den200n,65,523,492,1217,932,26.7279,24,1
den200n,66,299,302,668,627,26.3137,24,1
den200n,67,327,339,959,969,27.9706,24,1
den200n,68,707,673,992,1027,24.2132,19,1
den200n,69,229,218,717,682,25.6569,25,1
den200n,70,421,353,1359,970,30.4853,29,1
den200n,71,307,319,787,597,29.8995,28,1
den200n,72,643,387,971,801,30.7279,28,1
den200n,73,474,445,1075,942,29.0711,28,1
den200n,74,564,446,1239,849,31.3137,29,1
den200n,75,727,354,1017,598,31.6569,31,1
den200n,76,347,361,1113,827,30.6569,30,1
den200n,77,627,597,724,712,30.0416,24,1
den200n,78,737,606,1063,910,30.6985,23,1
den200n,79,564,555,853,687,31.5563,28,1
den200n,80,420,436,1265,905,35.3137,33,1
den200n,81,719,405,943,647,35.8995,34,1
den200n,82,216,233,655,431,33.5563,30,1
den200n,83,962,537,1364,991,35.6985,28,1
den200n,84,587,573,1177,805,35.9706,32,1
den200n,85,867,478,1477,981,32.1421,29,1
den200n,86,508,524,1123,976,33.0711,32,1
den200n,87,567,471,1112,865,32.1421,29,1
den200n,88,420,218,1035,754,34.4853,33,1
den200n,89,892,918,1236,1004,32.6274,27,1
den200n,90,666,507,1711,1069,37.8995,36,1
den200n,91,820,423,1027,651,36.5563,33,1
den200n,92,329,334,994,731,37.6569,37,1
den200n,93,598,352,1453,774,39.0711,38,1
den200n,94,440,217,891,565,36.2426,36,1
den200n,95,689,420,1002,748,37.8995,36,1
den200n,96,755,589,1095,807,36.9706,33,1
den200n,97,515,213,1028,882,38.7279,36,1
den200n,98,474,487,974,642,39.8995,38,1
den200n,99,143,143,894,486,37,38,1
den200n,100,761,442,1810,863,43.5563,40,1
den200n,101,417,406,1910,1245,40.0711,39,1
den200n,102,595,519,1060,685,43.5563,40,1
den200n,103,454,463,1138,703,43.5563,40,1
den200n,104,683,433,1570,1112,42.3848,38,1
den200n,105,367,122,1062,560,43.8284,44,1
den200n,106,877,425,1485,830,41.1421,38,1
den200n,107,298,343,967,772,40.9706,37,1
den200n,108,709,701,1571,1049,42.3848,38,1
den200n,109,858,403,1441,914,42.799,38,1
den200n,110,635,625,1163,933,46.8701,40,1
den200n,111,805,426,1994,983,45.2132,40,1
den200n,112,484,474,1219,613,44.8284,45,1
den200n,113,1129,678,1660,960,46.3553,37,1
den200n,114,1028,455,1818,1064,47.799,43,1
den200n,115,1108,665,1666,799,46.4558,40,1
den200n,116,341,321,1329,922,47.2426,47,1
den200n,117,647,223,1058,523,47.9706,44,1
den200n,118,599,366,1830,1020,45.3848,41,1
den200n,119,1050,883,1464,1060,44.4558,38,1
den200n,120,795,714,1540,836,49.3848,45,1
den200n,121,246,214,1028,603,49.3137,47,1
den200n,122,582,265,1074,503,48.7279,46,1
den200n,123,497,237,1287,542,48.799,44,1
den200n,124,350,316,1771,964,48.0416,42,1
den200n,125,644,561,1758,776,48.4853,47,1
den200n,126,1004,571,2000,1007,50.6985,43,1
den200n,127,852,231,1618,700,50.3848,46,1
den200n,128,765,622,1477,730,48.6274,43,1
