map,scenid,total-src,20move-src,distance,path_size,hLevel
den202d,0,87,90,0,0,1
den202d,1,73,73,0,0,1
den202d,2,85,86,0,0,1
den202d,3,116,115,0,0,1
den202d,4,86,87,0,0,1
den202d,5,108,104,0,0,1
den202d,6,57,55,0,0,1
den202d,7,88,88,0,0,1
den202d,8,102,102,0,0,1
den202d,9,101,101,0,0,1
den202d,10,147,164,0,0,1
den202d,11,140,142,0,0,1
den202d,12,165,169,0,0,1
den202d,13,171,170,0,0,1
den202d,14,131,126,0,0,1
den202d,15,118,117,0,0,1
den202d,16,146,141,0,0,1
den202d,17,171,178,0,0,1
den202d,18,149,156,0,0,1
den202d,19,135,145,0,0,1
den202d,20,177,181,0,0,1
den202d,21,192,199,0,0,1
den202d,22,164,167,0,0,1
den202d,23,165,166,0,0,1
den202d,24,166,170,0,0,1
den202d,25,190,198,0,0,1
den202d,26,185,187,0,0,1
den202d,27,178,175,0,0,1
den202d,28,195,196,0,0,1
den202d,29,194,197,0,0,1
den202d,30,229,226,0,0,1
den202d,31,240,243,0,0,1
den202d,32,255,257,0,0,1
den202d,33,241,242,0,0,1
den202d,34,240,242,0,0,1
den202d,35,215,218,0,0,1
den202d,36,194,198,0,0,1
den202d,37,224,225,0,0,1
den202d,38,208,211,0,0,1
den202d,39,206,205,0,0,1
den202d,40,267,264,0,0,1
den202d,41,315,309,0,0,1
den202d,42,300,314,0,0,1
den202d,43,317,330,0,0,1
den202d,44,291,289,0,0,1
den202d,45,334,337,0,0,1
den202d,46,268,271,0,0,1
den202d,47,311,313,0,0,1
den202d,48,268,272,0,0,1
den202d,49,297,301,0,0,1
den202d,50,322,314,0,0,1
