map,scenid,total,20move,distance,path_size,hLevel
den501d,0,414,327,3.41421,4,0
den501d,1,400,336,3.82843,4,0
den501d,2,434,408,2.41421,3,0
den501d,3,518,482,3.82843,4,0
den501d,4,209,185,1,2,0
den501d,5,153,145,1,2,0
den501d,6,319,292,2,3,0
den501d,7,151,135,2,3,0
den501d,8,382,319,3.82843,4,0
den501d,9,244,172,1,2,0
den501d,10,243,198,7.07107,6,0
den501d,11,391,400,4.82843,5,0
den501d,12,154,147,5,6,0
den501d,13,255,259,5.41421,6,0
den501d,14,417,402,6.82843,7,0
den501d,15,463,411,5.24264,5,0
den501d,16,614,478,7.24264,7,0
den501d,17,265,255,4.82843,5,0
den501d,18,489,468,4.41421,5,0
den501d,19,360,356,5.65685,5,0
den501d,20,267,285,11,12,0
den501d,21,554,522,9.24264,9,0
den501d,22,226,239,8.07107,7,0
den501d,23,292,282,8.41421,9,0
den501d,24,317,287,8.24264,8,0
den501d,25,179,180,9,10,0
den501d,26,508,489,11.4853,10,0
den501d,27,673,654,11.0711,10,0
den501d,28,547,487,9.24264,9,0
den501d,29,726,648,10.0711,9,0
den501d,30,563,565,15.0711,14,0
den501d,31,226,233,15,16,0
den501d,32,413,436,14.2426,14,0
den501d,33,377,361,12.8284,13,0
den501d,34,402,345,12.8995,11,0
den501d,35,797,677,13.8284,14,0
den501d,36,302,276,13.2426,13,0
den501d,37,348,287,15.2426,15,0
den501d,38,533,432,13.2426,13,0
den501d,39,482,463,12.8284,13,0
den501d,40,152,157,19,20,0
den501d,41,640,526,17.8995,16,0
den501d,42,145,155,17,18,0
den501d,43,313,279,16.3137,14,0
den501d,44,536,534,16.0711,15,0
den501d,45,645,636,17.9706,14,0
den501d,46,412,378,16.4853,15,0
den501d,47,626,637,19.7279,17,0
den501d,48,756,674,17.4142,18,0
den501d,49,500,360,18.2426,18,0
den501d,50,483,483,22.2426,22,0
den501d,51,596,622,22.8995,21,0
den501d,52,690,643,20.7279,18,0
den501d,53,589,473,23.3137,21,0
den501d,54,947,756,20.7279,18,0
den501d,55,563,547,21.799,17,0
den501d,56,382,397,20.1421,17,0
den501d,57,368,363,20.0711,19,0
den501d,58,582,510,21.6569,21,0
den501d,59,350,345,23.4142,24,0
den501d,60,456,378,27.2426,27,0
den501d,61,753,560,24.4853,23,0
den501d,62,903,617,27.7279,25,0
den501d,63,360,272,27.8284,28,0
den501d,64,845,759,24.0711,23,0
den501d,65,877,901,27.7279,25,0
den501d,66,949,690,27.0416,21,0
den501d,67,554,530,25.0711,24,0
den501d,68,657,550,25.0711,24,0
den501d,69,559,268,26.8284,27,0
den501d,70,1466,1126,29.6274,24,0
den501d,71,717,725,28.4853,27,0
den501d,72,489,461,29.8284,30,0
den501d,73,450,290,28.4142,29,0
den501d,74,543,389,28.0711,27,0
den501d,75,981,891,29.9706,26,0
den501d,76,980,624,29.1421,26,0
den501d,77,841,790,31.9706,28,0
den501d,78,459,420,31.9706,28,0
den501d,79,373,387,29.1421,26,0
den501d,80,526,522,34.6569,34,0
den501d,81,922,695,33.1421,30,0
den501d,82,963,882,35.5563,32,0
den501d,83,1384,1005,33.2132,28,0
den501d,84,562,562,33.4853,32,0
den501d,85,907,698,33.3137,31,0
den501d,86,795,245,35.4853,34,0
den501d,87,649,406,33.1421,30,0
den501d,88,596,459,32.0416,26,0
den501d,89,1064,721,35.3848,31,0
den501d,90,496,566,38.9706,35,0
den501d,91,649,553,39.6569,39,0
den501d,92,841,395,38.2426,38,0
den501d,93,1725,1451,36.6985,29,0
den501d,94,1497,1045,36.3848,32,0
den501d,95,723,494,38.0711,37,0
den501d,96,443,380,39.8284,40,0
den501d,97,835,400,38.6274,33,0
den501d,98,669,478,36.1421,33,0
den501d,99,850,550,36.9706,33,0
den501d,100,552,255,43.799,39,0
den501d,101,707,613,43.6569,43,0
den501d,102,1028,618,42.0416,36,0
den501d,103,830,269,41.2132,36,0
den501d,104,990,399,42.8995,41,0
den501d,105,1533,1001,41.2843,34,0
den501d,106,688,337,41.2426,41,0
den501d,107,491,506,41.4558,35,0
den501d,108,1041,519,43.4558,37,0
den501d,109,1244,945,42.3848,38,0
den501d,110,983,763,46.5563,43,0
den501d,111,1687,994,45.5563,42,0
den501d,112,623,488,45.799,41,0
den501d,113,1479,651,44.7279,42,0
den501d,114,1122,526,46.6274,41,0
den501d,115,1517,760,44.7696,35,0
den501d,116,546,518,46.2426,46,0
den501d,117,964,515,46.2426,46,0
den501d,118,479,376,46.8284,47,0
den501d,119,824,720,44.1127,36,0
den501d,120,1427,529,49.2132,44,0
den501d,121,1039,438,50.6274,45,0
den501d,122,615,169,49.4142,50,0
den501d,123,1559,555,50.2132,45,0
den501d,124,895,364,51.8995,50,0
den501d,125,1048,637,50.1421,47,0
den501d,126,993,648,49.4853,48,0
den501d,127,1010,486,51.0122,40,0
den501d,128,813,575,50.3848,46,0
den501d,129,498,423,49.6569,49,0
den501d,130,1449,1035,52.0416,46,0
