map,scenid,total,20move,distance,path_size,hLevel
hrt002d,0,136,123,1,2,0
hrt002d,1,203,230,3.82843,4,0
hrt002d,2,234,213,3.82843,4,0
hrt002d,3,187,186,2.41421,3,0
hrt002d,4,215,212,2.41421,3,0
hrt002d,5,172,176,3,4,0
hrt002d,6,146,143,1.41421,2,0
hrt002d,7,152,152,2.82843,3,0
hrt002d,8,192,196,2.41421,3,0
hrt002d,9,220,206,2.41421,3,0
hrt002d,10,227,240,7.41421,8,0
hrt002d,11,162,168,6,7,0
hrt002d,12,242,251,7.82843,8,0
hrt002d,13,238,244,5.41421,6,0
hrt002d,14,251,252,6.41421,7,0
hrt002d,15,247,262,6,7,0
hrt002d,16,271,273,7.24264,7,0
hrt002d,17,306,291,5.82843,6,0
hrt002d,18,303,284,5.24264,5,0
hrt002d,19,274,259,6.65685,6,0
hrt002d,20,340,334,9.89949,8,0
hrt002d,21,276,277,9.41421,10,0
hrt002d,22,293,283,11.8995,10,0
hrt002d,23,370,335,11.4142,12,0
hrt002d,24,247,267,9.07107,8,0
hrt002d,25,175,199,11.4142,12,0
hrt002d,26,381,361,10.6569,10,0
hrt002d,27,311,295,10.4142,11,0
hrt002d,28,230,207,10.8284,11,0
hrt002d,29,257,266,11.2426,11,0
hrt002d,30,474,442,13.6569,13,0
hrt002d,31,324,300,14.8284,15,0
hrt002d,32,264,249,13.4142,14,0
hrt002d,33,181,204,15.8284,16,0
hrt002d,34,344,360,14.0711,13,0
hrt002d,35,214,260,12.8284,13,0
hrt002d,36,203,212,15.4853,14,0
hrt002d,37,412,414,15.2426,15,0
hrt002d,38,501,499,14.6569,14,0
hrt002d,39,365,371,15.8284,16,0
hrt002d,40,392,367,19.8284,20,0
hrt002d,41,397,371,17.8284,18,0
hrt002d,42,210,209,16,17,0
hrt002d,43,450,448,19.1421,16,0
hrt002d,44,351,353,16.4853,15,0
hrt002d,45,502,472,19.2426,19,0
hrt002d,46,440,436,18.1421,15,0
hrt002d,47,394,371,16.4853,15,0
hrt002d,48,321,338,19.6569,19,0
hrt002d,49,462,442,16.4853,15,0
hrt002d,50,522,535,23.3137,21,0
hrt002d,51,361,381,23.5563,20,0
hrt002d,52,535,528,23.5563,20,0
hrt002d,53,451,449,21.8995,20,0
hrt002d,54,366,380,20.1421,17,0
hrt002d,55,606,587,21.0711,20,0
hrt002d,56,366,370,21.0711,20,0
hrt002d,57,521,558,21.3137,19,0
hrt002d,58,429,324,22.8284,23,0
hrt002d,59,543,567,21.6569,21,0
hrt002d,60,534,443,25.4853,24,0
hrt002d,61,318,326,27.3137,25,0
hrt002d,62,178,189,24.0711,23,0
hrt002d,63,580,485,24.4853,23,0
hrt002d,64,372,392,24.3137,22,0
hrt002d,65,419,367,25.3137,23,0
hrt002d,66,394,288,26.3137,24,0
hrt002d,67,557,531,26.7279,24,0
hrt002d,68,358,278,25.6569,25,0
hrt002d,69,525,442,27.4853,26,0
hrt002d,70,449,354,31.3137,29,0
hrt002d,71,432,260,31.3137,29,0
hrt002d,72,402,239,31.8995,30,0
hrt002d,73,465,457,29.3848,25,0
